recv_time_ns,seq,send_ts_us,payload_bytes,frame_bytes,arrival_interval_ms
1785338320339404000,252222,23051271912,4096,4110,
1785338322464536400,252223,23051322118,4096,4110,2125.1324
1785338342843095700,252243,23053329545,4096,4110,20378.5593
1785338342855457700,252244,23053408099,4096,4110,12.362
1785338342864428400,252245,23053415621,4096,4110,8.9707
1785338342873344400,252246,23053423807,4096,4110,8.916
1785338342882681300,252247,23053430506,4096,4110,9.3369
1785338342893512700,252248,23053434215,4096,4110,10.8314
1785338343055489700,252249,23053440844,4096,4110,161.977
1785338343075899500,252250,23053445000,4096,4110,20.4098
1785338348350580800,252354,23064121375,4096,4110,5274.6813
1785338348359437800,252355,23064179198,4096,4110,8.857
1785338348374486600,252356,23064183450,4096,4110,15.0488
1785338348397169200,252357,23064189826,4096,4110,22.6826
1785338348417542400,252358,23064193652,4096,4110,20.3732
1785338348427421000,252359,23064200195,4096,4110,9.8786
1785338389660926700,252376,23065853330,4096,4110,41233.5057
1785338389670028100,252377,23065904311,4096,4110,9.1014
1785338389679417500,252378,23065915657,4096,4110,9.3894
1785338389691707500,252379,23065920053,4096,4110,12.29
1785338389700928200,252380,23065926304,4096,4110,9.2207
1785338389709877100,252381,23065930113,4096,4110,8.9489
1785338389719834600,252382,23065936270,4096,4110,9.9575
