Listening on 0.0.0.0:5001, frame=4110 bytes, payload=4096 bytesMetrics WebSocket listening on ws://127.0.0.1:8765

CSV output: captures\frames_20260731_213315.csv and captures\metrics_20260731_213315.csv
SQLite output: captures\bandwidth_capture.sqlite3
InfluxDB output: http://127.0.0.1:8086 org=neural-link-lab bucket=esp32s3_bandwidth
Connected by ('192.168.137.115', 65481)
fps=5.4 rate=21.5 KiB/s missing=10 loss=17.544% crc_errors=3090 old=0 avg_interval=190.50 ms jitter=1237.99 ms bw_jitter=0.00 KiB/s
fps=3.8 rate=15.4 KiB/s missing=71 loss=67.619% crc_errors=2865 old=0 avg_interval=261.38 ms jitter=1430.71 ms bw_jitter=4.35 KiB/s
fps=2.8 rate=11.4 KiB/s missing=80 loss=67.797% crc_errors=4515 old=0 avg_interval=352.41 ms jitter=2119.11 ms bw_jitter=5.10 KiB/s
fps=15.8 rate=63.4 KiB/s missing=128 loss=79.012% crc_errors=615 old=0 avg_interval=63.35 ms jitter=303.85 ms bw_jitter=24.00 KiB/s
fps=3.4 rate=13.5 KiB/s missing=18 loss=33.962% crc_errors=3510 old=0 avg_interval=298.35 ms jitter=1699.45 ms bw_jitter=21.77 KiB/s
fps=3.1 rate=12.3 KiB/s missing=0 loss=0.000% crc_errors=3496 old=0 avg_interval=11.69 ms jitter=37.00 ms bw_jitter=20.15 KiB/s
fps=4.3 rate=17.1 KiB/s missing=98 loss=85.965% crc_errors=1229 old=0 avg_interval=863.76 ms jitter=3441.65 ms bw_jitter=18.52 KiB/s
fps=2.4 rate=9.7 KiB/s missing=99 loss=76.154% crc_errors=4305 old=0 avg_interval=413.07 ms jitter=2253.20 ms bw_jitter=17.70 KiB/s
fps=1.3 rate=5.2 KiB/s missing=34 loss=69.388% crc_errors=3885 old=0 avg_interval=778.89 ms jitter=2934.79 ms bw_jitter=17.33 KiB/s
fps=2.2 rate=9.0 KiB/s missing=123 loss=79.870% crc_errors=4305 old=0 avg_interval=445.54 ms jitter=2420.96 ms bw_jitter=16.63 KiB/s
fps=1.4 rate=5.6 KiB/s missing=112 loss=88.189% crc_errors=3885 old=0 avg_interval=721.05 ms jitter=2738.65 ms bw_jitter=16.20 KiB/s
