eid,pid,lab,subject,recording_date,probe_name,acronym,n_clusters_labeled,n_good_clusters_labeled
56956777-dca5-468c-87cb-78150432cc57,47be9ae4-290f-46ab-b047-952bc3a1a509,angelakilab,NYU-11,2020-02-21,probe01,int,237,27
56956777-dca5-468c-87cb-78150432cc57,47be9ae4-290f-46ab-b047-952bc3a1a509,angelakilab,NYU-11,2020-02-21,probe01,GPe,92,13
56956777-dca5-468c-87cb-78150432cc57,47be9ae4-290f-46ab-b047-952bc3a1a509,angelakilab,NYU-11,2020-02-21,probe01,CTXsp,47,15
56956777-dca5-468c-87cb-78150432cc57,47be9ae4-290f-46ab-b047-952bc3a1a509,angelakilab,NYU-11,2020-02-21,probe01,BMAp,270,46
56956777-dca5-468c-87cb-78150432cc57,47be9ae4-290f-46ab-b047-952bc3a1a509,angelakilab,NYU-11,2020-02-21,probe01,COApl,111,8
56956777-dca5-468c-87cb-78150432cc57,47be9ae4-290f-46ab-b047-952bc3a1a509,angelakilab,NYU-11,2020-02-21,probe01,CEAm,45,9
56956777-dca5-468c-87cb-78150432cc57,47be9ae4-290f-46ab-b047-952bc3a1a509,angelakilab,NYU-11,2020-02-21,probe01,IA,46,10
56956777-dca5-468c-87cb-78150432cc57,47be9ae4-290f-46ab-b047-952bc3a1a509,angelakilab,NYU-11,2020-02-21,probe01,PAL,10,2
56956777-dca5-468c-87cb-78150432cc57,47be9ae4-290f-46ab-b047-952bc3a1a509,angelakilab,NYU-11,2020-02-21,probe01,st,14,3
56956777-dca5-468c-87cb-78150432cc57,47be9ae4-290f-46ab-b047-952bc3a1a509,angelakilab,NYU-11,2020-02-21,probe01,CEAc,35,5
56956777-dca5-468c-87cb-78150432cc57,47be9ae4-290f-46ab-b047-952bc3a1a509,angelakilab,NYU-11,2020-02-21,probe01,CEAl,174,28
56956777-dca5-468c-87cb-78150432cc57,47be9ae4-290f-46ab-b047-952bc3a1a509,angelakilab,NYU-11,2020-02-21,probe01,PA,19,3
6713a4a7-faed-4df2-acab-ee4e63326f8d,56f2a378-78d2-4132-b3c8-8c1ba82be598,angelakilab,NYU-11,2020-02-18,probe00,VISa1,231,0
6713a4a7-faed-4df2-acab-ee4e63326f8d,56f2a378-78d2-4132-b3c8-8c1ba82be598,angelakilab,NYU-11,2020-02-18,probe00,VISrl2/3,7,0
6713a4a7-faed-4df2-acab-ee4e63326f8d,56f2a378-78d2-4132-b3c8-8c1ba82be598,angelakilab,NYU-11,2020-02-18,probe00,VISrl4,10,0
6713a4a7-faed-4df2-acab-ee4e63326f8d,56f2a378-78d2-4132-b3c8-8c1ba82be598,angelakilab,NYU-11,2020-02-18,probe00,VISrl5,59,0
6713a4a7-faed-4df2-acab-ee4e63326f8d,56f2a378-78d2-4132-b3c8-8c1ba82be598,angelakilab,NYU-11,2020-02-18,probe00,VISrl6a,38,0
6713a4a7-faed-4df2-acab-ee4e63326f8d,56f2a378-78d2-4132-b3c8-8c1ba82be598,angelakilab,NYU-11,2020-02-18,probe00,VISrl6b,7,0
6713a4a7-faed-4df2-acab-ee4e63326f8d,56f2a378-78d2-4132-b3c8-8c1ba82be598,angelakilab,NYU-11,2020-02-18,probe00,or,11,2
