eid,labs,subjects,recording_dates,n_insertions,probes,probe_types,pids,dset_bwm,dset_rs,n_good_clusters_total,n_overall_clusters_total,n_spikes_total,n_trials,duration_seconds,recording_minutes,n_unique_regions,n_good_unique_regions,brain_region_acronyms,good_brain_region_acronyms,session_json_bytes_total
56956777-dca5-468c-87cb-78150432cc57,angelakilab,NYU-11,2020-02-21,2,probe01;probe00,3B2,47be9ae4-290f-46ab-b047-952bc3a1a509;6be21156-33b0-4f70-9a0f-65b3e3cd6d4a,true,false,264,1728,7135190,425,3770.689437385083,62,31,25,int;GPe;CTXsp;BMAp;COApl;CEAm;IA;PAL;st;CEAc;CEAl;PA;void;VISa1;VISa2/3;SSp-tr2/3;SSp-tr4;SSp-tr5;SSp-bfd5;SSp-bfd6a;SSp-bfd6b;alv;CA1;CA2;CA3;LGd-sh;LGd-ip;LGd-co;TH;VPM;ccs,int;GPe;PAL;st;CEAm;CEAl;CEAc;IA;CTXsp;BMAp;PA;COApl;VISa2/3;SSp-tr4;SSp-tr5;SSp-bfd5;alv;CA1;CA2;CA3;LGd-sh;LGd-ip;LGd-co;TH;VPM,72091
6713a4a7-faed-4df2-acab-ee4e63326f8d,angelakilab,NYU-11,2020-02-18,1,probe00,3B2,56f2a378-78d2-4132-b3c8-8c1ba82be598,true,false,76,898,2576719,565,4688.783496541294,78,19,11,VISa1;VISrl2/3;VISrl4;VISrl5;VISrl6a;VISrl6b;or;ccs;alv;CA1;DG-mo;DG-sg;CA3;fiber tracts;LGd-sh;LGd-co;LGd-ip;MGv;TH,or;ccs;alv;CA1;DG-sg;CA3;LGd-sh;LGd-co;LGd-ip;TH;MGv,40247
a8a8af78-16de-4841-ab07-fde4b5281a03,angelakilab,NYU-12,2020-01-22,2,probe00;probe01,3B2,1e176f17-d00f-49bb-87ff-26d237b525f1;701026df-e170-4ca7-88aa-eb0b95ef6ba1,true,false,126,2017,3569000,550,4942.644882285393,82,30,20,VISa4;VISa5;VISa6a;VISa6b;or;ccs;alv;CA1;DG-mo;DG-sg;DG-po;CA3;root;LGd-co;LP;PO;FF;ml;MGm;TH;PoT;VPM;ZI;ENTm2;ENTm3;ENTm5;SUB;PRE;ENTm1;void,VISa5;VISa6a;VISa6b;CA1;DG-sg;DG-po;CA3;LP;PoT;PO;TH;VPM;MGm;SUB;ENTm5;ENTm3;ENTm2;ENTm1;void;DG-mo,83995
032ffcdf-7692-40b3-b9ff-8def1fc18b2e,angelakilab,NYU-12,2020-01-23,2,probe01;probe00,3B2,6506252f-1141-4e11-8816-4db01b71dda0;d213e786-4b1c-477d-a710-766d69fa1ac1,true,false,132,1673,5117205,581,5677.267546215225,94,24,19,CA3;alv;fiber tracts;root;CA2;CA1;CTXsp;PA;COApl;COApm;VISp1;VISp2/3;VISp4;VISp5;VISp6a;VISp6b;fp;dhc;POST;NB;PBG;or;bic;MB,CA3;alv;CA2;CA1;root;fiber tracts;CTXsp;PA;COApl;COApm;VISp5;VISp6a;VISp6b;fp;POST;bic;NB;MB;PBG,75331
4364a246-f8d7-4ce7-ba23-a098104b96e4,angelakilab,NYU-12,2020-01-20,1,probe01,3B2,8dfb86c8-d45c-46c4-90ec-33078014d434,true,false,163,1202,6021323,557,4931.99434072487,82,6,5,LD;ZI;VAL;PO;VM;LHA,LD;PO;VAL;VM;LHA,47282
b182b754-3c3e-4942-8144-6ee790926b58,angelakilab,NYU-12,2020-01-21,1,probe01,3B2,c893c0a3-5597-49cf-baa1-60efdfdef542,true,false,234,1255,11081575,444,4432.205628034817,73,11,10,SCig;SCiw;SCdg;MB;MRN;PPN;P;NLL;PC5;ll;sctv,SCiw;SCdg;MB;MRN;PPN;P;NLL;ll;sctv;PC5,47220
ebe2efe3-e8a1-451a-8947-76ef42427cc9,angelakilab,NYU-21,2020-08-19,2,probe00;probe01,3B2,73ff4936-8cd3-4a75-a772-f563e67d249d;ac088ddb-9e1e-49ae-b341-46a8445cf809,true,false,105,1190,4531802,672,4667.188614833642,77,22,13,MOp5;MOp6a;cing;MOp6b;ccb;CP;STR;PAL;BST;SF;TRS;V3;sm;IAD;TH;AMd;HY;AMv;RT;ZI;LHA;fiber tracts,MOp5;MOp6a;MOp6b;CP;STR;BST;SF;TH;AMd;AMv;RT;HY;LHA,90477
8c33abef-3d3e-4d42-9f27-445e9def08f9,angelakilab,NYU-21,2020-08-13,2,probe01;probe00,3B2,8895f61f-1c17-4d2f-8b9b-77476c5261b6;f475ae14-9415-453e-b800-1480ea1c868d,true,false,263,2002,11547493,721,6014.921980134663,100,21,16,fi;root;RT;em;VPL;int;fiber tracts;opt;MEA;MOp2/3;MOp5;MOp6a;MOp6b;cing;scwm;ccb;CP;STR;PAL;BST;HY,RT;em;VPL;int;opt;MEA;MOp2/3;MOp5;MOp6a;MOp6b;cing;scwm;ccb;CP;STR;PAL,90985
5ec72172-3901-4771-8777-6e9490ca51fc,angelakilab,NYU-30,2020-10-22,2,probe00;probe01,3B2,298e2a70-9801-45f0-b91c-d6bb9718427e;9dff5593-e781-41a3-a6f9-20d06085e4f8,true,false,198,1469,5524374,933,6034.619839760794,100,17,13,MOs2/3;MOs5;MOs6a;ACAd6a;PL6a;AON;DP;OLF;TTd;ILA6a;STR;VL;LSr;LSv;ACB;SI;OT,MOs5;MOs6a;ACAd6a;PL6a;ILA6a;DP;OLF;TTd;AON;VL;ACB;OT;SI,83834
77e6dc6a-66ed-433c-b1a2-778c914f523c,angelakilab,NYU-30,2020-10-20,1,probe00,3B2,7b05cccc-44f6-4491-a0ea-e38d6e95513d,true,false,95,616,2989699,784,5155.7092547613765,85,12,11,MOp6a;MOp6b;scwm;AId6b;AIv6b;AIv6a;CLA;OT;PIR;EPd;AIv5;OLF,MOp6a;MOp6b;scwm;AId6b;AIv6b;CLA;AIv6a;AIv5;OLF;EPd;PIR,35784
5569f363-0934-464e-9a5b-77c8e67791a1,angelakilab,NYU-30,2020-10-21,1,probe00,3B2,99993a2b-588e-4c0c-bfec-e3dfb4f61534,true,false,105,813,3125722,717,5194.3039081040215,86,10,8,MOs5;AId6a;MOs6a;lot;AON;ORBl6a;ORBl5;ORBl2/3;ORBl1;OLF,MOs6a;AId6a;ORBl6a;ORBl5;ORBl2/3;ORBl1;OLF;AON,39912
83d85891-bd75-4557-91b4-1cbb5f8bfc9d,angelakilab,NYU-37,2021-01-27,2,probe00;probe01,3B2,16ad5eef-3fa6-4c75-9296-29bf40c5cfaa;66f810a8-b18d-4b54-9f28-2964dfceccad,true,false,230,1676,8872786,443,3197.3870789498997,53,14,8,ANcr1;ANcr2;PRM;arb;V3;PVT;RE;CM;IAM;RH;VMH;TH;PVHd;HY,ANcr1;ANcr2;PRM;CM;IAM;RH;RE;HY,71392
f88d4dd4-ccd7-400e-9035-fa00be3bcfa8,angelakilab,NYU-37,2021-01-26,2,probe00;probe01,3B2,511afaa5-fdc4-4166-b4c0-4629ec5e652e;decc8d40-cf74-4263-ae9d-a0cc68b47e86,true,false,288,2001,10628544,401,3215.673720826236,53,10,10,void;ANcr2;MOp1;MOp2/3;MOp5;MOp6a;MOp6b;cing;ccb;CP,void;ANcr2;MOp1;MOp2/3;MOp5;MOp6a;MOp6b;cing;ccb;CP,75772
aec5d3cc-4bb2-4349-80a9-0395b76f04e2,angelakilab,NYU-37,2021-01-30,2,probe01;probe00,3B2,7332e6cf-9847-4aca-b2e3-d864989dd0fb;789fd2ee-c755-46c5-9c6f-260092520216,true,false,439,2777,27661184,649,4132.715938407871,68,16,15,CENT3;PRP;arb;chpl;PGRNd;GRN;cbc;ANcr1;IP;DN;V4r;DCO;MY;icp;sptV;SPVO,CENT3;chpl;PRP;PGRNd;GRN;arb;ANcr1;IP;DN;V4r;DCO;icp;MY;sptV;SPVO,113904
21d21fc3-4201-4edc-802a-c67b61952548,angelakilab,NYU-37,2021-02-01,1,probe00,3B2,b7c57ce1-a75b-410a-94b6-8abee5a92c4f,true,false,61,867,1186186,548,4340.021890685314,72,13,7,RSPagl1;RSPd1;void;SCzo;SCsg;SCop;SCig;SCiw;DR;PAG;SCdg;SCdw;MB,SCop;SCig;SCiw;SCdg;SCdw;PAG;DR,37981
7af49c00-63dd-4fed-b2e0-1b3bd945b20b,angelakilab,NYU-37,2021-01-25,2,probe01;probe00,3B2,c4b5a9fa-10cb-4195-9c17-15b6a1f77f9a;f93bfce4-e814-4ae3-9cdf-59f4dcdedf51,true,false,260,2205,6787960,414,3249.156034576625,54,29,23,SSp-ul4;SSp-ul5;SSp-m5;SSp-m6a;CP;STR;SSp-m6b;scwm;ccg;FS;or;VISa6b;fp;CA1;alv;VISa6a;DG-mo;DG-po;DG-sg;root;bsc;LP;SGN;MB;MRN;Eth;PoT;SPFp;ml,SSp-ul4;SSp-ul5;SSp-m5;SSp-m6a;SSp-m6b;ccg;CP;STR;FS;or;CA1;DG-mo;DG-sg;DG-po;root;bsc;LP;SGN;Eth;PoT;SPFp;MB;MRN,85248
fa1f26a1-eb49-4b24-917e-19f02a18ac61,angelakilab,NYU-39,2021-05-12,2,probe01;probe00,3B2,01864e9d-0dbe-41d4-9e3a-0285348ecfc1;a9e83d8a-7c90-4152-abad-53a1ad94d73a,true,false,129,1357,4558728,605,3808.201784461862,63,23,11,PAG;MRN;PPN;PRNr;MB;ll;SOCl;SSp-ll4;SSp-ll2/3;SSp-ll5;SSp-ll6a;MOp6a;MOp6b;scwm;ccb;SEZ;CP;VL;root;AV;BST;TH;PAL,PAG;MRN;PPN;PRNr;ll;SOCl;SSp-ll6a;MOp6a;TH;BST;PAL,67448
ee212778-3903-4f5b-ac4b-a72f22debf03,angelakilab,NYU-39,2021-05-13,2,probe00;probe01,3B2,0777b1bf-964b-49b7-888b-8a6c9df09c3b;9793c99d-f918-4931-8bba-fdb978bd8e0a,true,false,146,1578,6823408,522,4292.0631793997645,71,12,10,SSp-ul5;SSp-ul6a;SSp-ul6b;scwm;ccb;CP;int;PAL;PAG;MRN;PRNr;POR,SSp-ul6a;scwm;ccb;CP;int;PAL;PAG;MRN;PRNr;POR,70726
91a3353a-2da1-420d-8c7c-fad2fedfdd18,angelakilab,NYU-39,2021-05-14,2,probe01;probe00,3B2,08ed0b3c-9f94-4c1f-8522-3d42a642a6b0;a85b9795-f99c-4c1d-a376-8b5ef095ffd7,true,false,68,961,1445980,508,4097.011471684381,68,15,10,SSp-n6b;SSp-n6a;scwm;ccb;CP;PIR;EPd;ec;AIp6a;ee;SSp-m4;SSp-m5;SSp-m6a;SSp-m6b;act,scwm;ccb;CP;ec;AIp6a;EPd;ee;PIR;SSp-m6a;act,50424
6ed57216-498d-48a6-b48b-a243a34710ea,angelakilab,NYU-39,2021-05-10,2,probe01;probe00,3B2,0909252c-3ad0-413f-96f5-7eff885b50aa;e45a00b1-14a0-4f5e-9ea5-9f76d042b11c,true,false,156,1366,5177806,541,3637.7114674341537,60,29,20,ICd;ICc;MB;CUN;P;PB;scp;SUT;PC5;V;PARN;MY;rust;VISa2/3;DG-po;VISa4;VISa5;VISa6a;VISa6b;scwm;ccs;alv;CA1;DG-mo;DG-sg;LP;PO;root;Eth,ICc;MB;CUN;P;PB;scp;SUT;V;PC5;PARN;MY;VISa2/3;VISa6a;VISa6b;scwm;CA1;DG-po;LP;Eth;PO,63600
35ed605c-1a1a-47b1-86ff-2b56144f55af,angelakilab,NYU-39,2021-05-11,2,probe00;probe01,3B2,117f0d28-3cc0-4837-9e3e-46db5bc3e662;85bdeae3-269b-4e39-bd9b-2b0d95aff2fa,true,false,195,1553,8290109,522,3699.385967509776,61,27,18,SSp-n6a;SSp-n5;SSp-un5;SSp-n6b;scwm;ccb;CP;GPe;PAL;SI;CEAm;VISp2/3;VISl2/3;SUB;VISli6a;VISl4;VISl5;ENTl6a;VISl6a;VISli6b;or;VISpor6b;ec;alv;HPF;ENTl5;ENTl3,SSp-n6a;CP;GPe;PAL;SI;CEAm;VISl2/3;VISl5;VISl6a;VISli6a;or;VISli6b;VISpor6b;SUB;HPF;ENTl6a;ENTl5;ENTl3,69071
5157810e-0fff-4bcf-b19d-32d4e39c7dfc,angelakilab,NYU-40,2021-04-13,2,probe01;probe00,3B2,43b9b189-5221-46a0-928a-e137bc326534;c410fda5-a6db-4697-a7e3-6ed65601844d,true,false,186,1742,15515551,434,3774.6947512766205,62,17,15,CUL4 5;CENT3;arb;P;KF;SPVO;MY;sptV;void;ICe;ICc;MB;CUN;PRNc;PB;scp;RSPagl1,CUL4 5;CENT3;P;KF;SPVO;sptV;MY;void;ICe;ICc;MB;CUN;PB;scp;PRNc,70964
71855308-7e54-41d7-a7a4-b042e78e3b4f,angelakilab,NYU-40,2021-04-15,2,probe00;probe01,3B2,4431f9fd-aaa8-4b10-905c-0c6869ea1088;5f7766ce-8e2e-410c-9195-6bf089fea4fd,true,false,421,1607,45299366,516,3840.1774857249993,64,12,11,ANcr1;arb;DN;VCO;V4r;DCO;MY;sptV;void;SIM;PFL;FL,ANcr1;arb;DN;V4r;DCO;VCO;MY;sptV;SIM;PFL;FL,70434
f359281f-6941-4bfd-90d4-940be22ed3c3,angelakilab,NYU-40,2021-04-16,2,probe01;probe00,3B2,7441d0df-ef9b-419b-ae4d-b9bd7c2f17cb;e9c04e7e-c075-4ee3-9750-dff255ec7e84,true,false,63,1241,8414529,463,3532.867206454465,58,4,4,void;ANcr2;PRM;arb,void;ANcr2;PRM;arb,55819
8ca740c5-e7fe-430a-aa10-e74e9c3cbbe8,angelakilab,NYU-40,2021-04-14,2,probe01;probe00,3B2,ce0dc660-f19e-46a3-94f9-646bebae6805;ef7e9f3e-a53a-4e00-8f6a-537667af2bea,true,false,136,1114,2490965,546,4053.865372356444,67,13,9,VISpor4;VISpor5;ENTl2;ENTl5;ENTl3;ENTl1;ENTm1;void;VISpor1;VISpor2/3;ENTm5;ENTm2;ENTm3,VISpor5;ENTl5;ENTl3;ENTl2;ENTl1;ENTm1;VISpor2/3;ENTm5;ENTm3,57441
51e53aff-1d5d-4182-a684-aba783d50ae5,angelakilab,NYU-45,2021-07-19,2,probe01;probe00,3B2,18be19f9-6ca5-4fc8-9220-ba43c3e75905;1a60a6e1-da99-4d4e-a734-39b1d4544fad,true,false,265,1189,19765592,505,3934.1523166170205,65,28,18,NOT;PPT;MB;APN;POL;PoT;SNr;COApm;PIL;SNc;cpd;alv;CA3;DG-mo;HATA;PA;VISa2/3;VISa5;VISa6a;VISa6b;scwm;ccs;CA1;DG-sg;DG-po;LP;PO;VPM,NOT;PPT;MB;APN;POL;PoT;PIL;SNc;SNr;CA3;COApm;VISa5;VISa6a;CA1;DG-po;LP;PO;VPM,57602
537677fe-1e24-4755-948c-fa4a4e8ecce5,angelakilab,NYU-45,2021-07-20,2,probe01;probe00,3B2,76f16631-cbf7-4883-9437-4e8d8c4f34a3;e7080659-8319-48a6-b6fd-2e8ce8eeec49,true,false,230,1602,15890945,474,4039.886228201911,67,30,22,ANcr2;arb;PRM;COPY;PFL;CB;V4r;chpl;icp;sptV;MY;sctd;void;RSPd5;RSPv5;RSPv2/3;SCzo;SCsg;SCig;RSPv1;SCop;SCiw;csc;SCdg;SCdw;MB;PAG;SCO;AQ;ND,ANcr2;arb;PRM;COPY;PFL;CB;V4r;sptV;icp;MY;sctd;void;RSPd5;RSPv5;RSPv2/3;RSPv1;SCig;SCiw;csc;SCdg;PAG;ND,70040
5bcafa14-71cb-42fa-8265-ce5cda1b89e0,angelakilab,NYU-45,2021-07-23,2,probe01;probe00,3B2,7c11adc6-adbd-484f-8ae9-13946285e3f8;e4632651-5ba7-48a7-86db-5298b45a5bac,true,false,206,1417,20153982,436,4447.017302987129,74,16,13,arb;DN;FL;PFL;V4r;DCO;VCO;void;MY;ICc;MB;CUN;P;PB;scp;PRNc,PFL;FL;DCO;VCO;MY;void;ICc;MB;CUN;P;PB;scp;PRNc,60499
72982282-e493-45ee-87ce-aa45cb3a3ec1,angelakilab,NYU-46,2021-06-23,2,probe00;probe01,3B2,79fbd14b-bfad-4b28-90a9-3019bf72336f;a4ed0599-4a72-4afb-8fe9-d0d046aec6aa,true,false,81,1701,4020507,491,4719.366775044137,78,13,8,SSp-n2/3;SSp-n4;SSp-n5;CP;SSp-n6a;SSp-n6b;scwm;ccb;void;ANcr1;arb;ANcr2;PFL,SSp-n2/3;SSp-n4;SSp-n5;SSp-n6a;CP;ANcr1;arb;PFL,73722
d32876dd-8303-4720-8e7e-20678dc2fd71,angelakilab,NYU-46,2021-06-22,1,probe00,3B2,98bde8a6-6b6a-4e53-96b1-9078c3974a97,true,false,32,638,958943,424,4477.43573773619,74,13,7,SSp-m2/3;SSp-m4;SSp-m5;GU5;GU6a;lot;PIR;EPd;AId6a;OLF;CLA;AIv6a;void,SSp-m5;GU5;GU6a;AId6a;OLF;PIR;void,28834
