eid,pid,id,lab,subject,dob,recording_date,probe_name,probe_type,dset_bwm,dset_rs,n_clusters_text,n_good_clusters,n_overall_clusters,n_spikes,n_trials,recording_length,recording_minutes,duration_seconds,n_cluster_region_labels,n_unique_regions,n_good_unique_regions,brain_region_acronyms,good_brain_region_acronyms,brain_regions_text,session_json_bytes
56956777-dca5-468c-87cb-78150432cc57,47be9ae4-290f-46ab-b047-952bc3a1a509,47be9ae4-290f-46ab-b047-952bc3a1a509,angelakilab,NYU-11,2019-07-23,2020-02-21,probe01,3B2,true,false,"169 good, 1100 overall",169,1100,3792822,425,62 minutes,62,3770.689437385083,1100,12,12,int;GPe;CTXsp;BMAp;COApl;CEAm;IA;PAL;st;CEAc;CEAl;PA,int;GPe;PAL;st;CEAm;CEAl;CEAc;IA;CTXsp;BMAp;PA;COApl,"basomedial amygdalar nucleus posterior part, central amygdalar nucleus capsular part, central amygdalar nucleus lateral part, central amygdalar nucleus medial part, cortical amygdalar area posterior part lateral zone, cortical subplate, globus pallidus external segment, intercalated amygdalar nucleus, pallidum, posterior amygdalar nucleus, internal capsule, stria terminalis, bmap, ceac, ceal, ceam, coapl, ctxsp, gpe, ia, pa, pal, int, st",43182
6713a4a7-faed-4df2-acab-ee4e63326f8d,56f2a378-78d2-4132-b3c8-8c1ba82be598,56f2a378-78d2-4132-b3c8-8c1ba82be598,angelakilab,NYU-11,2019-07-23,2020-02-18,probe00,3B2,true,false,"76 good, 898 overall",76,898,2576719,565,78 minutes,78,4688.783496541294,898,19,11,VISa1;VISrl2/3;VISrl4;VISrl5;VISrl6a;VISrl6b;or;ccs;alv;CA1;DG-mo;DG-sg;CA3;fiber tracts;LGd-sh;LGd-co;LGd-ip;MGv;TH,or;ccs;alv;CA1;DG-sg;CA3;LGd-sh;LGd-co;LGd-ip;TH;MGv,"dentate gyrus granule cell layer, dorsal part of the lateral geniculate complex core, dorsal part of the lateral geniculate complex ipsilateral zone, dorsal part of the lateral geniculate complex shell, field ca1, field ca3, medial geniculate complex ventral part, thalamus, alveus, corpus callosum splenium, optic radiation, ca1, ca3, dg-sg, lgd-co, lgd-ip, lgd-sh, mgv, th, alv, ccs, or",40247
56956777-dca5-468c-87cb-78150432cc57,6be21156-33b0-4f70-9a0f-65b3e3cd6d4a,6be21156-33b0-4f70-9a0f-65b3e3cd6d4a,angelakilab,NYU-11,2019-07-23,2020-02-21,probe00,3B2,true,false,"95 good, 628 overall",95,628,3342368,425,62 minutes,62,3770.6811151766833,628,19,13,void;VISa1;VISa2/3;SSp-tr2/3;SSp-tr4;SSp-tr5;SSp-bfd5;SSp-bfd6a;SSp-bfd6b;alv;CA1;CA2;CA3;LGd-sh;LGd-ip;LGd-co;TH;VPM;ccs,VISa2/3;SSp-tr4;SSp-tr5;SSp-bfd5;alv;CA1;CA2;CA3;LGd-sh;LGd-ip;LGd-co;TH;VPM,"anterior area layer 2/3, dorsal part of the lateral geniculate complex core, dorsal part of the lateral geniculate complex ipsilateral zone, dorsal part of the lateral geniculate complex shell, field ca1, field ca2, field ca3, primary somatosensory area barrel field layer 5, primary somatosensory area trunk layer 4, primary somatosensory area trunk layer 5, thalamus, ventral posteromedial nucleus of the thalamus, alveus, ca1, ca2, ca3, lgd-co, lgd-ip, lgd-sh, ssp-bfd5, ssp-tr4, ssp-tr5, th, visa2/3, vpm, alv",28909
a8a8af78-16de-4841-ab07-fde4b5281a03,1e176f17-d00f-49bb-87ff-26d237b525f1,1e176f17-d00f-49bb-87ff-26d237b525f1,angelakilab,NYU-12,2019-08-27,2020-01-22,probe00,3B2,true,false,"59 good, 832 overall",59,832,2316059,550,82 minutes,82,4942.637843667616,832,23,13,VISa4;VISa5;VISa6a;VISa6b;or;ccs;alv;CA1;DG-mo;DG-sg;DG-po;CA3;root;LGd-co;LP;PO;FF;ml;MGm;TH;PoT;VPM;ZI,VISa5;VISa6a;VISa6b;CA1;DG-sg;DG-po;CA3;LP;PoT;PO;TH;VPM;MGm,"anterior area layer 5, anterior area layer 6a, anterior area layer 6b, dentate gyrus granule cell layer, dentate gyrus polymorph layer, field ca1, field ca3, lateral posterior nucleus of the thalamus, medial geniculate complex medial part, posterior complex of the thalamus, posterior triangular thalamic nucleus, thalamus, ventral posteromedial nucleus of the thalamus, ca1, ca3, dg-po, dg-sg, lp, mgm, po, pot, th, visa5, visa6a, visa6b, vpm",36856
032ffcdf-7692-40b3-b9ff-8def1fc18b2e,6506252f-1141-4e11-8816-4db01b71dda0,6506252f-1141-4e11-8816-4db01b71dda0,angelakilab,NYU-12,2019-08-27,2020-01-23,probe01,3B2,true,false,"103 good, 690 overall",103,690,3404769,581,94 minutes,94,5677.267546215225,690,10,10,CA3;alv;fiber tracts;root;CA2;CA1;CTXsp;PA;COApl;COApm,CA3;alv;CA2;CA1;root;fiber tracts;CTXsp;PA;COApl;COApm,"cortical amygdalar area posterior part lateral zone, cortical amygdalar area posterior part medial zone, cortical subplate, field ca1, field ca2, field ca3, posterior amygdalar nucleus, alveus, fiber tracts, root, ca1, ca2, ca3, coapl, coapm, ctxsp, pa, alv, fiber tracts, root",33406
a8a8af78-16de-4841-ab07-fde4b5281a03,701026df-e170-4ca7-88aa-eb0b95ef6ba1,701026df-e170-4ca7-88aa-eb0b95ef6ba1,angelakilab,NYU-12,2019-08-27,2020-01-22,probe01,3B2,true,false,"67 good, 1185 overall",67,1185,1252941,550,82 minutes,82,4942.644882285393,1185,10,9,CA1;ENTm2;ENTm3;ENTm5;SUB;PRE;DG-mo;ENTm1;void;DG-sg,SUB;ENTm5;ENTm3;ENTm2;ENTm1;void;CA1;DG-mo;DG-sg,"dentate gyrus granule cell layer, dentate gyrus molecular layer, entorhinal area medial part dorsal zone layer 1, entorhinal area medial part dorsal zone layer 2, entorhinal area medial part dorsal zone layer 3, entorhinal area medial part dorsal zone layer 5, field ca1, subiculum, void, ca1, dg-mo, dg-sg, entm1, entm2, entm3, entm5, sub, void",47139
4364a246-f8d7-4ce7-ba23-a098104b96e4,8dfb86c8-d45c-46c4-90ec-33078014d434,8dfb86c8-d45c-46c4-90ec-33078014d434,angelakilab,NYU-12,2019-08-27,2020-01-20,probe01,3B2,true,false,"163 good, 1202 overall",163,1202,6021323,557,82 minutes,82,4931.99434072487,1202,6,5,LD;ZI;VAL;PO;VM;LHA,LD;PO;VAL;VM;LHA,"lateral dorsal nucleus of thalamus, lateral hypothalamic area, posterior complex of the thalamus, ventral anterior-lateral complex of the thalamus, ventral medial nucleus of the thalamus, ld, lha, po, val, vm",47282
b182b754-3c3e-4942-8144-6ee790926b58,c893c0a3-5597-49cf-baa1-60efdfdef542,c893c0a3-5597-49cf-baa1-60efdfdef542,angelakilab,NYU-12,2019-08-27,2020-01-21,probe01,3B2,true,false,"234 good, 1255 overall",234,1255,11081575,444,73 minutes,73,4432.205628034817,1255,11,10,SCig;SCiw;SCdg;MB;MRN;PPN;P;NLL;PC5;ll;sctv,SCiw;SCdg;MB;MRN;PPN;P;NLL;ll;sctv;PC5,"midbrain, midbrain reticular nucleus, nucleus of the lateral lemniscus, parvicellular motor 5 nucleus, pedunculopontine nucleus, pons, superior colliculus motor related deep gray layer, superior colliculus motor related intermediate white layer, lateral lemniscus, ventral spinocerebellar tract, mb, mrn, nll, p, pc5, ppn, scdg, sciw, ll, sctv",47220
032ffcdf-7692-40b3-b9ff-8def1fc18b2e,d213e786-4b1c-477d-a710-766d69fa1ac1,d213e786-4b1c-477d-a710-766d69fa1ac1,angelakilab,NYU-12,2019-08-27,2020-01-23,probe00,3B2,true,false,"29 good, 983 overall",29,983,1712436,581,94 minutes,94,5677.262489751309,983,15,9,VISp1;VISp2/3;VISp4;VISp5;VISp6a;VISp6b;fp;dhc;POST;NB;PBG;root;or;bic;MB,VISp5;VISp6a;VISp6b;fp;POST;bic;NB;MB;PBG,"midbrain, nucleus of the brachium of the inferior colliculus, parabigeminal nucleus, postsubiculum, primary visual area layer 5, primary visual area layer 6a, primary visual area layer 6b, brachium of the inferior colliculus, corpus callosum posterior forceps, mb, nb, pbg, post, visp5, visp6a, visp6b, bic, fp",41925
ebe2efe3-e8a1-451a-8947-76ef42427cc9,73ff4936-8cd3-4a75-a772-f563e67d249d,73ff4936-8cd3-4a75-a772-f563e67d249d,angelakilab,NYU-21,2019-12-31,2020-08-19,probe00,3B2,true,false,"49 good, 591 overall",49,591,1701600,672,77 minutes,77,4667.180831703917,591,9,6,MOp5;MOp6a;cing;MOp6b;ccb;CP;STR;PAL;BST,MOp5;MOp6a;MOp6b;CP;STR;BST,"bed nuclei of the stria terminalis, caudoputamen, primary motor area layer 5, primary motor area layer 6a, primary motor area layer 6b, striatum, bst, cp, mop5, mop6a, mop6b, str",45148
