cluster_id	Amplitude
0	11.5
1	10.9
2	10.8
3	11.2
4	10.2
5	25.0
6	9.9
7	11.1
8	14.4
9	28.9
10	10.4
11	10.2
12	23.0
13	10.8
14	26.8
15	10.7
16	11.6
17	10.3
18	10.4
19	31.1
20	11.3
21	54.8
22	12.0
23	10.8
24	65.0
25	10.1
26	59.8
27	11.1
28	10.6
29	9.7
30	30.5
31	12.4
32	11.2
33	10.9
34	85.3
35	12.4
36	28.2
37	11.2
38	29.8
39	10.7
40	38.7
41	10.5
42	12.4
43	30.4
44	10.4
45	32.5
46	11.2
47	15.0
48	9.9
49	56.1
50	9.1
51	42.3
52	10.9
53	9.1
54	38.9
55	53.8
56	15.6
57	19.2
58	10.1
59	45.7
60	9.9
61	9.4
62	13.0
63	10.0
64	20.9
65	9.1
66	9.0
67	32.5
68	22.8
69	36.7
70	13.3
71	10.8
72	9.8
73	10.5
74	46.4
75	54.5
76	14.3
77	9.9
78	25.7
79	13.1
80	11.0
81	35.0
82	30.3
83	11.3
84	14.4
85	22.8
86	12.1
87	29.9
88	33.3
89	9.7
90	11.6
91	34.5
92	11.5
93	9.6
94	37.6
95	12.3
96	39.4
97	37.8
98	9.3
99	11.1
100	10.8
101	11.9
102	30.6
103	29.0
104	11.3
105	9.8
106	10.1
107	12.1
108	12.3
109	34.1
110	11.9
111	9.7
112	10.6
113	41.3
114	14.5
115	9.4
116	9.5
117	9.2
118	59.8
119	22.5
120	48.1
121	12.3
122	27.2
123	10.1
124	10.4
125	12.1
126	30.5
127	29.7
128	24.2
129	9.4
130	33.8
131	6.8
132	10.0
133	13.2
134	11.3
135	25.6
136	11.1
137	9.9
138	16.8
139	46.1
140	10.3
141	9.8
142	12.6
143	36.1
144	53.0
145	14.4
146	9.3
147	10.0
148	22.4
149	11.1
150	27.2
151	47.5
152	10.4
153	27.4
154	11.3
155	10.6
156	10.9
157	39.9
158	23.0
159	9.9
160	8.5
161	9.9
162	23.6
163	23.5
164	9.2
165	42.9
166	38.4
167	12.0
168	30.2
169	10.9
170	42.7
171	40.6
172	31.4
173	9.3
174	10.8
175	10.1
176	28.6
177	11.3
178	29.6
179	10.6
180	10.3
181	10.2
182	9.8
183	13.3
184	12.6
185	9.5
186	36.7
187	11.6
188	10.6
189	9.7
190	10.7
191	8.8
192	30.6
193	39.1
194	9.9
195	9.9
196	10.8
197	9.8
198	9.7
199	10.9
200	9.8
201	10.6
202	9.9
203	10.1
204	9.8
205	10.7
206	9.8
207	9.9
208	9.7
209	10.0
210	12.2
211	44.7
212	10.5
213	10.5
214	11.0
215	10.1
216	9.8
217	9.9
218	9.6
219	9.8
220	10.4
221	25.7
222	10.6
223	11.2
224	10.3
225	9.9
226	11.5
227	10.2
228	10.1
229	25.0
230	10.2
231	10.4
232	10.1
233	17.4
234	9.8
235	9.4
236	10.2
237	10.6
238	9.8
239	9.9
240	21.1
241	10.6
242	10.2
243	11.4
244	11.4
245	31.5
246	13.9
247	9.6
248	56.1
249	16.3
250	13.8
251	38.5
252	10.4
253	11.8
254	9.8
255	44.9
256	13.8
257	10.4
258	10.7
259	44.0
260	9.5
261	9.9
262	11.3
263	10.1
264	10.1
265	10.5
266	10.1
267	10.8
268	10.2
269	10.2
270	45.3
271	10.1
272	10.2
273	10.1
274	10.7
275	10.3
276	10.6
277	10.2
278	44.5
279	9.9
280	55.6
281	10.5
282	10.2
283	90.0
284	11.0
285	11.7
286	10.3
287	40.6
288	10.5
289	10.3
290	24.5
291	9.7
292	57.6
293	30.7
294	16.7
295	8.6
296	10.9
297	10.4
298	11.2
299	124.7
300	41.4
301	18.0
302	12.3
303	10.8
304	59.8
305	9.7
306	10.4
307	15.6
308	31.0
309	42.8
310	12.3
311	11.7
312	9.9
313	29.5
314	10.6
315	12.3
316	12.6
317	37.5
318	9.3
319	37.8
320	9.1
321	9.9
322	36.5
323	33.9
324	44.1
325	48.8
326	10.5
327	14.0
328	11.6
329	13.5
330	8.5
331	29.7
332	29.8
333	9.4
334	8.9
335	11.1
336	12.5
337	10.0
338	32.3
339	10.7
340	37.6
341	9.6
342	11.6
343	10.1
344	10.1
345	10.9
346	9.9
347	11.6
348	10.8
349	10.0
350	10.6
351	10.2
352	11.5
