cluster_id	KSLabel
0	mua
1	mua
2	mua
3	mua
4	mua
5	good
6	mua
7	mua
8	mua
9	good
10	mua
11	mua
12	good
13	mua
14	good
15	mua
16	mua
17	mua
18	mua
19	good
20	mua
21	good
22	mua
23	mua
24	good
25	mua
26	good
27	mua
28	mua
29	mua
30	good
31	mua
32	mua
33	mua
34	good
35	mua
36	good
37	mua
38	good
39	good
40	good
41	mua
42	mua
43	good
44	mua
45	mua
46	mua
47	mua
48	mua
49	good
50	mua
51	good
52	mua
53	mua
54	mua
55	good
56	mua
57	mua
58	mua
59	good
60	mua
61	mua
62	mua
63	mua
64	good
65	mua
66	mua
67	good
68	good
69	good
70	mua
71	mua
72	mua
73	mua
74	good
75	good
76	mua
77	mua
78	good
79	mua
80	mua
81	good
82	good
83	mua
84	mua
85	mua
86	mua
87	mua
88	good
89	mua
90	mua
91	good
92	mua
93	mua
94	good
95	good
96	good
97	good
98	mua
99	mua
100	mua
101	mua
102	good
103	good
104	mua
105	mua
106	mua
107	mua
108	mua
109	mua
110	mua
111	mua
112	mua
113	good
114	mua
115	mua
116	mua
117	mua
118	good
119	mua
120	good
121	mua
122	good
123	mua
124	mua
125	mua
126	good
127	good
128	good
129	mua
130	good
131	mua
132	mua
133	mua
134	mua
135	good
136	mua
137	mua
138	good
139	good
140	mua
141	mua
142	mua
143	good
144	good
145	mua
146	mua
147	mua
148	good
149	mua
150	mua
151	good
152	mua
153	good
154	mua
155	mua
156	mua
157	good
158	good
159	mua
160	mua
161	mua
162	good
163	good
164	mua
165	good
166	good
167	mua
168	good
169	mua
170	good
171	good
172	good
173	mua
174	mua
175	mua
176	good
177	mua
178	good
179	mua
180	mua
181	mua
182	mua
183	mua
184	mua
185	mua
186	good
187	mua
188	mua
189	mua
190	mua
191	mua
192	good
193	good
194	mua
195	mua
196	mua
197	mua
198	mua
199	mua
200	mua
201	mua
202	mua
203	mua
204	mua
205	mua
206	mua
207	mua
208	mua
209	mua
210	mua
211	good
212	mua
213	mua
214	mua
215	mua
216	mua
217	mua
218	mua
219	mua
220	mua
221	good
222	mua
223	mua
224	mua
225	mua
226	mua
227	mua
228	mua
229	good
230	mua
231	mua
232	mua
233	mua
234	mua
235	mua
236	mua
237	mua
238	mua
239	mua
240	good
241	mua
242	mua
243	mua
244	mua
245	good
246	mua
247	mua
248	good
249	mua
250	mua
251	good
252	mua
253	mua
254	mua
255	good
256	mua
257	mua
258	mua
259	good
260	mua
261	mua
262	mua
263	mua
264	mua
265	mua
266	mua
267	mua
268	mua
269	mua
270	good
271	mua
272	mua
273	mua
274	mua
275	mua
276	mua
277	mua
278	good
279	mua
280	good
281	mua
282	mua
283	good
284	mua
285	mua
286	mua
287	good
288	mua
289	mua
290	mua
291	mua
292	good
293	good
294	mua
295	mua
296	mua
297	mua
298	mua
299	good
300	good
301	mua
302	mua
303	mua
304	good
305	mua
306	mua
307	mua
308	mua
309	good
310	mua
311	mua
312	mua
313	mua
314	mua
315	mua
316	mua
317	mua
318	mua
319	good
320	mua
321	mua
322	good
323	good
324	good
325	good
326	mua
327	mua
328	mua
329	mua
330	mua
331	good
332	good
333	mua
334	mua
335	mua
336	mua
337	mua
338	good
339	mua
340	good
341	mua
342	mua
343	mua
344	mua
345	mua
346	mua
347	mua
348	mua
349	mua
350	mua
351	mua
352	mua
