cluster_id	KSLabel
0	mua
1	mua
2	mua
3	mua
4	mua
5	mua
6	mua
7	mua
8	mua
9	good
10	mua
11	good
12	mua
13	good
14	mua
15	mua
16	mua
17	mua
18	good
19	mua
20	mua
21	mua
22	mua
23	mua
24	mua
25	good
26	mua
27	mua
28	mua
29	good
30	mua
31	mua
32	good
33	mua
34	mua
35	good
36	mua
37	mua
38	mua
39	good
40	good
41	good
42	good
43	mua
44	mua
45	good
46	mua
47	mua
48	good
49	mua
50	mua
51	mua
52	mua
53	mua
54	mua
55	mua
56	good
57	mua
58	good
59	good
60	good
61	good
62	mua
63	good
64	good
65	mua
66	mua
67	mua
68	good
69	mua
70	good
71	good
72	mua
73	good
74	mua
75	mua
76	good
77	good
78	good
79	good
80	mua
81	mua
82	mua
83	good
84	mua
85	mua
86	mua
87	mua
88	good
89	good
90	good
91	mua
92	mua
93	mua
94	mua
95	good
96	mua
97	mua
98	good
99	good
100	good
101	mua
102	mua
103	good
104	mua
105	good
106	mua
107	mua
108	mua
109	mua
110	mua
111	mua
112	good
113	good
114	mua
115	mua
116	good
117	mua
118	mua
119	mua
120	mua
121	mua
122	mua
123	mua
124	mua
125	mua
126	mua
127	mua
128	good
129	mua
130	mua
131	mua
132	good
133	mua
134	mua
135	good
136	mua
137	mua
138	mua
139	good
140	mua
141	mua
142	mua
143	good
144	good
145	good
146	good
147	mua
148	mua
149	mua
150	mua
151	mua
152	mua
153	mua
154	mua
155	good
156	mua
157	mua
158	mua
159	good
160	mua
161	good
162	mua
163	good
164	good
165	good
166	good
167	mua
168	mua
169	mua
170	good
171	mua
172	mua
173	good
174	good
175	good
176	good
177	mua
178	mua
179	good
180	good
181	mua
182	mua
183	mua
184	mua
185	good
186	mua
187	good
188	mua
189	mua
190	mua
191	good
192	mua
193	mua
194	mua
195	good
196	mua
197	mua
198	mua
199	mua
200	good
201	mua
202	mua
203	good
204	mua
205	mua
206	mua
207	mua
208	mua
209	mua
210	mua
211	mua
212	mua
213	mua
214	mua
215	mua
216	mua
217	mua
218	mua
219	mua
220	good
221	mua
222	mua
223	mua
224	good
225	mua
226	mua
227	mua
228	good
229	mua
230	mua
231	mua
232	mua
233	mua
234	mua
235	mua
236	mua
237	mua
238	mua
239	mua
240	mua
241	good
242	mua
243	mua
244	mua
245	mua
246	mua
247	mua
248	good
249	mua
250	good
251	mua
252	mua
253	mua
254	good
255	mua
256	good
257	mua
258	good
259	mua
260	good
261	mua
262	mua
263	mua
264	mua
265	good
266	mua
267	mua
268	good
269	mua
270	mua
271	mua
272	mua
273	good
274	mua
275	mua
276	mua
277	good
278	mua
279	good
280	mua
281	mua
282	good
283	mua
284	mua
285	mua
286	mua
287	mua
288	mua
289	good
290	mua
291	mua
292	mua
293	mua
294	mua
295	mua
296	mua
297	mua
298	good
299	good
300	mua
301	mua
302	good
303	mua
304	good
305	good
306	mua
307	mua
308	good
309	mua
310	good
311	good
312	mua
313	mua
314	mua
315	good
316	mua
317	mua
318	good
319	mua
320	mua
321	mua
322	mua
323	mua
324	mua
325	good
326	mua
327	mua
328	mua
329	mua
330	mua
331	mua
332	good
333	good
334	good
335	mua
336	mua
337	mua
338	mua
339	mua
340	mua
341	good
342	good
343	mua
344	good
345	mua
346	good
347	good
348	mua
349	good
350	mua
351	mua
352	mua
353	mua
354	mua
355	mua
356	mua
357	good
358	mua
359	mua
360	mua
361	mua
362	mua
363	mua
364	mua
365	mua
366	mua
