cluster_id	Amplitude
0	9.7
1	12.2
2	18.4
3	10.6
4	9.5
5	10.6
6	13.7
7	11.1
8	20.3
9	31.4
10	15.3
11	10.4
12	22.5
13	23.9
14	8.8
15	10.0
16	13.8
17	23.1
18	11.0
19	13.0
20	30.5
21	10.2
22	10.9
23	15.5
24	11.1
25	54.2
26	18.8
27	15.6
28	9.8
29	23.1
30	11.5
31	8.7
32	53.4
33	62.8
34	26.4
35	13.2
36	11.1
37	28.9
38	14.9
39	12.7
40	49.6
41	26.2
42	23.2
43	13.8
44	39.1
45	28.7
46	11.1
47	9.7
48	16.3
49	13.7
50	23.3
51	11.3
52	30.2
53	23.4
54	42.6
55	57.3
56	49.6
57	21.8
58	9.2
59	33.1
60	52.4
61	9.1
62	38.8
63	33.3
64	15.8
65	15.7
66	13.6
67	21.2
68	9.3
69	35.8
70	35.1
71	14.1
72	9.7
73	13.4
74	37.6
75	45.0
76	10.2
77	19.3
78	13.2
79	28.6
80	9.0
81	33.9
82	27.0
83	46.0
84	20.7
85	10.9
86	23.9
87	31.0
88	9.7
89	11.7
90	24.8
91	30.1
92	10.4
93	11.9
94	10.6
95	12.4
96	35.2
97	10.7
98	28.2
99	11.6
100	25.4
101	10.3
102	13.2
103	28.2
104	12.6
105	26.8
106	10.6
107	35.8
108	30.7
109	24.7
110	28.9
111	40.2
112	24.4
113	9.7
114	60.3
115	10.4
116	21.6
117	11.1
118	11.5
119	9.3
120	30.8
121	19.6
122	11.9
123	9.9
124	22.7
125	12.1
126	14.3
127	8.7
128	28.8
129	21.8
130	28.7
131	9.2
132	31.1
133	9.2
134	16.7
135	24.3
136	15.2
137	11.9
138	17.0
139	12.6
140	23.2
141	19.4
142	18.2
143	10.2
144	44.2
145	10.8
146	66.4
147	38.2
148	19.7
149	10.2
150	8.9
151	49.0
152	25.7
153	24.8
154	9.9
155	20.8
156	10.6
157	36.5
158	13.3
159	8.2
160	21.8
161	23.6
162	37.4
163	41.8
164	21.7
165	11.8
166	29.9
167	10.0
168	29.9
169	36.6
170	23.3
171	41.4
172	15.2
173	22.0
174	11.6
175	25.8
176	10.6
177	18.1
178	7.1
179	11.1
180	20.8
181	17.2
182	11.7
183	10.1
184	32.0
185	12.4
186	19.5
187	14.1
188	10.2
189	11.3
190	9.0
191	11.5
192	12.3
193	8.4
194	19.9
195	10.0
196	16.5
197	9.5
198	15.7
199	10.3
200	12.3
201	11.9
202	12.2
203	11.2
204	11.6
205	10.5
206	23.1
207	17.5
208	10.5
209	9.0
210	17.3
211	10.0
212	28.7
213	9.9
214	13.6
215	22.6
216	8.8
217	49.0
218	63.4
219	5.1
220	37.3
221	35.3
222	11.4
223	32.2
224	29.9
225	19.3
226	22.6
227	9.9
228	10.1
229	11.1
230	31.4
231	9.2
232	40.4
233	6.8
234	19.4
235	40.9
236	9.7
237	14.2
238	10.0
239	9.5
240	61.6
241	38.7
242	9.0
243	9.5
244	9.5
245	10.4
246	52.4
247	45.2
248	9.9
249	77.8
250	9.6
251	35.6
252	10.9
253	8.5
254	16.4
255	18.7
256	27.1
257	10.3
258	10.6
259	111.2
260	10.6
261	35.6
262	57.4
263	10.4
264	15.5
265	42.9
266	9.0
267	17.7
268	27.7
269	37.8
270	27.0
271	12.0
272	10.7
273	23.9
274	10.1
275	12.2
276	35.7
277	34.9
278	11.1
279	43.9
280	42.8
281	23.2
282	10.3
283	13.1
284	20.5
285	11.4
286	28.9
287	10.5
288	10.9
289	32.6
290	27.3
291	34.8
292	35.2
293	16.1
294	30.9
295	9.5
296	27.1
297	9.8
298	11.1
299	10.9
300	11.8
301	10.8
302	8.2
