cluster_id	KSLabel
0	mua
1	good
2	good
3	mua
4	mua
5	mua
6	good
7	mua
8	good
9	mua
10	mua
11	mua
12	good
13	mua
14	mua
15	mua
16	mua
17	good
18	mua
19	good
20	good
21	mua
22	mua
23	mua
24	mua
25	good
26	good
27	good
28	mua
29	good
30	mua
31	mua
32	good
33	good
34	good
35	mua
36	mua
37	good
38	mua
39	mua
40	mua
41	good
42	good
43	mua
44	good
45	good
46	mua
47	mua
48	mua
49	mua
50	good
51	mua
52	mua
53	good
54	good
55	good
56	good
57	good
58	mua
59	good
60	good
61	mua
62	good
63	good
64	mua
65	good
66	mua
67	good
68	mua
69	good
70	good
71	mua
72	mua
73	mua
74	good
75	good
76	mua
77	mua
78	mua
79	good
80	mua
81	good
82	mua
83	good
84	good
85	good
86	mua
87	good
88	mua
89	mua
90	good
91	good
92	mua
93	mua
94	mua
95	good
96	mua
97	mua
98	good
99	mua
100	good
101	mua
102	mua
103	good
104	mua
105	good
106	mua
107	good
108	good
109	good
110	good
111	good
112	good
113	mua
114	good
115	good
116	good
117	mua
118	mua
119	mua
120	good
121	mua
122	mua
123	mua
124	good
125	mua
126	mua
127	mua
128	good
129	good
130	good
131	mua
132	good
133	mua
134	good
135	good
136	mua
137	mua
138	good
139	mua
140	good
141	good
142	good
143	mua
144	good
145	mua
146	good
147	good
148	mua
149	mua
150	mua
151	good
152	good
153	good
154	good
155	good
156	mua
157	good
158	mua
159	mua
160	good
161	good
162	good
163	good
164	good
165	mua
166	good
167	mua
168	good
169	good
170	good
171	good
172	good
173	good
174	mua
175	good
176	mua
177	mua
178	mua
179	mua
180	good
181	good
182	mua
183	mua
184	good
185	mua
186	mua
187	mua
188	mua
189	mua
190	mua
191	mua
192	mua
193	mua
194	good
195	mua
196	mua
197	mua
198	mua
199	mua
200	good
201	mua
202	mua
203	mua
204	mua
205	mua
206	good
207	good
208	mua
209	mua
210	good
211	mua
212	good
213	mua
214	mua
215	mua
216	mua
217	good
218	good
219	mua
220	good
221	good
222	mua
223	good
224	good
225	good
226	good
227	mua
228	mua
229	mua
230	good
231	mua
232	good
233	mua
234	good
235	good
236	mua
237	mua
238	mua
239	mua
240	good
241	good
242	mua
243	mua
244	mua
245	mua
246	good
247	good
248	mua
249	good
250	mua
251	good
252	mua
253	mua
254	mua
255	mua
256	good
257	mua
258	mua
259	good
260	mua
261	good
262	good
263	mua
264	mua
265	good
266	mua
267	good
268	mua
269	mua
270	good
271	mua
272	mua
273	good
274	mua
275	mua
276	good
277	mua
278	mua
279	good
280	good
281	mua
282	mua
283	mua
284	mua
285	mua
286	good
287	mua
288	mua
289	good
290	good
291	good
292	good
293	mua
294	good
295	mua
296	good
297	mua
298	mua
299	mua
300	mua
301	mua
302	mua
