neuron_id,baseline_spikes,compressed_spikes,matched_spikes_after_binning,binned_count_accuracy,sensitivity,ratio,baseline_mode,pipeline_version,cache_path,neuron_type,constraint_mode,dct_window_label,bin_size_samples,bin_size_seconds
22,224,147,130,0.5803571428571429,0.4196428571428571,0.1,ratio1baseline,int16_main_v4_ratio1baseline,G:\academic\week5_neuron_sensitivity_ratio_0.10_full_30000sampbin_ratio1baseline.npy,most sensitive,all_neuron,full_timeline,30000,1.0
94,4202,10,10,0.002379819133745835,0.9976201808662541,0.1,ratio1baseline,int16_main_v4_ratio1baseline,G:\academic\week5_neuron_sensitivity_ratio_0.10_full_30000sampbin_ratio1baseline.npy,most robust,all_neuron,full_timeline,30000,1.0
22,224,205,198,0.8839285714285714,0.1160714285714286,0.2,ratio1baseline,int16_main_v4_ratio1baseline,G:\academic\week5_neuron_sensitivity_ratio_0.20_full_30000sampbin_ratio1baseline.npy,most sensitive,all_neuron,full_timeline,30000,1.0
94,4202,2484,2484,0.5911470728224655,0.4088529271775345,0.2,ratio1baseline,int16_main_v4_ratio1baseline,G:\academic\week5_neuron_sensitivity_ratio_0.20_full_30000sampbin_ratio1baseline.npy,most robust,all_neuron,full_timeline,30000,1.0
22,224,211,199,0.8883928571428571,0.1116071428571429,0.3,ratio1baseline,int16_main_v4_ratio1baseline,G:\academic\week5_neuron_sensitivity_ratio_0.30_full_30000sampbin_ratio1baseline.npy,most sensitive,all_neuron,full_timeline,30000,1.0
94,4202,4170,4170,0.9923845787720134,0.007615421227986641,0.3,ratio1baseline,int16_main_v4_ratio1baseline,G:\academic\week5_neuron_sensitivity_ratio_0.30_full_30000sampbin_ratio1baseline.npy,most robust,all_neuron,full_timeline,30000,1.0
22,224,223,213,0.9508928571428571,0.049107142857142905,0.5,ratio1baseline,int16_main_v4_ratio1baseline,G:\academic\week5_neuron_sensitivity_ratio_0.50_full_30000sampbin_ratio1baseline.npy,most sensitive,all_neuron,full_timeline,30000,1.0
94,4202,4202,4202,1.0,0.0,0.5,ratio1baseline,int16_main_v4_ratio1baseline,G:\academic\week5_neuron_sensitivity_ratio_0.50_full_30000sampbin_ratio1baseline.npy,most robust,all_neuron,full_timeline,30000,1.0
22,224,223,215,0.9598214285714286,0.0401785714285714,0.7,ratio1baseline,int16_main_v4_ratio1baseline,G:\academic\week5_neuron_sensitivity_ratio_0.70_full_30000sampbin_ratio1baseline.npy,most sensitive,all_neuron,full_timeline,30000,1.0
94,4202,4202,4202,1.0,0.0,0.7,ratio1baseline,int16_main_v4_ratio1baseline,G:\academic\week5_neuron_sensitivity_ratio_0.70_full_30000sampbin_ratio1baseline.npy,most robust,all_neuron,full_timeline,30000,1.0
22,224,224,224,1.0,0.0,1.0,ratio1baseline,int16_main_v4_ratio1baseline,G:\academic\week5_neuron_sensitivity_ratio_1.00_full_30000sampbin_ratio1baseline.npy,most sensitive,all_neuron,full_timeline,30000,1.0
94,4202,4202,4202,1.0,0.0,1.0,ratio1baseline,int16_main_v4_ratio1baseline,G:\academic\week5_neuron_sensitivity_ratio_1.00_full_30000sampbin_ratio1baseline.npy,most robust,all_neuron,full_timeline,30000,1.0
