neuron_id,baseline_spikes,compressed_spikes,matched_spikes_after_binning,binned_count_accuracy,sensitivity,ratio,baseline_mode,pipeline_version,cache_path,neuron_type,constraint_mode,dct_window_label,bin_size_samples,bin_size_seconds
162,310,10,9,0.02903225806451613,0.9709677419354839,0.1,ratio1baseline,int16_main_v4_ratio1baseline,G:\academic\week5_neuron_sensitivity_ratio_0.10_full_30000sampbin_ratio1baseline.npy,most sensitive,mean_bin,full_timeline,30000,1.0
176,231,214,214,0.9264069264069265,0.07359307359307354,0.1,ratio1baseline,int16_main_v4_ratio1baseline,G:\academic\week5_neuron_sensitivity_ratio_0.10_full_30000sampbin_ratio1baseline.npy,most robust,mean_bin,full_timeline,30000,1.0
162,310,49,49,0.15806451612903225,0.8419354838709677,0.2,ratio1baseline,int16_main_v4_ratio1baseline,G:\academic\week5_neuron_sensitivity_ratio_0.20_full_30000sampbin_ratio1baseline.npy,most sensitive,mean_bin,full_timeline,30000,1.0
176,231,231,227,0.9826839826839827,0.017316017316017285,0.2,ratio1baseline,int16_main_v4_ratio1baseline,G:\academic\week5_neuron_sensitivity_ratio_0.20_full_30000sampbin_ratio1baseline.npy,most robust,mean_bin,full_timeline,30000,1.0
162,310,215,215,0.6935483870967742,0.30645161290322576,0.3,ratio1baseline,int16_main_v4_ratio1baseline,G:\academic\week5_neuron_sensitivity_ratio_0.30_full_30000sampbin_ratio1baseline.npy,most sensitive,mean_bin,full_timeline,30000,1.0
176,231,231,231,1.0,0.0,0.3,ratio1baseline,int16_main_v4_ratio1baseline,G:\academic\week5_neuron_sensitivity_ratio_0.30_full_30000sampbin_ratio1baseline.npy,most robust,mean_bin,full_timeline,30000,1.0
162,310,299,299,0.964516129032258,0.03548387096774197,0.5,ratio1baseline,int16_main_v4_ratio1baseline,G:\academic\week5_neuron_sensitivity_ratio_0.50_full_30000sampbin_ratio1baseline.npy,most sensitive,mean_bin,full_timeline,30000,1.0
176,231,231,231,1.0,0.0,0.5,ratio1baseline,int16_main_v4_ratio1baseline,G:\academic\week5_neuron_sensitivity_ratio_0.50_full_30000sampbin_ratio1baseline.npy,most robust,mean_bin,full_timeline,30000,1.0
162,310,308,306,0.9870967741935484,0.012903225806451646,0.7,ratio1baseline,int16_main_v4_ratio1baseline,G:\academic\week5_neuron_sensitivity_ratio_0.70_full_30000sampbin_ratio1baseline.npy,most sensitive,mean_bin,full_timeline,30000,1.0
176,231,231,231,1.0,0.0,0.7,ratio1baseline,int16_main_v4_ratio1baseline,G:\academic\week5_neuron_sensitivity_ratio_0.70_full_30000sampbin_ratio1baseline.npy,most robust,mean_bin,full_timeline,30000,1.0
162,310,310,310,1.0,0.0,1.0,ratio1baseline,int16_main_v4_ratio1baseline,G:\academic\week5_neuron_sensitivity_ratio_1.00_full_30000sampbin_ratio1baseline.npy,most sensitive,mean_bin,full_timeline,30000,1.0
176,231,231,231,1.0,0.0,1.0,ratio1baseline,int16_main_v4_ratio1baseline,G:\academic\week5_neuron_sensitivity_ratio_1.00_full_30000sampbin_ratio1baseline.npy,most robust,mean_bin,full_timeline,30000,1.0
