neuron_id,baseline_spikes,compressed_spikes,matched_spikes_after_binning,binned_count_accuracy,sensitivity,ratio,baseline_mode,pipeline_version,cache_path,neuron_type,constraint_mode,dct_window_label,bin_size_samples,bin_size_seconds
22,224,153,134,0.5982142857142857,0.4017857142857143,0.1,ratio1baseline,int16_main_v4_ratio1baseline,G:\academic\week5_neuron_sensitivity_ratio_0.10_dctwin_600samp_30000sampbin_ratio1baseline.npy,most sensitive,all_neuron,windowed_600_samples,30000,1.0
94,4202,19,19,0.004521656354117087,0.995478343645883,0.1,ratio1baseline,int16_main_v4_ratio1baseline,G:\academic\week5_neuron_sensitivity_ratio_0.10_dctwin_600samp_30000sampbin_ratio1baseline.npy,most robust,all_neuron,windowed_600_samples,30000,1.0
22,224,208,197,0.8794642857142857,0.1205357142857143,0.2,ratio1baseline,int16_main_v4_ratio1baseline,G:\academic\week5_neuron_sensitivity_ratio_0.20_dctwin_600samp_30000sampbin_ratio1baseline.npy,most sensitive,all_neuron,windowed_600_samples,30000,1.0
94,4202,2469,2469,0.5875773441218467,0.4124226558781533,0.2,ratio1baseline,int16_main_v4_ratio1baseline,G:\academic\week5_neuron_sensitivity_ratio_0.20_dctwin_600samp_30000sampbin_ratio1baseline.npy,most robust,all_neuron,windowed_600_samples,30000,1.0
22,224,213,201,0.8973214285714286,0.1026785714285714,0.3,ratio1baseline,int16_main_v4_ratio1baseline,G:\academic\week5_neuron_sensitivity_ratio_0.30_dctwin_600samp_30000sampbin_ratio1baseline.npy,most sensitive,all_neuron,windowed_600_samples,30000,1.0
94,4202,4171,4171,0.9926225606853879,0.0073774393146121,0.3,ratio1baseline,int16_main_v4_ratio1baseline,G:\academic\week5_neuron_sensitivity_ratio_0.30_dctwin_600samp_30000sampbin_ratio1baseline.npy,most robust,all_neuron,windowed_600_samples,30000,1.0
22,224,222,212,0.9464285714285714,0.0535714285714286,0.5,ratio1baseline,int16_main_v4_ratio1baseline,G:\academic\week5_neuron_sensitivity_ratio_0.50_dctwin_600samp_30000sampbin_ratio1baseline.npy,most sensitive,all_neuron,windowed_600_samples,30000,1.0
94,4202,4202,4202,1.0,0.0,0.5,ratio1baseline,int16_main_v4_ratio1baseline,G:\academic\week5_neuron_sensitivity_ratio_0.50_dctwin_600samp_30000sampbin_ratio1baseline.npy,most robust,all_neuron,windowed_600_samples,30000,1.0
22,224,223,215,0.9598214285714286,0.0401785714285714,0.7,ratio1baseline,int16_main_v4_ratio1baseline,G:\academic\week5_neuron_sensitivity_ratio_0.70_dctwin_600samp_30000sampbin_ratio1baseline.npy,most sensitive,all_neuron,windowed_600_samples,30000,1.0
94,4202,4202,4202,1.0,0.0,0.7,ratio1baseline,int16_main_v4_ratio1baseline,G:\academic\week5_neuron_sensitivity_ratio_0.70_dctwin_600samp_30000sampbin_ratio1baseline.npy,most robust,all_neuron,windowed_600_samples,30000,1.0
22,224,224,224,1.0,0.0,1.0,ratio1baseline,int16_main_v4_ratio1baseline,G:\academic\week5_neuron_sensitivity_ratio_1.00_dctwin_600samp_30000sampbin_ratio1baseline.npy,most sensitive,all_neuron,windowed_600_samples,30000,1.0
94,4202,4202,4202,1.0,0.0,1.0,ratio1baseline,int16_main_v4_ratio1baseline,G:\academic\week5_neuron_sensitivity_ratio_1.00_dctwin_600samp_30000sampbin_ratio1baseline.npy,most robust,all_neuron,windowed_600_samples,30000,1.0
