baseline_clu,n_ref,n_matched_from_test,same_label_rate,recall_from_test_side
0,748,595,0.16974789915966387,0.7954545454545454
1,605,496,0.1028225806451613,0.8198347107438017
2,1175,909,0.0704070407040704,0.7736170212765957
3,1351,1299,0.10854503464203233,0.9615099925980755
4,1464,1170,0.16324786324786325,0.7991803278688525
5,260,214,0.17757009345794392,0.823076923076923
6,1079,667,0.0,0.6181649675625579
7,610,490,0.044897959183673466,0.8032786885245902
8,95,80,0.1375,0.8421052631578947
9,769,482,0.056016597510373446,0.6267880364109233
10,268,195,0.05641025641025641,0.7276119402985075
11,678,547,0.054844606946983544,0.8067846607669616
12,834,695,0.1223021582733813,0.8333333333333334
13,591,557,0.10233393177737882,0.9424703891708968
14,258,241,0.15767634854771784,0.9341085271317829
15,505,393,0.03816793893129771,0.7782178217821782
16,380,223,0.053811659192825115,0.5868421052631579
17,864,652,0.07668711656441718,0.7546296296296297
18,320,241,0.029045643153526972,0.753125
19,405,335,0.10149253731343283,0.8271604938271605
20,515,331,0.03927492447129909,0.6427184466019418
21,805,637,0.10675039246467818,0.7913043478260869
22,230,171,0.0935672514619883,0.7434782608695653
23,371,218,0.0,0.5876010781671159
24,333,285,0.09824561403508772,0.8558558558558559
25,576,438,0.1095890410958904,0.7604166666666666
26,534,430,0.05581395348837209,0.8052434456928839
27,649,464,0.04310344827586207,0.7149460708782742
28,469,331,0.03323262839879154,0.7057569296375267
29,1135,988,0.12449392712550607,0.8704845814977974
30,220,267,0.33707865168539325,1.2136363636363636
31,176,119,0.11764705882352941,0.6761363636363636
32,2649,1941,0.03709428129829984,0.7327293318233296
33,942,665,0.09323308270676692,0.7059447983014862
34,293,345,0.391304347826087,1.1774744027303754
35,166,236,0.4830508474576271,1.4216867469879517
36,300,257,0.054474708171206226,0.8566666666666667
37,128,247,0.004048582995951417,1.9296875
38,410,237,0.012658227848101266,0.5780487804878048
39,391,295,0.03728813559322034,0.7544757033248082
40,565,479,0.1127348643006263,0.8477876106194691
41,255,213,0.1643192488262911,0.8352941176470589
42,320,287,0.10104529616724739,0.896875
43,784,676,0.17011834319526628,0.8622448979591837
44,944,686,0.04664723032069971,0.7266949152542372
45,147,79,0.012658227848101266,0.5374149659863946
46,262,181,0.06077348066298342,0.6908396946564885
47,494,333,0.08708708708708708,0.6740890688259109
48,189,148,0.16891891891891891,0.783068783068783
49,397,420,0.34523809523809523,1.057934508816121
50,1212,957,0.06374085684430512,0.7896039603960396
51,551,451,0.13303769401330376,0.8185117967332124
52,56,62,0.27419354838709675,1.1071428571428572
53,415,338,0.13609467455621302,0.8144578313253013
54,243,197,0.09644670050761421,0.8106995884773662
55,831,625,0.1312,0.7521058965102286
56,124,170,0.4294117647058823,1.3709677419354838
57,139,124,0.5241935483870968,0.8920863309352518
58,169,138,0.2608695652173913,0.8165680473372781
59,752,638,0.11128526645768025,0.848404255319149
60,77,82,0.3048780487804878,1.0649350649350648
61,271,274,0.06569343065693431,1.011070110701107
62,238,215,0.13023255813953488,0.9033613445378151
63,275,200,0.12,0.7272727272727273
64,682,864,0.42939814814814814,1.2668621700879765
