neuron_id,baseline_spikes,compressed_spikes,matched_spikes_after_binning,binned_count_accuracy,sensitivity,ratio
162,310,215,215,0.6935483870967742,0.30645161290322576,0.30
89,108,130,85,0.7870370370370371,0.2129629629629629,0.30
78,96,81,78,0.8125,0.1875,0.30
188,92,77,75,0.8152173913043478,0.18478260869565222,0.30
45,216,247,178,0.8240740740740741,0.17592592592592593,0.30
37,120,115,102,0.85,0.15000000000000002,0.30
134,96,106,82,0.8541666666666666,0.14583333333333337,0.30
148,173,190,148,0.8554913294797688,0.1445086705202312,0.30
234,997,875,853,0.8555667001003009,0.1444332998996991,0.30
199,114,100,98,0.8596491228070176,0.14035087719298245,0.30
83,109,108,94,0.8623853211009175,0.13761467889908252,0.30
193,569,494,494,0.8681898066783831,0.13181019332161692,0.30
210,69,67,60,0.8695652173913043,0.13043478260869568,0.30
261,205,206,179,0.8731707317073171,0.12682926829268293,0.30
233,323,296,284,0.8792569659442725,0.1207430340557275,0.30
150,278,249,245,0.8812949640287769,0.11870503597122306,0.30
22,224,211,199,0.8883928571428571,0.1116071428571429,0.30
60,117,120,104,0.8888888888888888,0.11111111111111116,0.30
236,74,76,66,0.8918918918918919,0.10810810810810811,0.30
125,109,115,98,0.8990825688073395,0.1009174311926605,0.30
166,229,213,207,0.9039301310043668,0.09606986899563319,0.30
173,315,295,285,0.9047619047619048,0.09523809523809523,0.30
54,204,207,185,0.9068627450980392,0.09313725490196079,0.30
31,280,262,254,0.9071428571428571,0.09285714285714286,0.30
144,123,124,112,0.9105691056910569,0.08943089430894313,0.30
139,195,196,178,0.9128205128205128,0.0871794871794872,0.30
209,364,352,333,0.9148351648351648,0.0851648351648352,0.30
126,269,261,247,0.9182156133828996,0.08178438661710041,0.30
102,184,189,169,0.9184782608695652,0.08152173913043481,0.30
243,231,221,213,0.922077922077922,0.07792207792207795,0.30
235,463,478,427,0.9222462203023758,0.0777537796976242,0.30
259,276,264,255,0.9239130434782609,0.07608695652173914,0.30
175,263,261,243,0.9239543726235742,0.07604562737642584,0.30
90,383,376,354,0.9242819843342036,0.07571801566579639,0.30
219,409,393,379,0.9266503667481663,0.07334963325183375,0.30
159,179,174,166,0.9273743016759777,0.07262569832402233,0.30
