neuron_id,baseline_spikes,compressed_spikes,matched_spikes_after_binning,binned_count_accuracy,sensitivity,ratio,pipeline_version,baseline_mode,cache_path,neuron_type,selected_at_ratio,dct_window_label,bin_size_samples,bin_size_seconds,sample_rate
176,231,214,214,0.9264069264069265,0.07359307359307354,0.1,int16_main_v4_ratio1baseline,ratio1baseline,F:\academic\week5_neuron_sensitivity_ratio_0.10_full_30000sampbin_ratio1baseline.npy,most robust,0.3,full_timeline,30000,1.0,30000.0
176,231,231,227,0.9826839826839827,0.017316017316017285,0.2,int16_main_v4_ratio1baseline,ratio1baseline,F:\academic\week5_neuron_sensitivity_ratio_0.20_full_30000sampbin_ratio1baseline.npy,most robust,0.3,full_timeline,30000,1.0,30000.0
176,231,231,231,1.0,0.0,0.3,int16_main_v4_ratio1baseline,ratio1baseline,F:\academic\week5_neuron_sensitivity_ratio_0.30_full_30000sampbin_ratio1baseline.npy,most robust,0.3,full_timeline,30000,1.0,30000.0
176,231,231,231,1.0,0.0,0.5,int16_main_v4_ratio1baseline,ratio1baseline,F:\academic\week5_neuron_sensitivity_ratio_0.50_full_30000sampbin_ratio1baseline.npy,most robust,0.3,full_timeline,30000,1.0,30000.0
176,231,231,231,1.0,0.0,0.7,int16_main_v4_ratio1baseline,ratio1baseline,F:\academic\week5_neuron_sensitivity_ratio_0.70_full_30000sampbin_ratio1baseline.npy,most robust,0.3,full_timeline,30000,1.0,30000.0
176,231,231,231,1.0,0.0,1.0,int16_main_v4_ratio1baseline,ratio1baseline,F:\academic\week5_neuron_sensitivity_ratio_1.00_full_30000sampbin_ratio1baseline.npy,most robust,0.3,full_timeline,30000,1.0,30000.0
162,310,10,9,0.02903225806451613,0.9709677419354839,0.1,int16_main_v4_ratio1baseline,ratio1baseline,F:\academic\week5_neuron_sensitivity_ratio_0.10_full_30000sampbin_ratio1baseline.npy,most sensitive,0.3,full_timeline,30000,1.0,30000.0
162,310,49,49,0.15806451612903225,0.8419354838709677,0.2,int16_main_v4_ratio1baseline,ratio1baseline,F:\academic\week5_neuron_sensitivity_ratio_0.20_full_30000sampbin_ratio1baseline.npy,most sensitive,0.3,full_timeline,30000,1.0,30000.0
162,310,215,215,0.6935483870967742,0.30645161290322576,0.3,int16_main_v4_ratio1baseline,ratio1baseline,F:\academic\week5_neuron_sensitivity_ratio_0.30_full_30000sampbin_ratio1baseline.npy,most sensitive,0.3,full_timeline,30000,1.0,30000.0
162,310,299,299,0.964516129032258,0.03548387096774197,0.5,int16_main_v4_ratio1baseline,ratio1baseline,F:\academic\week5_neuron_sensitivity_ratio_0.50_full_30000sampbin_ratio1baseline.npy,most sensitive,0.3,full_timeline,30000,1.0,30000.0
162,310,308,306,0.9870967741935484,0.012903225806451646,0.7,int16_main_v4_ratio1baseline,ratio1baseline,F:\academic\week5_neuron_sensitivity_ratio_0.70_full_30000sampbin_ratio1baseline.npy,most sensitive,0.3,full_timeline,30000,1.0,30000.0
162,310,310,310,1.0,0.0,1.0,int16_main_v4_ratio1baseline,ratio1baseline,F:\academic\week5_neuron_sensitivity_ratio_1.00_full_30000sampbin_ratio1baseline.npy,most sensitive,0.3,full_timeline,30000,1.0,30000.0
