neuron_id,baseline_spikes,compressed_spikes,matched_spikes_after_binning,binned_count_accuracy,sensitivity,ratio,pipeline_version,baseline_mode,cache_path,neuron_type,selected_at_ratio,dct_window_label,bin_size_samples,bin_size_seconds,sample_rate
135,242,256,216,0.8925619834710744,0.1074380165289256,0.1,int16_main_v4_ratio1baseline,ratio1baseline,F:\academic\week5_neuron_sensitivity_ratio_0.10_dctwin_600samp_30000sampbin_ratio1baseline.npy,most robust,0.3,windowed_600_samples,30000,1.0,30000.0
135,242,240,238,0.9834710743801653,0.016528925619834656,0.2,int16_main_v4_ratio1baseline,ratio1baseline,F:\academic\week5_neuron_sensitivity_ratio_0.20_dctwin_600samp_30000sampbin_ratio1baseline.npy,most robust,0.3,windowed_600_samples,30000,1.0,30000.0
135,242,242,242,1.0,0.0,0.3,int16_main_v4_ratio1baseline,ratio1baseline,F:\academic\week5_neuron_sensitivity_ratio_0.30_dctwin_600samp_30000sampbin_ratio1baseline.npy,most robust,0.3,windowed_600_samples,30000,1.0,30000.0
135,242,242,242,1.0,0.0,0.5,int16_main_v4_ratio1baseline,ratio1baseline,F:\academic\week5_neuron_sensitivity_ratio_0.50_dctwin_600samp_30000sampbin_ratio1baseline.npy,most robust,0.3,windowed_600_samples,30000,1.0,30000.0
135,242,242,242,1.0,0.0,0.7,int16_main_v4_ratio1baseline,ratio1baseline,F:\academic\week5_neuron_sensitivity_ratio_0.70_dctwin_600samp_30000sampbin_ratio1baseline.npy,most robust,0.3,windowed_600_samples,30000,1.0,30000.0
135,242,242,242,1.0,0.0,1.0,int16_main_v4_ratio1baseline,ratio1baseline,F:\academic\week5_neuron_sensitivity_ratio_1.00_dctwin_600samp_30000sampbin_ratio1baseline.npy,most robust,0.3,windowed_600_samples,30000,1.0,30000.0
162,310,10,9,0.02903225806451613,0.9709677419354839,0.1,int16_main_v4_ratio1baseline,ratio1baseline,F:\academic\week5_neuron_sensitivity_ratio_0.10_dctwin_600samp_30000sampbin_ratio1baseline.npy,most sensitive,0.3,windowed_600_samples,30000,1.0,30000.0
162,310,50,50,0.16129032258064516,0.8387096774193549,0.2,int16_main_v4_ratio1baseline,ratio1baseline,F:\academic\week5_neuron_sensitivity_ratio_0.20_dctwin_600samp_30000sampbin_ratio1baseline.npy,most sensitive,0.3,windowed_600_samples,30000,1.0,30000.0
162,310,210,210,0.6774193548387096,0.32258064516129037,0.3,int16_main_v4_ratio1baseline,ratio1baseline,F:\academic\week5_neuron_sensitivity_ratio_0.30_dctwin_600samp_30000sampbin_ratio1baseline.npy,most sensitive,0.3,windowed_600_samples,30000,1.0,30000.0
162,310,301,299,0.964516129032258,0.03548387096774197,0.5,int16_main_v4_ratio1baseline,ratio1baseline,F:\academic\week5_neuron_sensitivity_ratio_0.50_dctwin_600samp_30000sampbin_ratio1baseline.npy,most sensitive,0.3,windowed_600_samples,30000,1.0,30000.0
162,310,307,307,0.9903225806451613,0.009677419354838679,0.7,int16_main_v4_ratio1baseline,ratio1baseline,F:\academic\week5_neuron_sensitivity_ratio_0.70_dctwin_600samp_30000sampbin_ratio1baseline.npy,most sensitive,0.3,windowed_600_samples,30000,1.0,30000.0
162,310,310,310,1.0,0.0,1.0,int16_main_v4_ratio1baseline,ratio1baseline,F:\academic\week5_neuron_sensitivity_ratio_1.00_dctwin_600samp_30000sampbin_ratio1baseline.npy,most sensitive,0.3,windowed_600_samples,30000,1.0,30000.0
