cluster_id	Amplitude
0	10.6
1	11.1
2	16.4
3	10.8
4	29.1
5	9.8
6	15.4
7	9.6
8	10.4
9	22.0
10	9.2
11	10.3
12	31.3
13	33.8
14	17.2
15	10.8
16	11.5
17	10.5
18	22.2
19	18.5
20	9.6
21	20.2
22	23.2
23	25.4
24	17.5
25	14.8
26	10.0
27	11.8
28	9.7
29	10.8
30	10.7
31	31.4
32	9.3
33	9.6
34	9.4
35	37.4
36	27.6
37	9.9
38	15.9
39	10.0
40	34.7
41	10.8
42	44.9
43	10.0
44	11.3
45	35.6
46	9.8
47	12.0
48	29.0
49	10.0
50	10.2
51	9.4
52	45.6
53	26.3
54	11.0
55	10.5
56	9.7
57	24.8
58	23.7
59	19.1
60	9.8
61	10.6
62	27.7
63	20.9
64	9.6
65	9.5
66	11.2
67	9.7
68	19.5
69	9.5
70	10.0
71	10.7
72	16.7
73	11.1
74	9.8
75	10.8
76	22.3
77	38.3
78	9.6
79	31.1
80	34.1
81	10.8
82	11.4
83	33.9
84	26.1
85	9.4
86	19.8
87	24.5
88	9.7
89	30.1
90	59.4
91	11.3
92	12.3
93	34.9
94	9.5
95	9.2
96	18.3
97	11.0
98	9.7
99	9.6
100	9.6
101	20.4
102	22.6
103	27.9
104	9.9
105	11.5
106	14.7
107	23.0
108	9.5
109	20.0
110	21.2
111	9.4
112	10.2
113	10.5
114	25.9
115	10.4
116	9.8
117	11.5
118	11.0
119	26.5
120	11.5
121	10.4
122	9.6
123	11.8
124	16.1
125	9.3
126	13.0
127	11.7
128	9.9
129	9.3
130	34.1
131	9.3
132	10.2
133	12.8
134	9.4
135	9.0
136	13.2
137	9.3
138	10.1
139	11.7
140	12.8
141	10.0
142	9.2
143	11.2
144	10.5
145	14.9
146	20.1
147	9.3
148	9.9
149	25.2
150	9.6
151	15.1
152	30.6
153	12.0
154	9.6
155	9.2
156	10.6
157	9.8
158	9.2
159	27.3
160	19.3
161	28.0
162	11.6
163	19.8
164	9.2
165	24.1
166	12.2
167	10.7
168	17.3
169	9.9
170	15.2
171	8.6
172	11.2
173	11.1
174	11.1
175	10.2
176	9.5
177	9.5
178	11.2
179	9.5
180	11.4
181	10.8
182	9.8
183	11.3
184	9.9
185	9.7
186	9.3
187	9.9
188	10.1
189	8.7
190	9.4
191	9.9
192	9.3
193	21.4
194	10.6
195	9.4
196	9.3
197	10.8
198	9.7
199	19.5
200	11.2
201	12.4
202	10.2
203	9.5
204	9.0
205	9.9
206	9.8
207	9.6
208	9.3
209	9.5
210	9.1
211	9.9
212	9.3
213	9.4
214	9.7
215	11.4
216	11.4
217	9.8
218	9.3
219	9.5
220	9.2
221	9.0
222	9.2
223	9.3
224	9.0
225	9.6
226	9.0
227	9.1
228	8.7
229	8.4
230	9.1
231	9.4
232	8.7
233	9.2
234	8.9
235	9.0
236	9.1
237	8.9
238	9.2
239	9.6
240	9.4
241	11.2
242	9.2
243	9.8
244	8.9
245	8.8
246	9.9
247	17.1
248	8.9
249	8.7
250	9.5
251	9.0
252	8.6
253	8.8
254	10.0
255	9.5
256	9.4
257	8.8
258	9.0
259	10.1
260	11.2
261	9.0
262	8.9
263	9.9
264	10.1
265	9.0
266	9.4
267	10.4
268	10.8
269	13.9
270	10.3
271	9.0
272	8.9
273	10.0
274	9.1
275	9.2
276	8.6
277	10.0
278	10.5
279	9.3
280	9.2
281	10.9
282	11.0
283	9.2
284	11.1
285	9.6
286	8.8
287	9.5
288	9.5
289	9.4
290	9.3
291	9.5
292	9.7
293	10.3
294	9.9
295	9.7
296	8.8
297	9.5
298	9.9
299	10.0
300	9.7
301	10.5
302	9.9
303	13.7
304	14.1
305	14.3
306	9.3
307	9.0
308	10.4
309	9.7
310	10.3
311	9.7
312	10.4
313	9.9
314	10.4
315	9.3
316	9.8
317	9.7
318	10.3
319	9.9
320	10.3
321	10.1
322	9.7
323	10.0
324	10.7
325	10.1
326	10.7
327	9.8
328	10.4
329	9.6
330	10.0
331	10.1
332	9.8
333	8.7
334	10.0
335	10.6
336	10.9
337	10.6
