cluster_id	KSLabel
0	mua
1	mua
2	good
3	mua
4	good
5	mua
6	good
7	mua
8	mua
9	good
10	mua
11	mua
12	good
13	good
14	mua
15	mua
16	mua
17	mua
18	good
19	good
20	good
21	good
22	good
23	good
24	good
25	mua
26	mua
27	mua
28	mua
29	mua
30	mua
31	good
32	mua
33	mua
34	mua
35	good
36	good
37	mua
38	good
39	mua
40	good
41	mua
42	good
43	good
44	mua
45	good
46	mua
47	mua
48	good
49	mua
50	mua
51	mua
52	good
53	good
54	good
55	mua
56	mua
57	good
58	good
59	good
60	mua
61	mua
62	good
63	good
64	mua
65	mua
66	mua
67	mua
68	good
69	mua
70	mua
71	mua
72	mua
73	mua
74	mua
75	mua
76	good
77	good
78	mua
79	good
80	good
81	mua
82	mua
83	good
84	good
85	mua
86	good
87	good
88	mua
89	good
90	good
91	good
92	mua
93	good
94	mua
95	mua
96	mua
97	mua
98	mua
99	mua
100	mua
101	good
102	good
103	good
104	mua
105	mua
106	good
107	good
108	mua
109	good
110	good
111	mua
112	mua
113	mua
114	good
115	mua
116	mua
117	mua
118	mua
119	good
120	good
121	mua
122	mua
123	mua
124	good
125	mua
126	mua
127	mua
128	mua
129	mua
130	good
131	mua
132	mua
133	good
134	mua
135	mua
136	mua
137	mua
138	mua
139	mua
140	mua
141	mua
142	mua
143	mua
144	mua
145	mua
146	good
147	mua
148	mua
149	good
150	mua
151	good
152	good
153	mua
154	mua
155	mua
156	mua
157	mua
158	mua
159	good
160	mua
161	good
162	mua
163	good
164	mua
165	good
166	mua
167	mua
168	good
169	mua
170	mua
171	mua
172	mua
173	mua
174	mua
175	mua
176	mua
177	mua
178	mua
179	mua
180	mua
181	mua
182	mua
183	mua
184	mua
185	mua
186	mua
187	mua
188	mua
189	mua
190	mua
191	mua
192	mua
193	good
194	good
195	mua
196	mua
197	mua
198	mua
199	good
200	mua
201	mua
202	mua
203	mua
204	mua
205	mua
206	mua
207	mua
208	mua
209	mua
210	mua
211	mua
212	mua
213	mua
214	mua
215	mua
216	good
217	mua
218	mua
219	mua
220	mua
221	mua
222	mua
223	mua
224	mua
225	mua
226	mua
227	mua
228	mua
229	mua
230	mua
231	mua
232	mua
233	mua
234	mua
235	mua
236	mua
237	mua
238	mua
239	mua
240	mua
241	mua
242	mua
243	mua
244	mua
245	mua
246	mua
247	good
248	mua
249	mua
250	mua
251	good
252	mua
253	mua
254	mua
255	mua
256	mua
257	mua
258	mua
259	mua
260	mua
261	mua
262	mua
263	mua
264	mua
265	mua
266	mua
267	mua
268	mua
269	mua
270	mua
271	mua
272	mua
273	mua
274	mua
275	mua
276	mua
277	mua
278	mua
279	mua
280	mua
281	good
282	mua
283	mua
284	good
285	mua
286	mua
287	mua
288	mua
289	mua
290	mua
291	mua
292	mua
293	mua
294	mua
295	mua
296	good
297	mua
298	mua
299	mua
300	mua
301	mua
302	mua
303	good
304	good
305	good
306	mua
307	mua
308	mua
309	mua
310	mua
311	mua
312	mua
313	mua
314	mua
315	good
316	mua
317	mua
318	mua
319	mua
320	mua
321	mua
322	mua
323	mua
324	mua
325	mua
326	mua
327	mua
328	mua
329	mua
330	mua
331	mua
332	mua
333	good
334	mua
335	mua
336	mua
337	mua
