cluster_id	Amplitude
0	9.1
1	20.0
2	9.3
3	8.2
4	12.6
5	10.4
6	7.7
7	9.6
8	8.2
9	9.9
10	8.5
11	7.3
12	10.0
13	7.8
14	8.4
15	19.3
16	10.0
17	12.0
18	8.8
19	10.6
20	9.1
21	8.5
22	30.8
23	32.5
24	9.2
25	9.5
26	11.4
27	13.1
28	9.0
29	9.7
30	8.5
31	8.6
32	9.5
33	9.6
34	28.2
35	13.2
36	11.7
37	10.9
38	8.9
39	6.3
40	8.5
41	8.7
42	23.9
43	11.0
44	12.0
45	8.1
46	10.2
47	9.7
48	9.6
49	17.0
50	6.7
51	8.9
52	8.3
53	23.9
54	9.5
55	42.5
56	9.6
57	10.6
58	9.0
59	9.0
60	9.3
61	7.7
62	9.7
63	8.4
64	9.3
65	9.6
66	8.8
67	27.8
68	10.4
69	18.2
70	8.5
71	9.1
72	36.9
73	28.8
74	11.8
75	10.0
76	10.6
77	9.3
78	9.8
79	11.7
80	9.7
81	9.2
82	12.3
83	55.7
84	11.0
85	17.3
86	15.1
87	10.3
88	11.7
89	13.4
90	8.2
91	7.3
92	8.7
93	8.7
94	6.9
95	8.6
96	8.7
97	12.1
98	10.7
99	8.3
100	9.9
101	6.7
102	27.7
103	10.0
104	9.1
105	16.8
106	8.0
107	8.5
108	18.1
109	7.7
110	15.0
111	13.3
112	8.7
113	10.8
114	8.7
115	8.6
116	8.6
117	8.5
118	41.3
119	8.1
120	9.9
121	8.7
122	8.4
123	8.4
124	15.4
125	8.2
126	29.7
127	9.8
128	8.6
129	10.0
130	21.4
131	8.5
132	8.2
133	16.7
134	9.6
135	9.1
136	9.9
137	9.8
138	17.5
139	8.7
140	7.8
141	7.7
142	18.4
143	18.1
144	7.4
145	13.0
146	9.3
147	9.0
148	8.2
149	6.8
150	8.5
151	56.9
152	7.3
153	14.6
154	7.6
155	8.6
156	17.1
157	12.3
158	6.9
159	8.8
160	8.0
161	14.2
162	9.0
163	17.9
164	7.7
165	9.6
166	6.4
167	8.6
168	26.3
169	9.7
170	11.8
171	12.3
172	8.2
173	7.5
174	9.2
175	9.8
176	19.9
177	12.4
178	8.8
179	9.2
180	9.4
181	9.0
182	8.9
183	8.8
184	17.3
185	7.6
186	10.6
187	9.4
188	8.1
189	9.6
190	8.8
191	7.4
192	18.9
193	7.7
194	9.2
195	15.4
196	9.5
197	8.7
198	8.9
199	9.0
200	22.9
201	18.8
202	16.4
203	9.6
204	9.5
205	9.6
206	8.4
207	24.1
208	17.6
209	13.2
210	23.1
211	10.7
212	9.3
213	8.1
214	7.2
215	15.0
216	28.0
217	9.7
218	20.0
219	8.9
220	10.5
221	10.9
222	12.3
223	7.1
224	16.1
225	7.6
226	8.3
227	24.2
228	11.9
229	9.2
230	9.1
231	8.6
232	7.7
233	9.0
234	23.0
235	33.2
236	10.4
237	8.3
238	16.5
239	8.9
240	8.6
241	8.7
242	6.5
243	7.2
244	25.9
245	7.9
246	11.2
247	12.8
248	10.0
249	40.0
250	27.6
251	33.0
252	6.5
253	8.2
254	9.6
255	10.6
256	9.4
257	8.9
258	8.3
259	7.7
260	6.7
261	17.7
262	8.9
263	7.1
264	10.7
265	10.1
266	6.0
267	8.2
268	6.7
269	24.3
270	7.5
271	17.4
272	9.8
273	8.8
274	9.7
275	7.6
276	8.6
277	7.9
278	8.3
279	20.0
280	10.5
281	9.9
282	10.5
283	8.3
284	7.8
285	8.1
286	6.8
287	8.5
288	32.5
289	10.9
290	12.6
291	9.8
292	6.1
293	8.9
294	8.9
295	6.8
296	9.2
297	8.8
298	16.2
299	8.8
