cluster_id	KSLabel
0	mua
1	good
2	mua
3	mua
4	good
5	mua
6	mua
7	good
8	mua
9	mua
10	mua
11	mua
12	mua
13	mua
14	mua
15	good
16	mua
17	mua
18	mua
19	mua
20	mua
21	mua
22	good
23	good
24	mua
25	mua
26	mua
27	mua
28	mua
29	mua
30	mua
31	mua
32	good
33	mua
34	good
35	mua
36	mua
37	mua
38	mua
39	mua
40	mua
41	mua
42	mua
43	mua
44	mua
45	mua
46	mua
47	mua
48	mua
49	mua
50	mua
51	mua
52	mua
53	good
54	mua
55	good
56	mua
57	mua
58	mua
59	mua
60	mua
61	mua
62	mua
63	mua
64	mua
65	mua
66	mua
67	good
68	mua
69	good
70	mua
71	mua
72	good
73	mua
74	mua
75	mua
76	mua
77	good
78	mua
79	good
80	mua
81	mua
82	mua
83	good
84	good
85	mua
86	mua
87	mua
88	mua
89	mua
90	mua
91	mua
92	good
93	mua
94	mua
95	mua
96	mua
97	mua
98	mua
99	mua
100	good
101	mua
102	good
103	mua
104	mua
105	mua
106	mua
107	good
108	good
109	mua
110	mua
111	good
112	mua
113	mua
114	mua
115	mua
116	mua
117	mua
118	good
119	mua
120	mua
121	mua
122	mua
123	mua
124	good
125	mua
126	good
127	mua
128	mua
129	mua
130	mua
131	mua
132	mua
133	good
134	mua
135	mua
136	mua
137	mua
138	good
139	mua
140	mua
141	mua
142	good
143	good
144	mua
145	good
146	mua
147	mua
148	mua
149	mua
150	mua
151	good
152	mua
153	good
154	mua
155	mua
156	mua
157	mua
158	mua
159	mua
160	mua
161	mua
162	mua
163	good
164	mua
165	mua
166	mua
167	mua
168	good
169	mua
170	mua
171	mua
172	mua
173	mua
174	good
175	mua
176	good
177	mua
178	mua
179	mua
180	mua
181	mua
182	good
183	mua
184	good
185	mua
186	mua
187	mua
188	mua
189	mua
190	mua
191	good
192	good
193	mua
194	mua
195	mua
196	mua
197	mua
198	mua
199	mua
200	good
201	good
202	good
203	mua
204	mua
205	mua
206	good
207	good
208	good
209	good
210	good
211	mua
212	mua
213	good
214	mua
215	good
216	good
217	mua
218	good
219	mua
220	mua
221	mua
222	mua
223	mua
224	good
225	good
226	mua
227	good
228	mua
229	mua
230	mua
231	mua
232	mua
233	mua
234	good
235	good
236	mua
237	mua
238	good
239	mua
240	mua
241	mua
242	mua
243	mua
244	good
245	mua
246	mua
247	good
248	mua
249	good
250	good
251	good
252	mua
253	mua
254	good
255	mua
256	mua
257	mua
258	mua
259	mua
260	good
261	good
262	mua
263	mua
264	mua
265	mua
266	mua
267	mua
268	good
269	good
270	mua
271	good
272	mua
273	mua
274	mua
275	mua
276	good
277	mua
278	mua
279	good
280	mua
281	mua
282	good
283	mua
284	mua
285	mua
286	mua
287	mua
288	good
289	good
290	good
291	mua
292	mua
293	mua
294	good
295	mua
296	mua
297	good
298	good
299	mua
300	mua
301	mua
302	good
303	mua
304	good
305	mua
306	mua
307	mua
308	mua
309	mua
310	mua
311	mua
312	good
313	good
314	mua
315	mua
316	mua
317	mua
318	mua
319	good
320	mua
321	mua
322	mua
323	mua
324	mua
325	good
326	good
327	mua
328	good
329	mua
330	mua
331	mua
332	mua
333	mua
334	mua
335	mua
336	mua
337	mua
338	mua
339	mua
340	mua
341	mua
342	mua
343	mua
344	good
345	mua
346	mua
347	mua
348	mua
349	mua
350	good
351	mua
352	mua
353	mua
354	mua
355	mua
356	mua
357	mua
358	mua
359	mua
360	mua
