cluster_id	Amplitude
0	7.5
1	9.6
2	10.5
3	8.1
4	8.6
5	8.1
6	8.1
7	8.4
8	7.7
9	8.2
10	7.3
11	8.7
12	9.2
13	8.3
14	9.3
15	9.0
16	8.2
17	9.2
18	8.1
19	8.5
20	8.4
21	7.4
22	8.3
23	8.8
24	8.2
25	8.2
26	8.4
27	7.9
28	8.6
29	7.9
30	8.3
31	8.4
32	8.4
33	8.7
34	8.3
35	8.0
36	8.1
37	7.7
38	8.4
39	7.8
40	8.3
41	7.4
42	9.5
43	8.8
44	8.0
45	7.4
46	10.2
47	8.6
48	9.0
49	8.8
50	10.6
51	7.1
52	8.3
53	8.4
54	9.8
55	8.8
56	10.6
57	11.8
58	11.5
59	7.1
60	7.5
61	10.0
62	9.1
63	7.9
64	10.4
65	11.0
66	22.3
67	6.7
68	8.3
69	8.3
70	10.9
71	9.1
72	8.6
73	9.9
74	8.5
75	8.1
76	8.6
77	8.9
78	10.1
79	9.2
80	7.3
81	7.0
82	7.2
83	7.9
84	7.8
85	7.7
86	7.6
87	10.4
88	8.1
89	9.5
90	8.8
91	8.9
92	9.8
93	6.6
94	9.2
95	8.6
96	9.4
97	8.0
98	8.4
99	8.2
100	7.8
101	7.0
102	9.1
103	9.1
104	8.5
105	9.2
106	7.0
107	8.3
108	7.6
109	8.1
110	8.1
111	8.3
112	8.4
113	7.1
114	9.2
115	6.9
116	8.3
117	7.9
118	8.2
119	8.4
120	7.8
121	7.6
122	7.3
123	7.5
124	7.9
125	8.5
126	8.8
127	8.1
128	7.2
129	8.8
130	7.8
131	7.8
132	7.2
133	7.3
134	8.7
135	8.7
136	8.0
137	8.0
138	8.4
139	8.4
140	7.9
141	7.3
142	7.7
143	8.1
144	8.2
145	8.5
146	7.1
147	7.2
148	7.7
149	7.9
150	7.6
151	9.3
152	10.0
153	8.6
154	7.5
155	7.8
156	8.0
157	6.7
158	7.8
159	7.2
160	7.9
161	7.4
162	9.5
163	7.5
164	9.6
165	9.4
166	6.8
167	7.0
168	7.6
169	6.6
170	7.3
171	7.1
172	10.9
173	10.6
174	9.6
175	7.6
176	7.5
177	9.0
178	7.1
179	8.0
180	8.4
181	8.6
182	7.9
183	8.8
184	9.3
185	9.0
186	8.8
187	7.8
188	7.7
189	9.3
190	8.7
191	7.5
192	7.9
193	9.9
194	9.2
195	7.6
196	7.2
197	8.0
198	8.5
199	8.1
200	8.8
201	27.1
202	12.4
203	10.7
204	7.0
205	9.1
206	7.4
207	7.6
208	8.7
209	9.5
210	6.7
211	7.6
212	6.9
213	8.1
214	7.9
215	9.5
216	10.0
217	16.1
218	7.2
219	6.9
220	7.6
221	6.5
222	8.1
223	8.0
224	8.2
225	8.2
226	7.4
227	7.6
228	7.1
229	7.7
230	8.3
231	8.3
232	6.7
233	9.0
234	9.5
235	7.9
236	8.0
237	8.2
238	7.6
239	7.3
240	11.1
241	8.1
242	8.5
243	7.5
244	9.0
245	8.3
246	7.7
247	9.9
248	8.0
249	10.2
250	6.9
251	6.8
252	9.6
253	9.6
254	8.9
255	7.2
256	7.8
257	8.4
258	7.4
259	8.1
260	7.7
261	7.1
262	8.4
263	7.7
264	8.1
265	7.7
266	8.5
267	9.0
268	9.6
269	7.7
270	8.7
271	8.8
272	8.7
273	9.4
274	10.1
275	8.3
276	8.9
277	10.8
278	9.5
279	10.1
280	8.0
281	9.3
282	8.7
283	13.1
284	11.1
285	14.2
286	7.8
287	10.1
288	13.9
289	9.1
290	10.0
291	8.4
292	8.8
293	9.1
294	7.5
295	8.5
296	8.5
297	9.6
298	11.8
299	7.6
300	8.7
301	7.8
302	9.0
303	9.2
304	7.3
305	9.4
306	10.0
307	6.6
308	7.3
309	9.3
310	8.8
311	9.2
312	9.1
313	8.0
314	17.9
315	9.0
316	10.6
317	8.9
318	8.4
319	6.9
320	8.4
321	16.5
322	8.9
323	10.6
324	17.9
325	11.5
326	7.3
327	9.4
328	10.7
329	9.0
330	9.6
331	8.4
332	9.1
333	10.9
334	9.3
335	11.8
336	8.2
337	7.9
338	15.7
339	9.0
340	19.0
341	8.2
342	9.0
343	8.1
344	10.1
345	11.3
346	9.7
347	11.0
348	15.7
349	8.6
350	6.9
351	9.5
352	9.2
353	8.3
354	16.9
355	7.3
356	8.5
357	12.7
358	8.7
359	6.5
360	10.0
361	8.1
362	9.0
363	11.1
364	7.8
365	11.5
366	9.4
367	7.0
368	8.7
369	8.7
370	8.7
371	9.1
372	8.2
373	7.9
374	8.3
375	8.4
376	7.2
377	8.8
378	9.1
379	8.6
380	8.9
381	8.6
382	7.4
383	9.6
384	8.9
385	8.1
386	8.9
387	8.5
388	8.4
389	9.2
390	9.4
391	8.9
392	16.1
393	11.0
394	9.4
395	8.9
396	9.0
397	8.1
398	8.8
399	9.3
400	9.6
401	9.2
402	11.7
403	8.4
404	8.9
405	10.3
406	8.8
407	15.3
408	8.8
409	8.3
410	8.2
411	9.0
412	9.0
413	9.0
414	9.0
415	7.9
416	9.5
417	8.7
418	9.4
419	7.8
420	8.4
421	9.2
422	8.3
423	9.8
424	24.7
425	11.0
426	9.5
427	7.9
428	12.0
429	7.4
430	8.9
431	10.4
432	8.6
433	10.2
434	8.7
435	8.8
436	8.9
437	10.9
438	10.8
439	8.9
440	10.8
441	11.7
442	8.6
443	9.0
444	8.8
445	8.0
446	8.8
447	8.5
448	10.2
449	10.5
450	9.5
451	9.9
452	9.0
453	6.1
454	8.9
455	8.9
456	8.5
457	9.1
458	9.7
459	10.5
460	10.8
461	9.2
462	19.4
463	8.7
464	8.0
465	9.4
466	9.3
467	8.0
468	9.8
469	10.1
470	9.8
471	9.1
472	8.8
473	9.1
474	11.4
475	7.8
476	7.2
477	8.6
478	8.7
479	11.0
480	8.1
481	11.5
482	6.7
483	8.2
484	7.3
485	9.4
486	8.5
487	9.6
488	8.4
489	8.6
490	9.9
491	9.1
492	8.7
493	11.7
494	10.6
495	9.3
496	10.6
497	8.9
498	9.0
499	7.9
500	9.9
501	9.3
502	9.3
503	6.6
504	8.8
505	8.9
506	9.8
507	8.3
508	7.6
509	7.6
510	8.7
511	7.1
512	8.4
513	8.4
514	7.8
515	7.7
516	9.6
517	7.5
518	6.3
519	7.4
520	8.9
521	8.7
522	19.7
523	8.4
524	9.7
525	11.4
526	8.8
527	6.8
528	8.9
529	5.4
530	9.6
531	8.7
532	8.8
533	13.1
534	8.1
535	7.2
536	8.6
537	7.7
538	8.8
539	8.3
540	9.0
541	6.5
542	7.8
543	7.2
544	9.5
545	8.6
546	6.9
547	7.6
548	7.9
549	7.6
550	8.3
551	11.8
552	9.8
553	8.4
554	9.1
555	7.1
556	7.1
557	7.9
558	7.6
559	8.1
560	9.0
561	9.1
562	6.9
563	17.4
564	6.5
565	6.8
566	7.7
567	8.6
568	7.8
569	8.8
570	6.9
571	9.2
572	7.2
573	7.6
574	7.7
575	8.8
576	7.6
577	7.4
578	10.1
579	8.5
580	7.8
581	7.1
582	8.0
583	7.5
584	8.5
585	9.2
586	8.8
587	6.8
588	8.9
589	9.1
590	8.9
591	7.5
592	7.1
593	9.6
594	8.8
595	9.3
596	7.8
597	9.3
598	7.7
599	8.5
600	8.6
601	9.3
602	9.2
603	9.4
604	7.9
605	8.4
606	8.5
607	8.5
608	6.7
609	7.7
610	8.7
611	8.0
612	8.5
613	9.4
614	8.4
615	8.7
616	6.9
617	7.0
618	7.3
619	6.7
620	9.2
621	7.9
622	7.7
623	8.9
624	9.4
625	10.6
626	9.0
627	12.4
628	9.1
629	8.0
630	9.5
631	10.6
632	19.8
633	9.9
634	8.8
635	9.0
636	10.6
637	9.5
638	8.9
639	8.8
640	11.1
641	12.0
642	7.3
643	11.1
644	8.6
645	17.1
646	9.2
647	7.8
648	20.0
649	7.2
650	8.3
651	9.8
652	9.5
653	13.0
654	14.9
655	10.6
656	11.6
657	7.5
658	9.0
659	7.9
660	10.6
661	6.8
662	10.1
663	12.1
664	9.2
665	7.0
666	7.9
667	8.1
668	7.6
669	6.7
670	8.7
671	8.6
672	6.7
673	7.3
674	7.4
675	8.4
676	8.3
677	8.2
678	7.8
679	8.7
680	6.5
681	8.5
682	7.1
683	8.3
684	8.5
685	8.1
686	8.3
687	6.3
688	7.9
689	9.3
690	7.3
691	7.5
692	7.8
693	8.9
694	7.7
695	7.9
696	6.8
697	6.9
698	8.1
699	7.5
700	9.2
701	8.4
702	6.8
703	7.7
704	6.4
705	6.9
706	7.0
707	8.2
708	7.9
709	9.9
710	7.1
711	8.0
712	8.1
713	8.5
714	7.3
715	8.1
716	9.2
717	7.0
718	7.4
719	7.9
720	7.3
721	8.2
722	9.0
723	13.5
724	7.9
725	8.4
726	8.7
727	7.6
728	8.5
729	8.3
730	10.0
731	8.7
732	8.5
733	8.2
734	8.9
735	8.9
736	8.0
737	8.2
738	8.4
739	9.2
740	9.1
741	9.1
742	8.9
743	8.2
744	8.1
745	8.9
746	7.7
747	9.5
748	7.8
749	9.5
750	8.2
751	8.9
752	8.3
753	7.5
754	7.5
