cluster_id	KSLabel
0	mua
1	mua
2	mua
3	mua
4	mua
5	mua
6	mua
7	mua
8	mua
9	mua
10	mua
11	mua
12	mua
13	mua
14	mua
15	mua
16	mua
17	mua
18	mua
19	mua
20	mua
21	mua
22	mua
23	mua
24	mua
25	mua
26	mua
27	mua
28	mua
29	mua
30	mua
31	mua
32	mua
33	mua
34	mua
35	mua
36	mua
37	mua
38	mua
39	mua
40	mua
41	mua
42	mua
43	mua
44	mua
45	mua
46	mua
47	mua
48	mua
49	mua
50	mua
51	mua
52	mua
53	mua
54	mua
55	mua
56	mua
57	mua
58	mua
59	mua
60	mua
61	mua
62	mua
63	mua
64	mua
65	mua
66	mua
67	mua
68	mua
69	mua
70	mua
71	mua
72	mua
73	mua
74	mua
75	mua
76	mua
77	mua
78	mua
79	mua
80	mua
81	mua
82	mua
83	mua
84	mua
85	mua
86	mua
87	mua
88	mua
89	mua
90	mua
91	mua
92	mua
93	mua
94	mua
95	mua
96	mua
97	mua
98	mua
99	mua
100	mua
101	mua
102	mua
103	mua
104	mua
105	mua
106	mua
107	mua
108	mua
109	mua
110	mua
111	mua
112	mua
113	mua
114	mua
115	mua
116	mua
117	mua
118	mua
119	mua
120	mua
121	mua
122	mua
123	mua
124	mua
125	mua
126	mua
127	mua
128	mua
129	mua
130	mua
131	mua
132	mua
133	mua
134	mua
135	mua
136	mua
137	mua
138	mua
139	mua
140	mua
141	mua
142	good
143	mua
144	mua
145	mua
146	mua
147	mua
148	mua
149	mua
150	mua
151	mua
152	mua
153	mua
154	mua
155	mua
156	mua
157	mua
158	mua
159	mua
160	mua
161	mua
162	mua
163	mua
164	mua
165	good
166	mua
167	mua
168	mua
169	mua
170	mua
171	mua
172	mua
173	mua
174	good
175	mua
176	mua
177	mua
178	mua
179	mua
180	mua
181	mua
182	mua
183	mua
184	mua
185	mua
186	mua
187	mua
188	mua
189	mua
190	mua
191	mua
192	mua
193	mua
194	mua
195	mua
196	mua
197	mua
198	mua
199	mua
200	mua
201	mua
202	mua
203	mua
204	mua
205	mua
206	mua
207	mua
208	mua
209	mua
210	mua
211	mua
212	mua
213	mua
214	mua
215	mua
216	good
217	good
218	mua
219	mua
220	mua
221	mua
222	mua
223	mua
224	mua
225	mua
226	mua
227	mua
228	mua
229	mua
230	mua
231	mua
232	mua
233	good
234	good
235	mua
236	mua
237	mua
238	mua
239	mua
240	good
241	mua
242	mua
243	mua
244	good
245	mua
246	mua
247	mua
248	mua
249	mua
250	mua
251	good
252	mua
253	mua
254	mua
255	mua
256	mua
257	mua
258	mua
259	mua
260	mua
261	mua
262	mua
263	mua
264	mua
265	mua
266	mua
267	mua
268	mua
269	mua
270	mua
271	mua
272	mua
273	good
274	mua
275	mua
276	mua
277	mua
278	mua
279	good
280	good
281	good
282	mua
283	mua
284	mua
285	good
286	mua
287	mua
288	mua
289	good
290	good
291	mua
292	good
293	mua
294	mua
295	good
296	good
297	good
298	good
299	mua
300	mua
301	mua
302	good
303	mua
304	good
305	mua
306	mua
307	good
308	good
309	mua
310	mua
311	mua
312	mua
313	mua
314	mua
315	mua
316	mua
317	mua
318	mua
319	mua
320	mua
321	mua
322	mua
323	mua
324	mua
325	mua
326	mua
327	mua
328	mua
329	mua
330	mua
331	mua
332	mua
333	good
334	mua
335	mua
336	mua
337	mua
338	mua
339	mua
340	good
341	mua
342	mua
343	mua
344	mua
345	mua
346	mua
347	mua
348	good
349	mua
350	good
351	mua
352	mua
353	mua
354	mua
355	mua
356	mua
357	good
358	mua
359	good
360	good
361	good
362	mua
363	good
364	mua
365	mua
366	good
367	good
368	good
369	mua
370	mua
371	mua
372	mua
373	mua
374	mua
375	mua
376	mua
377	mua
378	good
379	good
380	good
381	mua
382	good
383	good
384	mua
385	mua
386	good
387	mua
388	mua
389	good
390	mua
391	mua
392	mua
393	good
394	mua
395	good
396	mua
397	mua
398	mua
399	mua
400	mua
401	mua
402	good
403	good
404	good
405	mua
406	mua
407	mua
408	mua
409	good
410	mua
411	good
412	mua
413	mua
414	mua
415	good
416	good
417	mua
418	mua
419	mua
420	mua
421	mua
422	good
423	good
424	good
425	mua
426	mua
427	good
428	mua
429	good
430	mua
431	mua
432	mua
433	good
434	mua
435	mua
436	good
437	mua
438	mua
439	good
440	mua
441	mua
442	mua
443	mua
444	mua
445	good
446	good
447	good
448	mua
449	mua
450	mua
451	mua
452	mua
453	good
454	good
455	mua
456	good
457	mua
458	good
459	mua
460	mua
461	mua
462	good
463	mua
464	mua
465	good
466	mua
467	mua
468	mua
469	good
470	mua
471	mua
472	mua
473	good
474	mua
475	mua
476	good
477	mua
478	mua
479	mua
480	good
481	mua
482	mua
483	mua
484	mua
485	good
486	mua
487	mua
488	mua
489	mua
490	mua
491	good
492	mua
493	mua
494	mua
495	mua
496	mua
497	mua
498	mua
499	mua
500	mua
501	mua
502	mua
503	mua
504	mua
505	mua
506	mua
507	mua
508	good
509	good
510	mua
511	mua
512	mua
513	mua
514	mua
515	mua
516	good
517	mua
518	mua
519	mua
520	good
521	mua
522	good
523	mua
524	mua
525	good
526	mua
527	mua
528	mua
529	mua
530	mua
531	good
532	mua
533	good
534	mua
535	mua
536	mua
537	mua
538	mua
539	mua
540	good
541	mua
542	mua
543	mua
544	good
545	mua
546	mua
547	mua
548	mua
549	mua
550	mua
551	mua
552	mua
553	mua
554	mua
555	mua
556	mua
557	mua
558	mua
559	mua
560	mua
561	mua
562	mua
563	mua
564	mua
565	mua
566	mua
567	mua
568	mua
569	mua
570	mua
571	mua
572	mua
573	mua
574	mua
575	mua
576	mua
577	mua
578	mua
579	mua
580	mua
581	mua
582	mua
583	mua
584	mua
585	mua
586	mua
587	mua
588	mua
589	mua
590	mua
591	mua
592	mua
593	mua
594	mua
595	mua
596	mua
597	mua
598	mua
599	mua
600	mua
601	mua
602	mua
603	mua
604	mua
605	mua
606	mua
607	mua
608	good
609	mua
610	mua
611	mua
612	mua
613	mua
614	mua
615	mua
616	mua
617	mua
618	mua
619	mua
620	good
621	mua
622	mua
623	mua
624	mua
625	good
626	mua
627	good
628	good
629	good
630	mua
631	good
632	good
633	mua
634	mua
635	mua
636	good
637	mua
638	good
639	mua
640	mua
641	good
642	good
643	mua
644	mua
645	good
646	mua
647	mua
648	good
649	mua
650	good
651	good
652	good
653	good
654	good
655	mua
656	good
657	mua
658	mua
659	mua
660	mua
661	mua
662	mua
663	good
664	good
665	mua
666	mua
667	mua
668	mua
669	good
670	mua
671	mua
672	mua
673	mua
674	good
675	mua
676	mua
677	mua
678	mua
679	mua
680	good
681	mua
682	mua
683	good
684	mua
685	good
686	mua
687	good
688	mua
689	mua
690	good
691	mua
692	mua
693	mua
694	mua
695	mua
696	good
697	good
698	mua
699	mua
700	mua
701	mua
702	mua
703	mua
704	mua
705	mua
706	good
707	mua
708	mua
709	mua
710	mua
711	mua
712	mua
713	mua
714	mua
715	mua
716	mua
717	mua
718	good
719	mua
720	mua
721	mua
722	good
723	mua
724	mua
725	mua
726	good
727	mua
728	good
729	mua
730	mua
731	good
732	mua
733	mua
734	mua
735	mua
736	mua
737	mua
738	mua
739	mua
740	mua
741	mua
742	mua
743	mua
744	mua
745	mua
746	mua
747	mua
748	mua
749	mua
750	mua
751	mua
752	mua
753	mua
754	mua
