cluster_id	Amplitude
0	8.2
1	9.7
2	10.5
3	8.1
4	15.8
5	10.5
6	43.9
7	9.6
8	10.2
9	28.8
10	8.7
11	10.1
12	7.2
13	7.5
14	25.4
15	12.1
16	8.2
17	8.5
18	12.8
19	12.1
20	7.1
21	9.3
22	8.4
23	13.2
24	13.9
25	8.7
26	8.6
27	14.1
28	13.0
29	22.9
30	8.8
31	7.1
32	8.5
33	9.4
34	7.8
35	9.2
36	5.6
37	7.6
38	9.8
39	6.0
40	8.5
41	8.8
42	9.6
43	9.6
44	8.5
45	9.3
46	8.9
47	12.8
48	6.8
49	8.8
50	9.5
51	8.9
52	9.0
53	9.2
54	7.1
55	15.8
56	8.0
57	8.8
58	8.5
59	7.7
60	10.0
61	12.8
62	9.7
63	9.7
64	9.2
65	7.6
66	12.7
67	11.9
68	14.1
69	9.9
70	11.7
71	11.6
72	10.6
73	6.3
74	9.2
75	7.8
76	16.8
77	10.6
78	11.8
79	11.6
80	7.0
81	8.9
82	8.9
83	15.7
84	8.7
85	8.9
86	25.5
87	9.4
88	17.5
89	11.6
90	10.2
91	8.9
92	8.7
93	7.7
94	11.6
95	8.4
96	10.7
97	9.8
98	8.9
99	9.0
100	8.2
101	9.2
102	7.7
103	8.8
104	7.5
105	12.7
106	8.2
107	9.2
108	8.1
109	10.7
110	10.1
111	9.1
112	9.3
113	13.8
114	8.3
115	10.6
116	7.8
117	8.2
118	6.9
119	8.3
120	8.9
121	12.2
122	8.8
123	9.4
124	16.3
125	8.1
126	8.0
127	10.7
128	14.5
129	11.6
130	8.8
131	9.6
132	9.5
133	9.7
134	8.6
135	8.2
136	12.4
137	12.3
138	13.0
139	11.9
140	8.9
141	9.0
142	9.9
143	27.7
144	10.3
145	11.8
146	11.5
147	16.2
148	9.6
149	22.1
150	8.9
151	7.6
152	8.6
153	10.5
154	9.4
155	9.1
156	8.6
157	10.9
158	8.6
159	9.7
160	8.3
161	9.3
162	8.9
163	9.4
164	10.0
165	11.0
166	13.1
167	8.8
168	10.0
169	9.6
170	11.4
171	9.4
172	10.2
173	8.1
174	9.7
175	8.9
176	8.5
177	8.9
178	8.6
179	8.9
180	9.0
181	12.8
182	10.0
183	8.8
184	25.4
185	12.1
186	12.2
187	9.7
188	15.8
189	22.6
190	9.4
191	13.3
192	9.4
193	13.3
194	12.5
195	17.0
196	8.9
197	13.4
198	12.1
199	6.9
200	7.1
201	9.1
202	8.9
203	8.8
204	8.9
205	10.7
206	10.7
207	8.9
208	8.9
209	10.5
210	11.4
211	11.7
212	16.9
213	7.8
214	9.7
215	24.8
216	8.0
217	8.5
218	8.5
219	11.9
220	8.0
221	15.2
222	8.3
223	9.0
224	9.0
225	8.4
226	8.2
227	12.8
228	11.1
229	14.0
230	13.9
231	13.7
232	10.1
233	11.3
234	9.3
235	9.2
236	10.4
237	11.6
238	13.0
239	7.1
240	9.6
241	10.0
242	8.5
243	11.1
244	11.2
245	9.7
246	8.3
247	9.1
248	8.9
249	8.5
250	9.5
251	8.6
252	12.0
253	8.9
254	10.0
255	8.9
256	8.5
257	8.2
258	9.5
259	9.4
260	10.1
261	13.0
262	11.2
263	9.0
264	8.9
265	9.6
266	8.9
267	9.7
268	9.3
269	10.7
270	9.4
271	9.8
272	9.9
273	8.9
274	7.3
275	9.5
276	9.2
277	9.1
278	10.3
279	10.3
280	12.1
281	9.5
282	9.4
283	28.9
284	10.7
285	8.2
286	7.6
287	10.5
288	8.6
289	10.4
290	10.3
291	9.1
292	9.7
293	9.3
294	14.5
295	9.8
296	12.5
297	10.1
298	10.9
299	10.4
300	9.9
301	11.7
302	9.2
303	8.9
304	9.1
305	9.2
306	14.0
307	12.4
308	8.1
309	15.9
310	9.9
311	9.6
312	12.1
313	9.8
314	8.1
315	9.8
316	12.8
317	8.9
318	11.4
319	10.2
320	11.5
321	8.1
322	9.1
323	9.0
324	9.9
325	8.7
326	8.8
327	15.0
328	16.9
329	10.6
330	13.4
331	9.2
332	9.7
333	8.8
334	9.3
335	11.0
336	11.7
337	9.4
338	10.0
339	8.3
340	8.9
341	19.3
342	9.1
343	9.3
344	10.1
345	9.1
346	8.5
347	9.4
348	7.9
349	14.4
350	9.1
351	9.6
352	9.5
353	11.4
354	7.5
355	16.5
356	14.4
357	11.3
358	18.3
359	9.1
360	10.3
361	9.1
362	8.2
363	9.8
364	12.4
365	11.4
366	15.7
367	13.8
368	8.9
369	8.9
370	8.9
371	9.8
372	9.5
373	10.0
374	16.7
375	9.5
376	8.8
377	9.8
378	10.3
379	9.2
380	10.1
381	9.4
382	10.8
383	9.0
384	8.6
385	9.6
386	9.5
387	9.9
388	9.3
389	9.1
390	11.8
391	9.1
392	9.5
393	9.3
394	10.4
395	9.8
396	11.9
397	9.1
398	18.3
399	12.0
400	8.9
401	9.8
402	8.7
403	11.6
404	9.5
405	12.3
406	11.4
407	9.0
408	8.7
409	8.1
410	10.0
411	9.1
412	10.1
413	7.7
414	9.8
415	8.4
416	12.7
417	9.4
418	9.0
419	9.1
420	7.8
421	9.7
422	14.3
423	8.8
424	11.2
425	8.1
426	9.0
427	10.2
428	22.1
429	9.4
430	9.3
431	15.2
432	10.5
433	24.1
434	8.6
435	8.9
436	8.3
437	9.1
438	9.3
439	9.1
440	7.6
441	9.0
442	10.2
443	10.2
444	8.7
445	8.8
446	8.4
447	10.1
448	8.5
449	9.5
450	10.7
451	9.1
452	9.4
453	8.9
454	23.2
455	35.6
456	9.3
457	9.6
458	8.9
459	9.1
460	10.0
461	8.6
462	14.0
463	9.5
464	12.5
465	9.0
466	9.5
467	10.5
468	9.5
469	28.8
470	39.7
471	9.9
472	9.3
473	20.3
474	10.6
475	11.1
476	12.0
477	9.1
478	8.6
479	8.9
480	8.7
481	9.8
482	8.7
483	8.9
484	7.7
485	8.7
