cluster_id	KSLabel
0	mua
1	mua
2	mua
3	mua
4	mua
5	good
6	good
7	mua
8	mua
9	good
10	mua
11	good
12	mua
13	mua
14	good
15	good
16	mua
17	mua
18	good
19	good
20	good
21	good
22	mua
23	good
24	good
25	good
26	mua
27	good
28	good
29	good
30	mua
31	mua
32	good
33	mua
34	mua
35	good
36	mua
37	good
38	good
39	good
40	mua
41	good
42	mua
43	mua
44	good
45	mua
46	mua
47	good
48	good
49	mua
50	mua
51	mua
52	good
53	mua
54	good
55	good
56	good
57	mua
58	mua
59	good
60	mua
61	good
62	mua
63	good
64	good
65	good
66	mua
67	mua
68	good
69	mua
70	mua
71	mua
72	good
73	mua
74	good
75	good
76	good
77	mua
78	good
79	good
80	good
81	mua
82	mua
83	good
84	good
85	mua
86	good
87	good
88	good
89	good
90	mua
91	good
92	good
93	good
94	good
95	good
96	mua
97	mua
98	good
99	mua
100	mua
101	good
102	mua
103	mua
104	good
105	mua
106	mua
107	good
108	mua
109	mua
110	mua
111	mua
112	mua
113	good
114	good
115	good
116	mua
117	good
118	mua
119	mua
120	mua
121	mua
122	mua
123	good
124	good
125	mua
126	mua
127	good
128	mua
129	good
130	mua
131	mua
132	mua
133	mua
134	mua
135	mua
136	mua
137	good
138	good
139	mua
140	mua
141	good
142	mua
143	good
144	good
145	mua
146	mua
147	mua
148	mua
149	good
150	good
151	mua
152	mua
153	good
154	mua
155	good
156	good
157	mua
158	mua
159	mua
160	mua
161	mua
162	mua
163	good
164	mua
165	good
166	good
167	mua
168	mua
169	good
170	good
171	mua
172	good
173	good
174	good
175	mua
176	mua
177	good
178	mua
179	good
180	good
181	mua
182	good
183	mua
184	good
185	mua
186	mua
187	good
188	good
189	mua
190	good
191	mua
192	mua
193	good
194	good
195	good
196	mua
197	mua
198	good
199	mua
200	mua
201	mua
202	mua
203	mua
204	mua
205	mua
206	good
207	mua
208	good
209	mua
210	good
211	mua
212	good
213	mua
214	mua
215	good
216	mua
217	good
218	mua
219	good
220	good
221	good
222	good
223	good
224	mua
225	mua
226	good
227	mua
228	good
229	good
230	mua
231	good
232	mua
233	mua
234	mua
235	mua
236	good
237	mua
238	good
239	mua
240	mua
241	mua
242	good
243	good
244	good
245	good
246	good
247	good
248	good
249	mua
250	good
251	good
252	good
253	good
254	good
255	good
256	mua
257	mua
258	mua
259	mua
260	mua
261	mua
262	good
263	mua
264	good
265	good
266	good
267	mua
268	mua
269	mua
270	good
271	mua
272	mua
273	good
274	good
275	good
276	good
277	mua
278	good
279	mua
280	good
281	good
282	mua
283	good
284	good
285	mua
286	good
287	good
288	good
289	mua
290	mua
291	mua
292	good
293	mua
294	good
295	good
296	good
297	good
298	good
299	mua
300	good
301	good
302	mua
303	good
304	mua
305	good
306	good
307	good
308	mua
309	good
310	mua
311	good
312	mua
313	good
314	mua
315	good
316	mua
317	mua
318	mua
319	mua
320	mua
321	mua
322	mua
323	mua
324	mua
325	good
326	good
327	mua
328	good
329	good
330	good
331	mua
332	mua
333	mua
334	good
335	good
336	mua
337	mua
338	good
339	mua
340	good
341	mua
342	mua
343	mua
344	mua
345	mua
346	mua
347	good
348	good
349	mua
350	mua
351	mua
352	good
353	mua
354	mua
355	good
356	mua
357	good
358	good
359	good
360	mua
361	mua
362	mua
363	good
364	good
365	good
366	good
367	good
368	mua
369	good
370	mua
371	good
372	good
373	mua
374	good
375	good
376	mua
377	good
378	mua
379	mua
380	mua
381	mua
382	good
383	good
384	mua
385	mua
386	good
387	good
388	mua
389	mua
390	mua
391	good
392	mua
393	good
394	mua
395	good
396	good
397	mua
398	good
399	mua
400	good
401	mua
402	good
403	mua
404	good
405	good
406	mua
407	mua
408	mua
409	mua
410	good
411	good
412	good
413	mua
414	good
415	mua
416	good
417	good
418	mua
419	mua
420	mua
421	mua
422	good
423	mua
424	mua
425	mua
426	mua
427	mua
428	good
429	mua
430	mua
431	good
432	mua
433	good
434	mua
435	mua
436	mua
437	mua
438	good
439	mua
440	mua
441	mua
442	mua
443	mua
444	good
445	good
446	good
447	mua
448	good
449	mua
450	mua
451	good
452	mua
453	mua
454	mua
455	mua
456	good
457	good
458	mua
459	good
460	good
461	mua
462	good
463	mua
464	mua
465	mua
466	mua
467	mua
468	mua
469	good
470	good
471	mua
472	mua
473	mua
474	mua
475	mua
476	mua
477	good
478	mua
479	good
480	mua
481	mua
482	good
483	good
484	good
485	mua
486	mua
487	good
488	mua
489	mua
490	mua
491	mua
492	mua
493	good
494	mua
495	mua
496	mua
497	mua
498	mua
499	good
500	mua
501	mua
502	good
503	mua
504	good
505	good
506	mua
507	mua
508	good
509	good
510	good
511	mua
512	mua
513	mua
514	mua
515	mua
516	mua
517	good
518	mua
519	mua
520	mua
521	mua
522	mua
523	mua
524	mua
525	mua
526	good
527	good
528	mua
529	good
530	mua
531	mua
532	good
533	mua
534	good
535	good
536	good
537	mua
538	mua
539	good
540	good
541	mua
542	mua
543	mua
544	mua
545	mua
546	good
547	mua
548	mua
549	mua
550	mua
551	mua
552	mua
553	mua
554	mua
555	mua
556	good
557	mua
558	mua
559	mua
560	good
561	mua
562	mua
563	mua
564	mua
565	mua
566	mua
567	good
568	mua
569	good
570	mua
571	mua
572	mua
573	mua
574	mua
575	mua
576	good
577	mua
578	mua
579	mua
580	mua
581	mua
582	mua
583	mua
584	mua
585	mua
586	mua
587	good
588	mua
589	mua
590	mua
591	mua
592	mua
593	good
594	mua
595	good
596	mua
597	mua
598	mua
599	good
600	good
601	mua
602	mua
603	mua
604	mua
605	good
606	mua
607	mua
608	mua
609	good
610	mua
611	mua
612	mua
613	good
614	mua
615	mua
616	mua
617	mua
618	good
619	mua
620	good
621	good
622	mua
623	mua
624	mua
625	mua
626	mua
627	mua
628	good
629	good
630	mua
631	good
632	mua
633	mua
634	mua
635	mua
636	mua
637	mua
638	mua
639	mua
640	mua
641	good
642	mua
643	mua
644	mua
645	mua
646	mua
647	mua
648	mua
649	good
650	good
651	mua
652	mua
653	mua
654	mua
655	mua
656	mua
657	mua
658	good
659	mua
660	mua
661	good
662	mua
663	good
664	good
665	mua
666	good
667	mua
668	good
669	good
670	mua
671	good
672	mua
673	good
674	mua
675	mua
676	mua
677	mua
678	mua
679	mua
680	good
681	mua
682	good
683	mua
684	mua
685	mua
686	mua
687	mua
688	mua
689	good
690	mua
691	mua
692	mua
693	mua
694	mua
695	mua
696	good
697	good
698	good
699	good
700	mua
701	good
702	mua
703	mua
704	mua
705	mua
706	mua
707	mua
708	good
709	good
710	mua
711	good
712	mua
713	good
714	mua
715	mua
716	mua
717	good
718	good
719	good
720	mua
721	good
722	mua
723	good
724	mua
725	mua
726	good
727	mua
728	mua
729	good
730	good
731	good
732	good
733	good
734	good
735	mua
736	good
737	good
738	mua
739	good
740	mua
741	mua
742	mua
743	good
744	mua
745	mua
746	mua
747	good
748	mua
749	mua
750	mua
751	mua
752	mua
753	good
754	mua
755	good
756	good
757	mua
758	good
759	good
760	mua
761	mua
762	good
763	good
764	good
765	good
766	mua
767	good
768	mua
769	good
770	mua
771	good
772	mua
773	mua
774	mua
775	mua
776	good
777	mua
778	mua
779	mua
780	mua
781	good
782	mua
783	mua
784	mua
785	mua
786	mua
787	mua
788	mua
789	mua
790	mua
791	mua
792	mua
793	good
794	mua
795	mua
796	mua
797	good
798	mua
799	mua
800	good
801	mua
802	mua
803	mua
804	mua
805	mua
806	good
807	good
808	good
809	good
810	mua
811	mua
812	mua
813	mua
814	good
815	good
816	mua
817	mua
818	good
819	good
820	good
821	mua
822	mua
823	mua
824	good
825	mua
826	mua
827	good
828	mua
829	mua
830	mua
831	mua
832	mua
833	mua
834	mua
835	good
836	mua
837	mua
838	good
839	good
840	good
841	good
842	mua
843	mua
844	mua
845	mua
846	mua
847	mua
