cluster_id	Amplitude
0	9.7
1	17.1
2	10.8
3	9.6
4	19.9
5	10.3
6	9.3
7	10.4
8	29.5
9	14.4
10	13.5
11	13.4
12	19.8
13	10.1
14	24.8
15	11.4
16	11.1
17	9.8
18	9.7
19	9.3
20	13.2
21	11.5
22	10.9
23	10.9
24	10.8
25	9.8
26	13.8
27	9.3
28	11.6
29	9.3
30	9.7
31	20.9
32	10.5
33	9.2
34	10.7
35	9.9
36	13.9
37	12.3
38	12.6
39	13.5
40	9.8
41	14.7
42	9.3
43	13.7
44	11.8
45	10.6
46	10.6
47	20.0
48	9.7
49	14.0
50	9.4
51	9.8
52	9.2
53	11.5
54	12.3
55	12.8
56	11.6
57	19.7
58	9.2
59	12.9
60	9.3
61	10.6
62	13.2
63	9.9
64	9.8
65	9.1
66	11.0
67	11.7
68	9.9
69	9.2
70	10.5
71	12.6
72	11.0
73	9.4
74	13.7
75	9.8
76	14.6
77	10.0
78	40.1
79	10.0
80	11.8
81	10.3
82	10.3
83	10.1
84	10.5
85	27.8
86	11.5
87	12.6
88	42.9
89	23.5
90	10.4
91	14.3
92	25.8
93	11.7
94	11.2
95	9.7
96	9.7
97	12.4
98	12.1
99	20.0
100	23.3
101	9.6
102	9.9
103	9.4
104	12.8
105	23.0
106	24.3
107	24.0
108	25.6
109	12.5
110	15.4
111	23.2
112	10.3
113	10.4
114	10.2
115	9.2
116	29.9
117	38.0
118	16.3
119	11.0
120	10.9
121	36.3
122	18.0
123	25.7
124	26.2
125	24.5
126	9.9
127	12.7
128	45.7
129	33.3
130	9.0
131	26.3
132	31.8
133	33.6
134	10.3
135	23.1
136	35.5
137	18.3
138	13.8
139	18.7
140	10.8
141	19.3
142	16.2
143	11.3
144	9.9
145	25.7
146	9.2
147	9.8
148	33.9
149	45.5
150	10.1
151	44.5
152	11.9
153	26.1
154	33.1
155	27.3
156	33.9
157	11.8
158	14.4
159	10.7
160	17.8
161	29.2
162	23.2
163	32.5
164	40.3
165	32.7
166	10.7
167	12.8
168	34.3
169	9.5
170	9.9
171	38.2
172	40.2
173	12.6
174	10.8
175	20.2
176	29.7
177	10.3
178	37.1
179	10.3
180	35.2
181	10.9
182	10.2
183	10.6
184	24.4
185	28.3
186	24.8
187	22.7
188	10.6
189	40.2
190	10.4
191	15.4
192	11.2
193	35.8
194	38.1
195	29.8
196	37.5
197	36.4
198	10.7
199	28.5
200	10.0
201	34.1
202	15.2
203	9.5
204	17.0
205	20.7
206	13.1
207	10.9
208	33.7
209	12.5
210	13.3
211	17.8
212	9.7
213	12.3
214	9.8
215	11.8
216	30.2
217	10.0
218	10.7
219	9.4
220	9.7
221	23.7
222	12.8
223	10.8
224	9.7
225	12.2
226	11.9
227	12.1
228	10.3
229	9.7
230	21.5
231	23.9
232	9.9
233	18.9
234	13.7
235	15.2
236	10.4
237	11.9
238	16.1
239	16.9
240	15.6
241	9.2
242	9.0
243	10.2
244	18.0
245	20.7
246	42.6
247	24.7
248	32.0
249	14.9
250	27.8
251	9.9
252	10.9
253	23.5
254	23.6
255	33.9
256	11.1
257	9.6
258	9.3
259	10.4
260	13.5
261	10.1
262	12.1
263	10.3
264	12.6
265	11.1
266	10.8
267	9.7
268	10.5
269	10.3
270	10.9
271	11.5
272	9.5
273	10.1
274	11.7
275	9.8
276	20.7
277	9.6
278	11.1
279	9.7
280	9.5
281	11.3
282	9.6
283	25.3
284	12.5
285	9.5
286	20.2
287	14.8
288	11.7
289	11.3
290	11.3
291	11.7
292	14.5
293	9.8
294	15.8
295	12.0
296	12.8
297	14.2
298	11.2
299	22.4
300	10.0
301	17.7
302	18.8
303	14.2
304	15.3
305	31.7
306	23.0
307	12.1
308	25.2
309	12.0
310	16.8
311	17.8
312	13.4
313	9.3
314	23.0
315	12.4
316	44.6
317	15.7
318	12.9
319	9.6
320	9.5
321	22.2
322	14.2
323	29.1
324	44.9
325	18.3
326	40.3
327	29.3
328	12.8
329	12.9
330	9.6
331	33.6
332	12.0
333	25.4
334	11.3
335	32.1
336	13.1
337	44.7
338	28.9
339	10.3
340	10.0
341	11.1
342	9.6
343	12.4
344	26.1
345	11.4
346	9.2
347	20.2
348	11.0
349	9.0
350	9.6
351	9.4
352	9.5
353	10.8
354	9.8
355	9.1
356	12.3
357	9.2
358	11.0
359	12.9
360	9.0
361	8.8
362	9.4
363	9.1
364	9.3
365	8.9
366	8.7
367	9.2
368	9.2
369	9.0
370	8.7
371	8.7
372	8.9
373	8.8
374	9.3
375	9.0
376	8.8
377	9.3
378	9.1
379	9.2
380	8.5
381	9.2
382	9.3
383	9.4
384	9.5
385	9.4
386	9.0
387	9.0
388	9.1
389	9.0
390	9.4
391	9.5
392	13.0
393	10.2
394	9.4
395	8.8
396	11.9
397	9.2
398	8.8
399	9.2
400	9.0
401	8.7
402	9.7
403	9.5
404	8.9
405	8.8
406	9.6
407	9.5
408	8.7
409	9.3
410	9.4
411	9.5
412	8.8
413	9.0
414	9.3
415	9.7
416	9.1
417	9.9
418	9.7
419	12.1
420	9.4
421	10.0
422	8.6
423	9.6
424	9.5
425	10.4
426	9.9
427	9.8
428	9.7
429	9.6
430	9.4
431	9.6
432	10.1
433	10.2
434	10.0
435	9.9
436	9.8
437	9.8
438	9.5
439	10.1
440	10.4
441	9.8
442	9.8
443	9.6
444	9.1
