cluster_id	KSLabel
0	mua
1	good
2	good
3	mua
4	good
5	good
6	mua
7	mua
8	good
9	good
10	mua
11	good
12	good
13	mua
14	good
15	good
16	good
17	mua
18	good
19	mua
20	good
21	mua
22	mua
23	good
24	mua
25	mua
26	mua
27	mua
28	mua
29	mua
30	mua
31	good
32	mua
33	mua
34	mua
35	mua
36	good
37	mua
38	mua
39	good
40	mua
41	good
42	mua
43	mua
44	mua
45	mua
46	mua
47	good
48	mua
49	mua
50	mua
51	mua
52	mua
53	mua
54	good
55	mua
56	mua
57	good
58	good
59	mua
60	mua
61	mua
62	mua
63	mua
64	mua
65	mua
66	mua
67	mua
68	mua
69	mua
70	mua
71	mua
72	mua
73	mua
74	mua
75	mua
76	mua
77	mua
78	good
79	mua
80	mua
81	good
82	mua
83	good
84	mua
85	good
86	mua
87	mua
88	mua
89	good
90	mua
91	good
92	good
93	mua
94	mua
95	mua
96	mua
97	mua
98	good
99	mua
100	mua
101	mua
102	mua
103	mua
104	good
105	mua
106	good
107	mua
108	mua
109	mua
110	mua
111	good
112	mua
113	mua
114	mua
115	mua
116	mua
117	mua
118	mua
119	mua
120	good
121	good
122	good
123	good
124	good
125	good
126	mua
127	mua
128	good
129	good
130	mua
131	mua
132	mua
133	good
134	mua
135	mua
136	good
137	good
138	good
139	mua
140	mua
141	mua
142	mua
143	mua
144	mua
145	mua
146	mua
147	mua
148	mua
149	good
150	mua
151	good
152	mua
153	mua
154	good
155	mua
156	good
157	mua
158	mua
159	mua
160	good
161	good
162	mua
163	good
164	good
165	good
166	mua
167	mua
168	good
169	mua
170	mua
171	good
172	good
173	mua
174	mua
175	good
176	good
177	mua
178	good
179	mua
180	good
181	mua
182	mua
183	mua
184	good
185	mua
186	good
187	mua
188	mua
189	good
190	mua
191	mua
192	mua
193	good
194	good
195	good
196	good
197	good
198	mua
199	mua
200	mua
201	mua
202	good
203	mua
204	mua
205	good
206	mua
207	mua
208	good
209	mua
210	mua
211	good
212	mua
213	mua
214	mua
215	mua
216	good
217	mua
218	good
219	mua
220	mua
221	mua
222	mua
223	mua
224	mua
225	mua
226	mua
227	mua
228	mua
229	mua
230	good
231	mua
232	mua
233	mua
234	mua
235	mua
236	mua
237	mua
238	mua
239	good
240	good
241	mua
242	mua
243	mua
244	good
245	mua
246	good
247	mua
248	mua
249	mua
250	mua
251	mua
252	mua
253	mua
254	good
255	mua
256	mua
257	good
258	good
259	mua
260	good
261	mua
262	mua
263	mua
264	mua
265	mua
266	mua
267	mua
268	mua
269	mua
270	mua
271	good
272	mua
273	mua
274	good
275	mua
276	good
277	mua
278	mua
279	mua
280	mua
281	mua
282	mua
283	mua
284	mua
285	mua
286	good
287	mua
288	mua
289	mua
290	good
291	mua
292	mua
293	mua
294	mua
295	mua
296	mua
297	good
298	mua
299	mua
300	mua
301	good
302	mua
303	good
304	good
305	good
306	good
307	mua
308	good
309	mua
310	mua
311	mua
312	mua
313	mua
314	mua
315	mua
316	good
317	good
318	mua
319	mua
320	mua
321	good
322	good
323	good
324	good
325	good
326	good
327	good
328	mua
329	good
330	mua
331	good
332	good
333	good
334	mua
335	good
336	good
337	mua
338	good
339	mua
340	mua
341	good
342	mua
343	good
344	good
345	mua
346	mua
347	good
348	mua
349	mua
350	mua
351	mua
352	mua
353	mua
354	mua
355	mua
356	mua
357	mua
358	good
359	mua
360	mua
361	mua
362	good
363	mua
364	mua
365	mua
366	mua
367	mua
368	mua
369	mua
370	mua
371	mua
372	mua
373	mua
374	mua
375	mua
376	mua
377	mua
378	good
379	mua
380	mua
381	mua
382	mua
383	mua
384	good
385	mua
386	mua
387	mua
388	mua
389	mua
390	mua
391	mua
392	mua
393	mua
394	mua
395	mua
396	mua
397	mua
398	mua
399	mua
400	mua
401	mua
402	mua
403	mua
404	mua
405	mua
406	mua
407	mua
408	good
409	mua
410	mua
411	mua
412	mua
413	mua
414	mua
415	mua
416	mua
417	mua
418	mua
419	mua
420	mua
421	mua
422	mua
423	mua
424	mua
425	mua
426	mua
427	mua
428	mua
429	mua
430	mua
431	mua
432	mua
433	mua
434	mua
435	mua
436	mua
437	mua
438	mua
439	mua
440	mua
441	mua
442	mua
443	mua
444	mua
