cluster_id	Amplitude
0	8.1
1	6.8
2	6.8
3	10.0
4	8.2
5	9.7
6	5.8
7	10.8
8	11.3
9	10.7
10	8.4
11	8.3
12	7.6
13	9.9
14	9.0
15	7.0
16	6.6
17	10.9
18	8.0
19	7.1
20	9.5
21	9.1
22	11.1
23	8.9
24	8.8
25	9.3
26	8.3
27	8.6
28	8.2
29	8.4
30	6.7
31	7.8
32	7.0
33	8.1
34	8.2
35	10.7
36	8.1
37	6.2
38	8.7
39	9.0
40	8.6
41	8.4
42	9.3
43	8.8
44	6.5
45	8.4
46	7.9
47	8.5
48	9.3
49	9.1
50	29.0
51	8.4
52	8.0
53	8.7
54	7.6
55	5.9
56	10.4
57	11.2
58	9.3
59	7.9
60	9.8
61	5.7
62	10.7
63	7.7
64	25.6
65	9.4
66	5.6
67	12.6
68	18.0
69	9.3
70	8.2
71	21.9
72	9.7
73	9.9
74	9.0
75	9.1
76	9.6
77	9.6
78	9.5
79	11.2
80	9.8
81	12.8
82	19.7
83	20.9
84	14.7
85	8.0
86	6.3
87	10.7
88	9.3
89	7.3
90	8.3
91	10.1
92	9.7
93	9.5
94	11.0
95	8.6
96	7.1
97	9.8
98	7.0
99	20.3
100	7.2
101	10.4
102	7.9
103	19.6
104	9.0
105	8.7
106	10.4
107	9.2
108	8.8
109	9.9
110	9.0
111	18.4
112	8.1
113	12.2
114	7.3
115	11.4
116	16.9
117	8.4
118	20.1
119	8.5
120	7.6
121	8.1
122	8.7
123	9.1
124	7.3
125	7.6
126	9.5
127	7.3
128	7.9
129	8.5
130	7.6
131	8.7
132	7.8
133	23.6
134	7.3
135	6.8
136	10.1
137	7.9
138	9.8
139	8.3
140	7.9
141	7.8
142	9.1
143	7.1
144	7.0
145	7.9
146	10.1
147	11.1
148	7.3
149	7.6
150	9.7
151	10.0
152	12.3
153	5.8
154	9.3
155	20.7
156	11.1
157	7.6
158	9.1
159	20.2
160	17.6
161	8.1
162	10.3
163	7.0
164	8.4
165	7.6
166	15.2
167	12.5
168	15.6
169	6.7
170	10.0
171	7.7
172	7.8
173	10.4
174	24.5
175	9.1
176	42.5
177	20.6
178	8.9
179	8.1
180	16.1
181	7.8
182	9.8
183	10.2
184	8.5
185	8.0
186	16.4
187	13.0
188	9.7
189	12.6
190	8.3
191	8.3
192	21.4
193	8.8
194	9.6
195	22.0
196	11.0
197	7.0
198	5.6
199	8.5
200	10.1
201	10.1
202	21.3
203	9.7
204	21.3
205	7.7
206	14.7
207	8.9
208	9.0
209	6.0
210	8.4
211	6.9
212	10.3
213	8.4
214	12.1
215	20.7
216	10.4
217	9.0
218	8.9
219	9.1
220	6.1
221	8.1
222	10.5
223	10.8
224	6.9
225	8.9
226	7.5
227	7.4
228	9.0
229	6.7
230	7.9
231	8.8
232	9.9
233	9.0
234	8.7
235	5.8
236	8.3
237	8.6
238	6.6
239	8.1
240	9.0
241	8.6
242	9.4
243	8.2
244	5.8
245	8.4
246	7.8
247	8.2
248	8.3
249	8.7
250	7.4
251	7.3
252	9.5
253	9.6
254	9.1
255	9.3
256	8.9
257	5.8
258	7.6
259	6.8
260	8.4
261	7.9
262	7.8
263	7.7
264	7.3
265	8.0
266	7.7
267	8.2
268	7.3
269	7.4
270	7.5
271	7.4
272	7.3
273	7.7
274	7.8
275	7.5
276	7.2
277	7.5
278	7.3
279	6.6
280	8.0
281	7.7
282	7.7
283	7.7
284	7.2
285	6.0
286	8.9
287	7.4
288	7.1
289	7.8
290	7.8
291	7.6
292	7.8
293	7.2
294	8.7
295	7.8
296	7.3
297	7.5
298	7.1
299	7.7
300	7.1
301	7.5
302	8.4
303	7.6
304	7.2
305	7.1
306	7.9
307	7.2
308	7.3
309	7.4
310	7.4
311	7.4
312	7.0
313	6.3
314	6.0
315	7.5
316	8.6
317	8.4
318	7.5
319	7.7
320	7.4
321	7.5
322	7.4
323	8.9
324	9.0
325	7.8
326	7.5
327	7.5
328	7.3
329	7.1
330	7.4
331	9.1
332	7.6
333	7.8
334	7.4
335	7.5
336	7.5
337	7.3
338	7.3
339	8.1
340	8.8
341	9.1
342	7.8
343	7.6
344	7.6
345	7.2
346	7.2
347	7.3
348	9.0
349	7.5
350	7.6
351	7.3
352	7.8
353	7.5
354	7.5
355	7.5
356	7.4
357	7.8
358	6.9
359	7.4
360	6.1
361	9.0
362	7.5
363	8.4
364	7.3
365	7.3
366	7.6
367	7.0
368	7.3
369	9.0
370	7.7
371	7.3
372	7.1
373	7.4
374	7.5
375	7.5
376	8.9
377	8.6
378	7.8
379	8.0
380	7.2
381	7.6
382	7.7
383	7.3
384	9.0
385	6.7
386	7.8
387	7.6
388	7.3
389	7.5
390	7.3
391	7.5
392	7.2
393	9.0
394	9.0
395	9.0
396	7.5
397	7.7
398	7.2
399	7.7
400	7.4
401	8.4
402	7.7
403	7.5
404	7.2
405	7.2
406	7.5
407	6.4
408	8.7
409	7.9
410	7.8
411	8.4
412	7.5
413	7.4
414	7.7
415	7.5
416	8.8
417	9.1
418	7.0
419	7.6
420	7.8
421	7.4
422	7.3
423	7.6
424	7.5
425	9.0
426	7.6
427	8.4
428	7.2
429	7.3
430	7.3
431	8.4
432	7.0
433	9.0
434	9.1
435	7.8
436	7.2
437	7.9
438	8.6
439	8.1
440	7.1
441	7.8
442	7.6
443	8.8
444	7.3
445	8.4
446	8.2
447	7.4
448	7.2
449	7.8
450	7.5
451	8.6
452	6.9
453	8.0
454	8.2
