cluster_id	KSLabel
0	mua
1	mua
2	mua
3	mua
4	mua
5	mua
6	good
7	mua
8	mua
9	mua
10	mua
11	mua
12	mua
13	mua
14	mua
15	mua
16	mua
17	mua
18	good
19	mua
20	mua
21	mua
22	mua
23	mua
24	good
25	good
26	mua
27	mua
28	good
29	mua
30	mua
31	mua
32	good
33	good
34	mua
35	good
36	good
37	good
38	good
39	mua
40	good
41	mua
42	mua
43	mua
44	mua
45	mua
46	good
47	mua
48	mua
49	good
50	mua
51	mua
52	mua
53	good
54	mua
55	mua
56	mua
57	mua
58	good
59	mua
60	mua
61	mua
62	mua
63	mua
64	mua
65	mua
66	good
67	mua
68	mua
69	mua
70	good
71	mua
72	mua
73	mua
74	good
75	good
76	good
77	mua
78	good
79	mua
80	mua
81	mua
82	good
83	mua
84	mua
85	mua
86	good
87	mua
88	good
89	good
90	mua
91	mua
92	mua
93	mua
94	mua
95	mua
96	good
97	good
98	good
99	good
100	mua
101	good
102	mua
103	good
104	good
105	mua
106	mua
107	mua
108	mua
109	mua
110	mua
111	mua
112	good
113	mua
114	mua
115	good
116	good
117	mua
118	mua
119	good
120	mua
121	good
122	mua
123	mua
124	mua
125	mua
126	good
127	good
128	mua
129	mua
130	mua
131	good
132	mua
133	mua
134	mua
135	mua
136	mua
137	good
138	mua
139	good
140	good
141	mua
142	mua
143	good
144	mua
145	good
146	mua
147	mua
148	good
149	good
150	mua
151	good
152	good
153	mua
154	mua
155	good
156	good
157	mua
158	good
159	good
160	mua
161	mua
162	mua
163	good
164	mua
165	mua
166	mua
167	mua
168	good
169	mua
170	good
171	good
172	mua
173	mua
174	mua
175	good
176	good
177	mua
178	mua
179	mua
180	good
181	mua
182	mua
183	mua
184	good
185	good
186	mua
187	good
188	mua
189	good
190	mua
191	mua
192	mua
193	mua
194	mua
195	good
196	mua
197	mua
198	good
199	mua
200	good
201	good
202	mua
203	mua
204	mua
205	good
206	mua
207	mua
208	mua
209	mua
210	mua
211	mua
212	mua
213	mua
214	good
215	mua
216	mua
217	mua
218	mua
219	mua
220	mua
221	mua
222	good
223	mua
224	mua
225	mua
226	mua
227	mua
228	mua
229	mua
230	mua
231	mua
232	mua
233	mua
234	mua
235	mua
236	mua
237	mua
238	mua
239	mua
240	mua
241	mua
242	mua
243	mua
244	mua
245	mua
246	mua
247	mua
248	mua
249	mua
250	mua
