cluster_id	KSLabel
0	mua
1	mua
2	mua
3	mua
4	mua
5	mua
6	mua
7	mua
8	mua
9	mua
10	mua
11	good
12	mua
13	mua
14	mua
15	mua
16	mua
17	mua
18	mua
19	mua
20	mua
21	good
22	mua
23	mua
24	good
25	good
26	good
27	mua
28	mua
29	good
30	mua
31	mua
32	mua
33	good
34	mua
35	good
36	good
37	mua
38	mua
39	mua
40	mua
41	good
42	good
43	mua
44	good
45	good
46	good
47	good
48	mua
49	mua
50	good
51	mua
52	good
53	good
54	mua
55	mua
56	good
57	mua
58	mua
59	mua
60	good
61	good
62	mua
63	mua
64	mua
65	mua
66	good
67	good
68	mua
69	mua
70	mua
71	good
72	good
73	good
74	mua
75	good
76	mua
77	mua
78	mua
79	mua
80	good
81	mua
82	mua
83	good
84	good
85	mua
86	good
87	mua
88	mua
89	good
90	mua
91	mua
92	mua
93	good
94	good
95	mua
96	mua
97	good
98	mua
99	mua
100	good
101	good
102	good
103	mua
104	mua
105	mua
106	good
107	good
108	good
109	mua
110	good
111	good
112	mua
113	mua
114	good
115	good
116	mua
117	good
118	good
119	good
120	good
121	mua
122	good
123	mua
124	mua
125	good
126	good
127	mua
128	mua
129	mua
130	mua
131	mua
132	mua
133	mua
134	mua
135	good
136	mua
137	good
138	mua
139	mua
140	mua
141	mua
142	mua
143	mua
144	mua
145	mua
146	mua
147	mua
148	mua
149	mua
150	mua
151	mua
152	mua
153	mua
154	mua
155	mua
156	mua
157	mua
158	mua
159	mua
160	mua
161	mua
162	mua
163	mua
164	mua
165	mua
