cluster_id	KSLabel
0	mua
1	mua
2	mua
3	mua
4	mua
5	good
6	mua
7	mua
8	mua
9	good
10	mua
11	mua
12	mua
13	mua
14	mua
15	mua
16	mua
17	mua
18	good
19	mua
20	mua
21	mua
22	mua
23	mua
24	good
25	good
26	mua
27	mua
28	mua
29	good
30	mua
31	good
32	mua
33	good
34	good
35	mua
36	mua
37	good
38	mua
39	good
40	good
41	good
42	mua
43	mua
44	good
45	mua
46	mua
47	good
48	mua
49	mua
50	mua
51	mua
52	mua
53	mua
54	mua
55	good
56	good
57	mua
58	mua
59	good
60	mua
61	mua
62	good
63	mua
64	mua
65	good
66	good
67	mua
68	good
69	good
70	mua
71	mua
72	mua
73	good
74	mua
75	mua
76	good
77	mua
78	mua
79	mua
80	good
81	mua
82	mua
83	mua
84	mua
85	good
86	good
87	mua
88	mua
89	good
90	good
91	mua
92	mua
93	mua
94	mua
95	mua
96	mua
97	good
98	mua
99	good
100	good
101	mua
102	good
103	mua
104	mua
105	mua
106	mua
107	mua
108	good
109	mua
110	good
111	mua
112	mua
113	good
114	mua
115	mua
116	mua
117	good
118	mua
119	good
120	good
121	mua
122	good
123	mua
124	good
125	mua
126	mua
127	good
128	mua
129	good
130	good
131	mua
132	good
133	mua
134	good
135	mua
136	mua
137	good
138	mua
139	good
140	mua
141	good
142	good
143	good
144	mua
145	good
146	good
147	mua
148	mua
149	mua
150	good
151	good
152	good
153	good
154	mua
155	mua
156	good
157	mua
158	good
159	mua
160	mua
161	good
162	good
163	mua
164	mua
165	mua
166	mua
167	mua
168	good
169	mua
170	mua
171	mua
172	mua
173	mua
174	mua
175	mua
176	mua
177	mua
178	mua
179	mua
180	mua
181	mua
182	mua
183	mua
184	mua
185	mua
186	mua
187	mua
188	mua
189	mua
190	mua
191	mua
192	mua
193	mua
194	mua
195	mua
196	mua
197	mua
198	mua
199	mua
200	mua
201	mua
202	mua
203	mua
204	mua
205	mua
206	mua
207	mua
208	mua
209	mua
210	mua
211	mua
212	mua
213	mua
214	mua
