cluster_id	Amplitude
0	6.9
1	5.7
2	9.1
3	6.6
4	10.0
5	8.7
6	9.6
7	6.1
8	10.5
9	11.3
10	10.7
11	7.8
12	9.9
13	7.5
14	8.2
15	8.9
16	9.0
17	7.2
18	10.7
19	8.8
20	6.3
21	6.0
22	9.5
23	9.0
24	11.3
25	9.3
26	8.9
27	9.7
28	9.1
29	8.5
30	9.7
31	8.9
32	7.2
33	7.9
34	8.2
35	10.6
36	8.8
37	8.0
38	7.0
39	8.7
40	8.6
41	7.4
42	8.4
43	24.2
44	8.4
45	8.5
46	9.2
47	9.4
48	7.7
49	8.7
50	10.3
51	7.8
52	8.5
53	8.8
54	7.9
55	9.6
56	28.8
57	8.3
58	8.7
59	9.0
60	6.3
61	9.7
62	10.8
63	9.6
64	8.2
65	5.7
66	7.8
67	9.0
68	10.7
69	29.8
70	7.6
71	18.4
72	17.8
73	8.7
74	7.9
75	9.5
76	21.1
77	8.8
78	9.5
79	9.9
80	9.6
81	9.3
82	10.9
83	13.8
84	9.2
85	15.7
86	9.5
87	8.6
88	7.4
89	8.6
90	9.8
91	9.9
92	10.9
93	8.3
94	6.4
95	9.7
96	8.8
97	6.7
98	22.5
99	9.9
100	9.9
101	6.9
102	8.7
103	19.3
104	9.1
105	8.7
106	10.0
107	13.3
108	9.8
109	7.4
110	7.2
111	10.4
112	9.1
113	9.3
114	19.1
115	10.8
116	10.8
117	8.5
118	6.7
119	29.0
120	8.2
121	15.3
122	8.2
123	19.1
124	8.2
125	8.2
126	8.5
127	9.1
128	7.9
129	8.4
130	7.1
131	9.7
132	9.4
133	7.1
134	8.1
135	6.9
136	9.1
137	7.8
138	8.7
139	23.7
140	7.5
141	10.1
142	7.8
143	9.8
144	7.9
145	9.2
146	10.2
147	7.2
148	7.1
149	7.5
150	11.1
151	10.0
152	9.3
153	7.7
154	10.0
155	12.2
156	20.6
157	8.1
158	11.1
159	9.2
160	20.1
161	7.9
162	7.4
163	17.4
164	10.0
165	7.1
166	7.7
167	8.5
168	15.2
169	12.4
170	15.7
171	8.8
172	6.4
173	9.9
174	8.2
175	10.3
176	24.1
177	43.0
178	20.6
179	9.2
180	7.6
181	14.7
182	9.0
183	10.3
184	7.1
185	8.8
186	8.2
187	15.9
188	10.0
189	12.0
190	12.9
191	6.2
192	20.3
193	21.9
194	8.3
195	10.0
196	10.0
197	9.9
198	21.4
199	7.9
200	9.7
201	8.9
202	7.3
203	11.6
204	6.8
205	8.2
206	10.4
207	20.8
208	8.4
209	11.7
210	8.7
211	8.9
212	9.8
213	9.1
214	9.0
215	7.3
216	10.5
217	10.9
218	7.6
219	7.1
220	7.4
221	7.4
222	10.2
223	6.7
224	7.9
225	8.8
226	9.9
227	8.8
228	7.1
229	6.8
230	8.4
231	8.3
232	7.4
233	9.5
234	9.0
235	8.5
236	7.5
237	8.6
238	8.3
239	7.8
240	8.8
241	8.4
242	7.3
243	7.5
244	9.5
245	9.3
246	9.2
247	9.4
248	8.8
249	8.9
250	8.1
251	8.1
252	7.5
253	8.6
254	8.5
255	8.8
256	7.9
257	8.3
258	7.2
259	7.4
260	7.5
261	7.5
262	8.1
263	7.9
264	7.9
265	7.7
266	7.5
267	7.4
268	7.2
269	7.3
270	7.9
271	7.3
272	7.8
273	7.2
274	6.1
275	6.2
276	9.1
277	7.0
278	7.2
279	7.7
280	7.7
281	7.6
282	7.8
283	7.2
284	8.6
285	7.8
286	7.3
287	7.6
288	7.2
289	7.8
290	7.1
291	8.4
292	7.6
293	8.4
294	7.2
295	7.3
296	7.2
297	7.3
298	7.4
299	7.3
300	7.1
301	7.6
302	7.4
303	7.8
304	6.1
305	8.9
306	8.0
307	7.8
308	7.5
309	7.6
310	7.7
311	7.4
312	6.9
313	9.0
314	8.9
315	7.5
316	7.6
317	7.8
318	7.9
319	7.2
320	7.2
321	9.1
322	7.6
323	7.4
324	7.1
325	8.0
326	7.3
327	7.7
328	7.4
329	7.3
330	7.4
331	7.5
332	7.1
333	7.7
334	6.5
335	8.6
336	7.8
337	7.3
338	7.2
339	7.8
340	7.3
341	7.1
342	7.9
343	7.7
344	8.9
345	9.0
346	7.0
347	7.8
348	7.1
349	7.7
350	7.4
351	7.2
352	7.6
353	8.4
354	7.4
355	8.4
356	7.4
357	7.0
358	7.4
359	7.7
360	9.1
361	7.6
362	8.0
363	7.7
364	7.1
365	7.4
366	7.5
367	7.9
368	8.6
369	7.8
370	7.9
371	7.7
372	7.8
373	7.1
374	7.3
375	9.0
376	6.8
377	7.3
378	7.6
379	7.9
380	7.1
381	7.9
382	7.9
383	8.6
384	7.8
385	8.2
386	7.8
387	8.4
388	7.3
389	7.1
390	7.4
391	9.0
392	6.3
393	8.9
394	8.9
395	7.7
396	7.9
397	7.7
398	7.3
399	7.6
400	7.6
401	7.9
402	7.6
403	7.5
404	7.6
405	7.8
406	6.3
407	8.9
408	8.8
409	6.9
410	7.7
411	7.6
412	8.0
413	7.3
414	7.5
415	7.5
416	7.5
417	8.7
418	8.6
419	7.1
420	7.5
421	7.1
422	7.2
423	8.1
424	9.1
425	8.6
426	8.0
427	7.1
428	7.1
429	7.8
430	7.3
431	6.7
432	7.8
433	7.7
434	8.4
435	7.5
436	7.7
437	7.6
438	7.5
439	7.7
440	7.1
441	7.8
442	7.5
443	7.6
444	7.6
445	7.9
446	9.1
447	9.0
448	7.1
449	7.4
450	7.2
451	7.5
452	7.8
453	8.9
454	9.1
455	8.0
456	7.8
457	7.3
458	7.5
459	7.3
460	7.2
461	9.0
462	9.0
463	9.0
464	7.2
465	6.5
466	6.4
