cluster_id	Amplitude
0	8.1
1	9.8
2	9.4
3	8.9
4	8.4
5	6.6
6	6.7
7	5.8
8	8.3
9	9.4
10	8.7
11	7.3
12	7.3
13	8.5
14	8.9
15	7.3
16	7.0
17	7.2
18	5.7
19	5.3
20	9.2
21	9.9
22	6.6
23	9.2
24	6.6
25	9.7
26	7.1
27	5.8
28	9.3
29	11.3
30	8.9
31	9.2
32	9.5
33	8.4
34	7.1
35	8.5
36	16.7
37	8.2
38	8.7
39	7.8
40	7.9
41	7.3
42	8.5
43	7.8
44	10.6
45	7.0
46	8.4
47	7.6
48	17.6
49	9.2
50	8.9
51	14.4
52	9.3
53	14.2
54	10.1
55	7.9
56	13.7
57	9.1
58	7.2
59	7.2
60	17.2
61	8.4
62	8.9
63	9.1
64	16.4
65	9.6
66	7.5
67	14.1
68	7.1
69	9.1
70	9.2
71	9.0
72	16.9
73	9.0
74	9.3
75	5.5
76	7.9
77	10.2
78	5.7
79	8.9
80	6.8
81	8.3
82	8.6
83	10.4
84	6.1
85	8.1
86	8.2
87	6.6
88	7.1
89	7.8
90	7.2
91	6.5
92	6.6
93	8.9
94	6.7
95	10.8
96	7.7
97	8.6
98	11.9
99	6.6
100	9.2
101	7.0
102	8.9
103	14.8
104	8.9
105	7.3
106	9.2
107	7.9
108	9.1
109	9.3
110	11.2
111	7.6
112	8.6
113	8.4
114	9.4
115	8.7
116	12.9
117	9.2
118	14.6
119	9.0
120	8.5
121	10.9
122	11.1
123	9.8
124	10.8
125	13.8
126	13.9
127	9.9
128	9.0
129	16.3
130	9.0
131	8.2
132	18.3
133	10.1
134	9.9
135	8.9
136	15.5
137	7.8
138	8.9
139	9.3
140	13.9
141	9.0
142	8.9
143	10.4
144	17.2
145	10.7
146	11.2
147	8.5
148	9.8
149	15.0
150	9.1
151	9.3
152	20.6
153	10.1
154	20.8
155	10.2
156	9.2
157	14.0
158	7.2
159	15.1
160	23.9
161	9.0
162	7.8
163	11.8
164	6.7
165	32.2
166	8.8
167	9.2
168	10.9
169	10.0
170	17.2
171	7.6
172	8.1
173	28.5
174	15.7
175	17.1
176	8.5
177	11.2
178	5.7
179	10.1
180	12.0
181	11.2
182	17.6
183	9.5
184	9.2
185	8.6
186	8.9
187	10.6
188	8.7
189	8.7
190	9.0
191	10.3
192	8.3
193	9.7
194	7.2
195	9.3
196	10.8
197	9.4
198	7.5
199	8.9
200	9.7
201	9.5
202	11.5
203	7.8
204	7.9
205	8.2
206	7.1
207	6.4
208	6.1
209	6.6
210	8.5
211	6.8
212	7.7
213	6.3
214	6.4
215	5.8
216	7.5
217	7.1
218	6.9
219	5.3
220	6.9
221	5.7
222	7.5
223	9.3
