cluster_id	KSLabel
0	mua
1	mua
2	mua
3	mua
4	mua
5	mua
6	mua
7	mua
8	mua
9	mua
10	mua
11	mua
12	mua
13	mua
14	mua
15	mua
16	mua
17	mua
18	mua
19	mua
20	mua
21	mua
22	mua
23	mua
24	mua
25	mua
26	mua
27	mua
28	mua
29	mua
30	mua
31	mua
32	mua
33	mua
34	mua
35	mua
36	good
37	good
38	mua
39	mua
40	mua
41	mua
42	good
43	good
44	mua
45	mua
46	mua
47	good
48	good
49	mua
50	mua
51	good
52	mua
53	mua
54	mua
55	good
56	good
57	mua
58	mua
59	mua
60	mua
61	mua
62	mua
63	mua
64	mua
65	mua
66	mua
67	good
68	mua
69	mua
70	mua
71	mua
72	mua
73	mua
74	mua
75	mua
76	mua
77	mua
78	mua
79	mua
80	mua
81	mua
82	mua
83	mua
84	mua
85	mua
86	mua
87	mua
88	mua
89	mua
90	mua
91	mua
92	mua
93	mua
94	mua
95	good
96	good
97	mua
98	mua
99	mua
100	mua
101	mua
102	good
103	good
104	mua
105	mua
106	mua
107	mua
108	mua
109	good
110	good
111	mua
112	mua
113	mua
114	mua
115	mua
116	good
117	mua
118	mua
119	mua
120	mua
121	mua
122	good
123	good
124	good
125	good
126	mua
127	mua
128	mua
129	mua
130	mua
131	mua
132	good
133	mua
134	mua
135	mua
136	good
137	mua
138	mua
139	mua
140	mua
141	mua
142	mua
143	mua
144	good
145	good
146	good
147	mua
148	mua
149	good
150	mua
151	mua
152	good
153	good
154	good
155	mua
156	mua
157	good
158	good
159	mua
160	good
161	mua
162	mua
163	mua
164	mua
165	good
166	good
167	mua
168	mua
169	mua
170	mua
171	mua
172	mua
173	good
174	good
175	mua
176	mua
177	mua
178	mua
179	mua
180	mua
181	mua
182	good
183	mua
184	mua
185	mua
186	mua
187	mua
188	mua
189	mua
190	mua
191	mua
192	mua
193	mua
194	mua
195	mua
196	mua
197	mua
198	mua
199	mua
200	mua
201	mua
202	mua
203	mua
204	good
205	mua
206	mua
207	mua
208	mua
209	mua
210	mua
211	mua
212	mua
213	mua
214	mua
215	mua
216	mua
217	mua
218	mua
219	mua
220	mua
221	mua
222	mua
223	mua
