cluster_id	KSLabel
0	mua
1	mua
2	mua
3	mua
4	mua
5	mua
6	mua
7	mua
8	mua
9	mua
10	mua
11	mua
12	mua
13	mua
14	mua
15	mua
16	good
17	mua
18	mua
19	mua
20	good
21	good
22	good
23	mua
24	mua
25	good
26	good
27	good
28	mua
29	mua
30	mua
31	good
32	mua
33	mua
34	mua
35	mua
36	mua
37	mua
38	mua
39	mua
40	mua
41	mua
42	mua
43	mua
44	mua
45	mua
46	mua
47	mua
48	mua
49	mua
50	mua
51	mua
52	mua
53	mua
54	good
55	good
56	mua
57	good
58	mua
59	good
60	mua
61	mua
62	good
63	mua
64	mua
65	good
66	mua
67	mua
68	mua
69	good
70	mua
71	good
72	mua
73	good
74	good
75	good
76	mua
77	good
78	mua
79	good
80	mua
81	good
82	good
83	mua
84	good
85	good
86	mua
87	good
88	mua
89	good
90	mua
91	good
92	good
93	mua
94	mua
95	mua
96	mua
97	mua
98	mua
99	mua
100	mua
101	mua
102	mua
103	mua
104	mua
105	mua
106	mua
107	mua
108	mua
109	mua
110	mua
111	mua
112	mua
113	mua
114	mua
115	mua
116	mua
117	mua
118	mua
