cluster_id	Amplitude
0	14.7
1	11.1
2	10.2
3	9.5
4	11.4
5	13.3
6	11.3
7	14.7
8	10.2
9	10.8
10	13.0
11	9.4
12	29.9
13	11.5
14	10.4
15	6.7
16	25.3
17	12.0
18	9.6
19	43.1
20	8.7
21	22.1
22	20.6
23	30.8
24	9.8
25	21.6
26	20.6
27	9.9
28	29.5
29	25.9
30	19.3
31	9.9
32	30.8
33	24.4
34	22.6
35	10.0
36	11.9
37	6.5
38	24.6
39	5.3
40	24.7
41	10.9
42	10.6
43	10.1
44	10.2
45	10.7
46	10.3
47	9.7
48	10.0
49	9.8
50	9.9
51	9.6
52	9.1
53	21.7
54	10.8
55	10.2
56	10.7
57	9.4
58	23.7
59	24.7
60	10.8
61	10.3
62	14.7
63	12.1
64	27.5
65	23.2
66	24.0
67	9.8
68	13.0
69	18.3
70	14.6
71	14.8
72	21.5
73	12.6
74	11.5
75	21.7
76	11.4
77	12.2
78	19.3
79	12.1
80	15.9
81	16.3
82	15.0
83	13.8
84	21.0
85	19.7
86	10.4
87	9.6
88	29.4
89	13.0
90	11.9
91	31.2
92	21.9
93	18.6
94	12.9
95	11.3
96	22.7
97	28.0
98	26.7
99	28.8
100	19.3
101	19.6
102	20.5
103	23.1
104	16.1
105	9.4
106	11.1
107	19.0
108	15.5
109	19.1
110	33.4
111	22.3
112	9.2
113	26.4
114	39.1
115	12.0
116	11.7
117	24.5
118	23.9
119	10.0
120	26.9
121	22.3
122	10.1
123	10.6
124	11.1
125	28.4
126	11.0
127	11.3
128	11.4
129	11.6
130	10.0
131	9.6
132	10.3
133	10.9
134	10.9
135	11.4
136	11.0
137	10.6
138	10.5
139	10.6
140	10.5
141	11.9
142	10.4
143	10.6
144	10.4
145	10.3
146	12.2
147	11.0
148	11.6
149	10.9
150	9.1
