cluster_id	Amplitude
0	8.2
1	28.2
2	21.8
3	16.2
4	9.9
5	12.6
6	12.3
7	28.8
8	13.8
9	7.2
10	8.5
11	10.4
12	9.9
13	9.4
14	27.9
15	16.7
16	9.7
17	28.1
18	19.3
19	11.8
20	8.9
21	29.4
22	43.9
23	50.0
24	10.8
25	8.1
26	16.8
27	14.6
28	9.3
29	12.0
30	8.9
31	11.0
32	28.4
33	32.5
34	18.5
35	21.2
36	14.8
37	26.3
38	36.1
39	13.1
40	9.8
41	10.0
42	12.2
43	66.1
44	22.8
45	27.4
46	26.6
47	39.0
48	36.9
49	25.6
50	9.7
51	9.9
52	8.6
53	31.1
54	34.9
55	36.5
56	24.9
57	10.9
58	7.6
59	9.7
60	11.2
61	10.3
62	9.2
63	39.3
64	7.2
65	13.4
66	9.5
67	11.2
68	30.3
69	16.1
70	34.4
71	7.4
72	16.0
73	8.9
74	7.5
75	14.1
76	9.3
77	9.1
78	8.6
79	8.0
80	17.4
81	18.7
82	14.3
83	13.6
84	7.8
85	8.9
86	9.1
87	20.0
88	9.9
89	20.7
90	10.4
91	11.3
92	13.4
93	17.9
94	9.4
95	42.5
96	10.7
97	19.2
98	17.1
99	9.5
100	18.4
101	12.5
102	12.4
103	10.1
104	9.3
105	6.0
106	16.4
107	7.8
108	13.2
109	11.0
110	10.5
111	9.1
112	13.6
113	9.9
114	11.4
115	17.5
116	8.5
117	13.9
118	9.5
119	17.3
120	28.3
121	26.7
122	10.3
123	11.0
124	10.9
125	23.4
126	33.2
127	16.9
128	9.1
129	9.6
130	10.6
131	11.4
132	1.4
133	21.3
134	12.5
135	25.0
136	17.8
137	11.3
138	8.2
139	12.6
140	9.7
141	14.9
142	15.9
143	9.2
144	8.3
145	30.3
146	10.2
147	15.8
148	21.9
149	8.5
150	9.8
151	20.1
152	12.8
153	10.5
154	23.3
155	16.3
156	9.7
157	14.0
158	10.8
159	10.4
160	10.4
161	22.9
162	10.0
163	8.6
164	11.5
165	8.9
166	16.5
167	17.1
168	12.2
169	11.6
170	34.2
171	29.5
172	9.4
173	8.7
174	16.7
175	9.1
176	11.5
177	9.7
178	9.5
179	10.7
180	19.0
181	4.0
182	8.1
183	8.4
184	10.2
185	7.9
186	9.6
187	7.3
188	10.3
189	6.6
190	10.0
191	10.7
192	7.1
193	9.8
194	8.3
195	9.6
196	33.8
197	26.2
198	12.2
199	10.6
200	8.4
201	9.5
202	10.9
203	10.9
204	9.8
205	10.6
206	15.6
207	16.6
208	9.1
209	32.2
210	52.6
211	33.9
212	12.1
213	62.1
214	12.9
215	9.7
216	24.1
217	12.1
218	30.5
219	9.3
220	16.4
221	8.2
222	10.7
223	17.1
224	25.5
225	24.1
226	37.0
227	11.0
228	34.1
229	24.8
230	8.0
231	9.6
232	9.7
233	11.7
234	25.6
235	10.5
236	9.6
237	10.3
238	12.8
239	8.8
240	10.3
241	9.2
242	18.0
243	6.9
244	10.0
245	5.7
246	6.5
247	7.2
248	8.1
249	8.5
250	8.5
251	8.8
252	6.1
253	6.3
254	9.8
255	8.9
256	8.1
257	9.8
258	10.1
259	7.9
260	15.9
261	16.3
262	7.8
263	17.6
264	9.4
265	8.5
266	11.2
267	12.8
268	15.7
269	10.4
270	10.3
271	8.5
272	10.3
273	8.0
274	10.8
275	10.5
276	17.9
277	28.2
278	7.5
279	9.6
280	15.3
281	8.6
282	12.0
283	20.7
284	9.8
285	16.8
286	8.3
287	8.9
288	9.1
289	8.9
290	8.5
291	8.8
292	10.3
293	29.2
294	9.0
295	13.0
296	9.9
297	7.6
298	10.5
299	9.8
300	9.9
301	10.5
302	33.3
303	17.9
304	7.6
305	7.7
306	9.6
307	9.7
308	10.7
309	9.3
310	20.1
311	21.0
312	9.5
313	29.5
314	7.8
315	16.2
316	19.1
317	11.8
318	31.6
319	8.7
320	10.8
321	19.5
322	34.2
323	18.6
324	30.9
325	9.9
326	13.3
327	20.9
328	20.7
329	13.4
330	9.0
331	9.3
332	9.9
333	8.8
334	8.0
335	10.0
336	6.4
337	11.6
338	9.6
339	11.4
340	9.5
341	7.8
342	17.3
343	9.8
344	6.8
345	6.9
346	8.5
347	8.6
348	10.7
349	9.5
350	19.4
351	6.7
352	33.6
353	25.7
354	10.0
355	10.6
356	9.4
357	8.7
