cluster_id	KSLabel
0	good
1	good
2	mua
3	mua
4	mua
5	good
6	good
7	mua
8	good
9	good
10	good
11	good
12	mua
13	mua
14	mua
15	good
16	mua
17	good
18	mua
19	mua
20	good
21	mua
22	good
23	good
24	mua
25	good
26	good
27	good
28	good
29	good
30	mua
31	good
32	mua
33	good
34	mua
35	mua
36	mua
37	good
38	mua
39	good
40	mua
41	good
42	good
43	mua
44	mua
45	good
46	mua
47	good
48	good
49	good
50	mua
51	mua
52	mua
53	good
54	mua
55	mua
56	good
57	good
58	mua
59	mua
60	mua
61	mua
62	good
63	mua
64	mua
65	mua
66	mua
67	mua
68	mua
69	mua
70	good
71	good
72	mua
73	good
74	good
75	good
76	mua
77	good
78	good
79	mua
80	mua
81	mua
82	mua
83	good
84	mua
85	good
86	good
87	good
88	good
89	good
90	good
91	mua
92	mua
93	mua
94	good
95	mua
96	good
97	good
98	good
99	mua
100	mua
101	good
102	good
103	good
104	good
105	good
106	mua
107	good
108	good
109	good
110	mua
111	good
112	good
113	mua
114	mua
115	mua
116	good
117	good
118	mua
119	mua
120	mua
121	good
122	mua
123	good
124	good
125	mua
126	good
127	good
128	mua
129	good
130	good
131	good
132	good
133	good
134	mua
135	good
136	mua
137	good
138	mua
139	mua
140	mua
141	mua
142	good
143	good
144	good
145	mua
146	good
147	good
148	good
149	good
150	good
151	mua
152	good
153	mua
154	good
155	mua
156	good
157	mua
158	mua
159	good
160	good
161	mua
162	good
163	good
164	good
165	good
166	mua
167	good
168	mua
169	mua
170	good
171	good
172	good
173	mua
174	mua
175	good
176	mua
177	good
178	good
179	good
180	mua
181	mua
182	good
183	mua
184	good
185	good
186	mua
187	good
188	mua
189	good
190	mua
191	good
192	mua
193	good
194	mua
195	good
196	mua
197	good
198	good
199	mua
200	mua
201	mua
202	good
203	good
204	good
205	good
206	mua
207	mua
208	mua
209	good
210	mua
211	mua
212	mua
213	mua
214	mua
215	mua
216	mua
217	mua
218	mua
219	mua
220	good
221	mua
222	good
223	good
224	mua
225	mua
226	mua
227	mua
228	mua
229	mua
230	good
231	good
232	mua
233	mua
234	good
235	mua
236	mua
237	mua
238	good
239	good
240	good
241	good
242	good
243	mua
244	good
245	good
246	good
247	mua
248	mua
249	good
250	mua
251	mua
252	good
253	mua
254	mua
255	mua
256	mua
257	mua
258	mua
259	mua
260	mua
261	mua
262	mua
263	good
264	mua
265	mua
266	mua
267	mua
268	mua
269	mua
270	mua
271	good
272	mua
273	mua
274	mua
275	mua
276	mua
277	mua
278	mua
279	mua
280	mua
281	mua
282	mua
283	mua
284	mua
285	good
286	mua
287	mua
288	mua
289	mua
290	mua
291	mua
292	good
293	good
294	mua
295	mua
296	good
297	mua
298	mua
299	mua
300	mua
301	mua
302	good
303	mua
304	mua
305	mua
306	mua
307	mua
308	mua
309	mua
310	good
311	mua
312	good
313	mua
314	good
315	good
316	good
317	mua
318	good
319	good
320	mua
321	mua
322	good
323	good
324	mua
325	mua
326	good
327	mua
328	good
329	mua
330	mua
331	good
332	good
333	good
334	mua
335	mua
336	mua
337	mua
338	good
339	good
340	good
341	good
342	mua
343	mua
344	mua
345	good
346	mua
347	mua
348	mua
349	good
350	mua
351	mua
352	mua
353	good
354	good
355	good
356	mua
357	good
358	good
359	mua
360	mua
361	mua
362	good
363	good
364	mua
365	good
366	mua
367	good
368	mua
369	good
370	mua
371	mua
372	mua
373	mua
374	mua
375	mua
376	mua
377	mua
378	mua
379	mua
380	mua
381	good
382	mua
383	good
384	mua
385	mua
386	mua
387	mua
388	mua
389	good
390	good
391	mua
392	mua
393	mua
394	mua
395	mua
