cluster_id	KSLabel
0	mua
1	mua
2	good
3	mua
4	mua
5	mua
6	mua
7	mua
8	good
9	mua
10	mua
11	good
12	good
13	mua
14	mua
15	mua
16	mua
17	mua
18	mua
19	mua
20	good
21	good
22	mua
23	good
24	mua
25	mua
26	mua
27	good
28	mua
29	good
30	mua
31	mua
32	mua
33	mua
34	mua
35	mua
36	mua
37	mua
38	mua
39	mua
40	good
41	mua
42	good
43	good
44	good
45	mua
46	mua
47	mua
48	mua
49	good
50	mua
51	good
52	good
53	good
54	good
55	good
56	mua
57	mua
58	mua
59	mua
60	mua
61	good
62	good
63	mua
64	mua
65	mua
66	mua
67	mua
68	mua
69	mua
70	mua
71	good
72	mua
73	good
74	mua
75	mua
76	mua
77	mua
78	mua
79	mua
80	mua
81	mua
82	mua
83	good
84	mua
85	mua
86	mua
87	mua
88	mua
89	good
90	mua
91	mua
92	mua
93	mua
94	mua
95	mua
96	good
97	good
98	mua
99	mua
100	good
101	good
102	mua
103	mua
104	mua
105	mua
106	mua
107	mua
108	mua
109	good
110	good
111	mua
112	mua
113	good
114	good
115	mua
116	mua
117	good
118	mua
119	mua
120	mua
121	mua
122	mua
123	good
124	mua
125	mua
126	mua
127	mua
128	good
129	mua
130	mua
131	good
132	mua
133	mua
134	mua
135	good
136	good
137	mua
138	mua
139	mua
140	mua
141	good
142	good
143	mua
144	mua
145	mua
146	mua
147	mua
148	mua
149	good
150	mua
151	good
152	mua
153	good
154	mua
155	mua
156	mua
157	mua
158	mua
159	mua
160	mua
161	mua
162	mua
163	mua
164	mua
165	mua
166	mua
167	good
168	good
169	good
170	mua
171	mua
172	good
173	mua
174	mua
175	mua
176	mua
177	good
178	mua
179	good
180	mua
181	mua
182	good
183	mua
184	mua
185	mua
186	mua
187	mua
188	good
189	mua
190	good
191	mua
192	mua
193	good
194	mua
195	mua
196	mua
197	mua
198	mua
199	good
200	mua
201	good
202	mua
203	mua
204	mua
205	mua
206	good
207	mua
208	mua
209	mua
210	mua
211	mua
212	mua
213	mua
214	mua
215	mua
216	mua
217	mua
218	mua
219	mua
220	mua
221	mua
222	good
223	mua
224	mua
225	mua
226	mua
227	mua
228	mua
229	mua
230	mua
231	good
232	mua
233	mua
234	mua
235	mua
236	mua
237	mua
238	mua
239	mua
240	mua
241	mua
242	mua
243	mua
244	mua
245	mua
246	mua
247	mua
248	mua
249	mua
250	mua
251	mua
252	mua
253	mua
254	mua
255	mua
256	mua
257	mua
258	mua
259	mua
260	mua
261	mua
262	mua
263	good
264	mua
265	mua
266	mua
267	mua
268	mua
269	mua
270	mua
271	mua
272	mua
273	mua
274	mua
275	mua
276	mua
277	mua
278	mua
279	mua
280	mua
281	mua
282	mua
283	mua
284	good
285	mua
286	mua
287	mua
288	good
289	mua
290	mua
291	mua
292	mua
293	mua
294	mua
295	mua
296	mua
297	mua
298	mua
299	mua
300	good
301	good
302	mua
303	mua
304	mua
305	mua
306	mua
307	mua
308	mua
309	mua
310	mua
311	good
312	good
313	mua
314	good
315	mua
316	mua
317	mua
318	good
319	good
320	good
321	mua
322	mua
323	mua
324	mua
325	mua
326	mua
327	mua
328	mua
329	mua
330	mua
331	mua
332	good
333	mua
334	mua
335	mua
336	mua
337	mua
338	mua
339	mua
340	mua
341	mua
342	mua
343	mua
344	mua
345	mua
346	mua
347	mua
348	mua
349	mua
350	mua
351	mua
352	mua
353	mua
354	mua
355	mua
356	mua
357	mua
358	mua
359	mua
360	mua
361	mua
362	mua
363	mua
364	mua
365	mua
366	mua
367	mua
368	mua
369	mua
370	mua
371	good
372	mua
373	mua
374	mua
375	mua
376	mua
377	mua
378	mua
379	mua
380	mua
381	mua
382	mua
383	mua
384	mua
385	mua
386	mua
387	mua
388	mua
389	good
390	mua
391	mua
392	mua
393	mua
394	mua
395	mua
396	mua
397	mua
398	mua
399	mua
400	mua
401	mua
402	mua
403	mua
404	mua
405	mua
406	mua
407	mua
408	mua
409	mua
410	mua
411	mua
412	mua
413	mua
414	mua
415	mua
416	mua
417	mua
418	mua
419	mua
420	mua
421	mua
422	mua
423	mua
424	mua
425	mua
426	mua
427	mua
428	mua
429	good
430	mua
431	mua
432	mua
433	mua
434	mua
435	mua
436	mua
437	mua
438	mua
439	mua
440	mua
441	mua
442	mua
443	mua
444	mua
445	mua
446	mua
447	mua
448	mua
449	mua
450	mua
451	mua
452	mua
453	mua
454	mua
455	mua
456	mua
457	mua
458	mua
459	mua
460	mua
461	mua
462	mua
463	mua
464	mua
465	mua
466	mua
467	mua
468	mua
469	mua
470	mua
471	mua
472	mua
473	mua
474	mua
475	mua
476	mua
477	mua
478	mua
479	mua
480	mua
481	mua
482	mua
483	mua
484	mua
485	mua
486	good
487	mua
488	mua
489	mua
490	mua
491	mua
492	mua
493	mua
494	mua
495	mua
496	mua
497	mua
498	good
499	mua
500	mua
501	mua
502	mua
503	mua
504	mua
505	mua
506	mua
507	mua
508	mua
509	mua
510	mua
511	mua
512	mua
513	mua
514	mua
515	mua
516	mua
517	mua
518	mua
519	mua
520	mua
521	mua
522	mua
523	mua
524	mua
525	mua
526	mua
527	mua
528	mua
529	mua
530	mua
531	good
532	good
533	good
534	mua
535	mua
536	mua
537	mua
538	mua
539	mua
540	mua
541	mua
542	mua
543	mua
544	mua
545	mua
546	mua
547	mua
548	mua
549	mua
550	mua
551	mua
552	mua
553	mua
554	mua
555	mua
556	mua
557	mua
558	mua
559	mua
560	mua
561	good
562	good
563	mua
564	mua
565	mua
566	mua
567	mua
568	mua
569	mua
570	mua
571	mua
572	mua
573	mua
574	mua
575	mua
576	mua
577	mua
578	mua
579	mua
580	mua
581	mua
582	mua
583	mua
584	mua
585	mua
586	mua
587	good
588	mua
589	mua
590	good
591	mua
592	mua
593	mua
594	mua
595	mua
596	mua
597	mua
598	good
599	mua
600	good
601	good
602	mua
603	mua
604	mua
605	mua
606	mua
607	mua
608	mua
609	mua
610	good
611	mua
612	mua
613	mua
614	mua
615	mua
616	mua
617	mua
618	mua
619	good
620	good
621	mua
622	mua
623	mua
624	mua
625	mua
626	mua
627	mua
628	mua
629	mua
630	mua
631	mua
632	mua
633	mua
634	mua
635	mua
636	mua
637	mua
638	mua
639	mua
640	mua
641	mua
642	mua
643	mua
644	mua
645	mua
646	mua
647	mua
648	mua
649	mua
650	mua
651	mua
652	mua
653	mua
654	mua
655	mua
656	mua
657	mua
658	mua
659	mua
660	mua
661	mua
662	mua
663	mua
664	good
665	mua
666	mua
667	mua
668	mua
669	mua
670	mua
671	mua
672	mua
673	mua
674	mua
675	mua
676	mua
677	mua
678	mua
679	mua
680	mua
681	mua
682	mua
683	mua
684	mua
685	mua
686	mua
687	mua
688	mua
689	mua
690	mua
691	mua
692	mua
693	mua
694	mua
695	mua
696	mua
697	mua
698	mua
699	mua
700	mua
701	mua
702	mua
703	mua
704	mua
705	mua
706	mua
707	mua
708	mua
709	mua
710	mua
711	mua
712	mua
713	mua
714	mua
715	mua
716	mua
717	good
718	mua
719	mua
720	mua
721	mua
722	mua
723	mua
724	mua
725	mua
726	mua
727	mua
728	mua
729	mua
730	mua
731	mua
732	good
733	mua
734	mua
735	mua
736	mua
737	mua
738	mua
739	mua
740	good
741	mua
742	mua
743	mua
744	mua
745	mua
746	mua
747	mua
748	mua
749	mua
750	mua
751	mua
752	mua
753	mua
754	mua
755	mua
756	good
757	mua
758	mua
759	mua
760	mua
761	mua
762	mua
763	mua
764	good
765	mua
766	mua
767	mua
768	mua
769	mua
770	mua
771	mua
772	mua
773	mua
774	mua
775	mua
776	mua
777	mua
778	mua
779	mua
780	mua
781	mua
782	mua
783	mua
784	mua
785	mua
786	mua
787	mua
788	mua
789	mua
790	mua
791	mua
792	mua
793	mua
794	mua
795	mua
796	mua
797	mua
798	mua
799	mua
