cluster_id	KSLabel
0	mua
1	good
2	mua
3	good
4	mua
5	mua
6	mua
7	mua
8	mua
9	good
10	good
11	mua
12	good
13	good
14	mua
15	good
16	mua
17	mua
18	good
19	mua
20	mua
21	good
22	mua
23	good
24	good
25	good
26	good
27	mua
28	good
29	mua
30	good
31	mua
32	good
33	mua
34	good
35	good
36	mua
37	mua
38	mua
39	mua
40	good
41	mua
42	good
43	good
44	good
45	mua
46	mua
47	good
48	mua
49	mua
50	mua
51	mua
52	good
53	mua
54	good
55	good
56	good
57	mua
58	good
59	mua
60	good
61	mua
62	good
63	mua
64	good
65	mua
66	mua
67	mua
68	mua
69	mua
70	good
71	good
72	mua
73	mua
74	mua
75	good
76	mua
77	mua
78	mua
79	mua
80	good
81	mua
82	mua
83	good
84	mua
85	good
86	good
87	mua
88	good
89	good
90	good
91	good
92	mua
93	mua
94	mua
95	good
96	mua
97	mua
98	good
99	good
100	mua
101	good
102	good
103	mua
104	good
105	good
106	good
107	mua
108	mua
109	good
110	mua
111	good
112	mua
113	good
114	good
115	good
116	mua
117	good
118	mua
119	mua
120	mua
121	good
122	good
123	good
124	mua
125	good
126	mua
127	good
128	good
129	good
130	mua
131	mua
132	mua
133	good
134	good
135	good
136	good
137	mua
138	mua
139	good
140	mua
141	good
142	mua
143	mua
144	mua
145	good
146	good
147	good
148	good
149	mua
150	mua
151	good
152	good
153	good
154	good
155	mua
156	mua
157	good
158	good
159	good
160	mua
161	good
162	good
163	good
164	good
165	good
166	good
167	good
168	mua
169	good
170	good
171	mua
172	mua
173	good
174	mua
175	mua
176	good
177	good
178	mua
179	mua
180	good
181	mua
182	good
183	mua
184	mua
185	good
186	mua
187	good
188	mua
189	good
190	mua
191	good
192	mua
193	mua
194	good
195	good
196	mua
197	good
198	good
199	mua
200	good
201	mua
202	mua
203	mua
204	mua
205	good
206	good
207	good
208	mua
209	good
210	mua
211	good
212	mua
213	mua
214	good
215	mua
216	mua
217	mua
218	mua
219	mua
220	mua
221	mua
222	mua
223	good
224	good
225	good
226	mua
227	mua
228	mua
229	mua
230	mua
231	good
232	mua
233	mua
234	mua
235	mua
236	mua
237	good
238	good
239	mua
240	mua
241	mua
242	good
243	good
244	good
245	mua
246	good
247	mua
248	good
249	mua
250	good
251	mua
252	mua
253	good
254	good
255	mua
256	mua
257	good
258	mua
259	mua
260	mua
261	mua
262	mua
263	mua
264	good
265	mua
266	good
267	mua
268	mua
269	mua
270	mua
271	mua
272	mua
273	mua
274	mua
275	mua
276	good
277	mua
278	good
279	mua
280	mua
281	good
282	mua
283	mua
284	mua
285	mua
286	mua
287	mua
288	mua
289	mua
290	mua
291	mua
292	good
293	mua
294	good
295	good
296	good
297	mua
298	mua
299	mua
300	good
301	mua
302	good
303	mua
304	mua
305	mua
306	mua
307	mua
308	mua
309	good
310	mua
311	mua
312	good
313	mua
314	good
315	good
316	good
317	mua
318	good
319	good
320	mua
321	good
322	mua
323	mua
324	mua
325	good
326	mua
327	good
328	good
329	mua
330	mua
331	good
332	good
333	mua
334	mua
335	good
336	mua
337	mua
338	mua
339	mua
340	good
341	good
342	good
343	mua
344	mua
345	good
346	good
347	good
348	mua
349	good
350	good
351	good
352	good
353	good
354	good
355	good
356	good
357	mua
358	mua
359	mua
360	mua
361	mua
362	mua
363	mua
364	mua
365	mua
366	good
367	mua
368	mua
369	mua
370	mua
371	mua
372	mua
373	mua
374	mua
375	mua
376	mua
377	good
378	mua
379	mua
380	mua
381	mua
