cluster_id	Amplitude
0	29.2
1	8.9
2	22.3
3	17.7
4	10.0
5	13.6
6	12.1
7	29.8
8	10.2
9	7.4
10	14.1
11	8.7
12	10.3
13	10.5
14	29.2
15	17.2
16	9.4
17	28.8
18	9.9
19	19.9
20	12.0
21	8.9
22	11.6
23	45.3
24	30.2
25	51.4
26	17.4
27	14.5
28	8.3
29	8.8
30	11.4
31	9.0
32	11.0
33	20.3
34	12.4
35	27.0
36	13.0
37	36.0
38	15.0
39	10.4
40	11.8
41	12.5
42	41.0
43	68.0
44	13.9
45	27.4
46	28.6
47	37.9
48	9.7
49	26.0
50	9.7
51	9.3
52	31.9
53	37.1
54	25.3
55	11.0
56	7.6
57	9.5
58	11.3
59	10.8
60	15.9
61	35.1
62	35.2
63	16.9
64	6.1
65	8.0
66	8.9
67	9.4
68	9.2
69	8.5
70	13.8
71	12.4
72	15.4
73	7.7
74	10.3
75	9.2
76	9.1
77	20.6
78	9.7
79	10.4
80	21.1
81	11.4
82	18.6
83	9.0
84	13.9
85	9.3
86	44.2
87	19.6
88	9.4
89	18.2
90	18.9
91	9.4
92	15.0
93	11.5
94	5.1
95	17.0
96	7.8
97	10.6
98	11.7
99	9.5
100	14.0
101	10.0
102	9.3
103	10.1
104	17.9
105	11.7
106	14.8
107	8.5
108	17.8
109	9.4
110	19.4
111	9.6
112	29.2
113	27.4
114	10.8
115	10.5
116	11.5
117	24.5
118	8.8
119	34.4
120	17.1
121	9.2
122	10.5
123	11.2
124	9.9
125	1.3
126	21.7
127	18.6
128	26.0
129	12.6
130	8.7
131	11.2
132	13.1
133	10.1
134	15.0
135	16.4
136	9.1
137	8.6
138	30.8
139	16.3
140	10.4
141	12.8
142	6.6
143	22.5
144	8.8
145	20.3
146	9.7
147	12.8
148	9.5
149	22.8
150	23.9
151	16.8
152	9.9
153	10.5
154	14.2
155	10.9
156	9.8
157	23.3
158	10.3
159	8.1
160	12.0
161	17.7
162	12.3
163	12.1
164	13.0
165	8.8
166	35.8
167	8.9
168	11.5
169	11.1
170	9.0
171	10.2
172	16.2
173	8.5
174	8.6
175	4.7
176	7.9
177	7.9
178	10.6
179	9.7
180	10.0
181	7.0
182	6.8
183	10.4
184	10.0
185	8.0
186	8.0
187	11.9
188	26.7
189	31.3
190	9.7
191	7.7
192	8.5
193	9.6
194	9.8
195	11.1
196	24.5
197	10.9
198	9.3
199	11.1
200	16.6
201	17.5
202	6.8
203	9.2
204	53.8
205	34.1
206	33.4
207	12.6
208	63.8
209	8.6
210	12.9
211	16.9
212	9.5
213	28.0
214	24.9
215	8.1
216	31.4
217	21.0
218	27.4
219	10.5
220	17.6
221	11.6
222	24.6
223	38.3
224	32.4
225	26.2
226	8.9
227	9.7
228	11.9
229	10.3
230	26.3
231	9.8
232	10.4
233	13.1
234	5.3
235	7.3
236	8.8
237	10.0
238	9.3
239	17.4
240	8.1
241	10.3
242	5.9
243	8.3
244	8.3
245	8.0
246	8.4
247	9.0
248	9.0
249	7.0
250	8.3
251	6.4
252	8.5
253	7.4
254	8.9
255	6.4
256	6.5
257	9.6
258	9.1
259	7.5
260	5.8
261	10.3
262	7.9
263	9.8
264	5.8
265	23.0
266	6.8
267	9.0
268	7.8
269	10.2
270	8.5
271	8.6
272	22.2
273	17.4
274	9.4
275	8.3
276	10.9
277	18.8
278	9.5
279	8.4
280	7.6
281	10.4
282	10.7
283	13.0
284	10.9
285	16.1
286	9.3
287	10.2
288	10.4
289	8.2
290	11.0
291	8.9
292	10.2
293	9.2
294	18.3
295	20.7
296	14.6
297	9.8
298	8.5
299	7.2
300	16.3
301	14.6
302	8.0
303	9.0
304	9.3
305	9.3
306	8.4
307	9.2
308	10.8
309	8.3
310	8.4
311	8.7
312	10.4
313	9.2
314	6.8
315	29.5
316	7.6
317	15.6
318	9.1
319	9.7
320	7.9
321	9.4
322	9.1
323	9.3
324	11.1
325	10.4
326	7.6
327	8.3
328	13.7
329	10.1
330	18.8
331	35.1
332	7.4
333	8.0
334	9.8
335	8.4
336	8.7
337	7.2
338	11.3
339	8.4
340	18.0
341	9.6
342	22.6
343	9.5
344	30.2
345	16.9
346	7.9
347	11.4
348	19.9
349	32.6
350	9.0
351	10.9
352	20.2
353	8.9
354	19.9
355	36.2
356	10.0
357	16.2
358	6.3
359	22.5
360	21.1
361	9.3
362	9.2
363	9.7
364	8.8
365	8.3
366	8.0
367	10.7
368	5.2
369	8.6
370	14.1
371	9.9
372	10.8
373	11.2
374	9.6
375	8.3
376	10.3
377	8.5
378	6.3
379	17.9
380	6.5
381	6.7
382	8.0
383	8.7
384	6.6
385	10.4
386	9.5
387	8.7
388	6.2
389	7.4
390	7.5
391	17.4
392	10.7
393	9.3
394	10.5
395	9.5
396	9.8
