cluster_id	Amplitude
0	8.1
1	6.8
2	6.8
3	10.1
4	8.3
5	6.3
6	9.4
7	10.8
8	11.3
9	10.7
10	7.7
11	8.4
12	9.9
13	8.4
14	7.0
15	6.6
16	9.0
17	10.9
18	8.0
19	7.1
20	9.5
21	9.1
22	11.1
23	8.9
24	9.4
25	8.9
26	8.3
27	8.6
28	8.9
29	8.3
30	8.9
31	8.9
32	8.2
33	7.9
34	8.0
35	10.8
36	8.2
37	6.2
38	8.7
39	9.0
40	8.6
41	8.4
42	9.3
43	9.1
44	9.6
45	7.7
46	7.9
47	8.4
48	7.9
49	9.3
50	8.5
51	9.1
52	8.4
53	28.9
54	8.1
55	8.7
56	7.0
57	7.4
58	8.0
59	10.6
60	13.6
61	10.3
62	9.3
63	5.7
64	7.9
65	9.8
66	10.8
67	7.7
68	6.4
69	18.2
70	9.1
71	8.2
72	9.0
73	21.6
74	9.6
75	9.9
76	9.1
77	9.4
78	9.6
79	9.5
80	11.2
81	13.6
82	9.4
83	13.4
84	8.2
85	21.0
86	7.7
87	8.6
88	15.7
89	8.3
90	7.4
91	10.1
92	9.7
93	9.5
94	11.0
95	8.6
96	6.9
97	9.8
98	7.0
99	20.3
100	7.2
101	10.4
102	10.1
103	7.7
104	9.0
105	19.6
106	9.0
107	8.7
108	10.6
109	8.8
110	9.2
111	7.3
112	7.1
113	9.3
114	19.0
115	11.4
116	11.2
117	22.1
118	7.3
119	30.2
120	15.4
121	8.2
122	20.1
123	7.1
124	7.5
125	8.3
126	8.2
127	9.1
128	7.3
129	7.3
130	9.5
131	7.4
132	7.8
133	8.5
134	7.9
135	8.6
136	7.9
137	23.5
138	7.2
139	10.1
140	7.9
141	9.8
142	9.9
143	8.0
144	8.0
145	8.3
146	7.1
147	7.9
148	7.1
149	10.1
150	11.1
151	7.6
152	9.6
153	7.3
154	12.8
155	10.7
156	5.8
157	9.3
158	20.8
159	11.1
160	20.2
161	7.6
162	9.1
163	8.1
164	17.6
165	10.2
166	7.1
167	7.2
168	7.5
169	15.2
170	8.3
171	12.5
172	9.3
173	6.7
174	15.7
175	10.0
176	7.7
177	7.8
178	10.3
179	24.5
180	16.1
181	9.1
182	20.6
183	42.5
184	8.9
185	8.1
186	7.8
187	9.8
188	10.2
189	8.5
190	7.9
191	16.3
192	12.1
193	12.7
194	10.0
195	7.7
196	9.6
197	21.9
198	9.1
199	8.3
200	11.1
201	6.9
202	8.7
203	10.2
204	10.1
205	21.2
206	9.7
207	21.4
208	12.5
209	8.9
210	10.1
211	7.5
212	8.4
213	8.0
214	8.2
215	10.4
216	21.0
217	12.2
218	8.4
219	10.1
220	8.9
221	9.1
222	8.0
223	9.1
224	6.2
225	10.5
226	10.8
227	6.9
228	9.4
229	7.2
230	7.3
231	6.7
232	8.1
233	8.8
234	9.9
235	9.0
236	8.7
237	5.8
238	8.3
239	8.6
240	6.6
241	8.1
242	9.4
243	9.0
244	8.1
245	8.6
246	6.0
247	8.3
248	7.9
249	8.1
250	8.6
251	8.8
252	7.3
253	7.4
254	9.4
255	9.6
256	9.1
257	9.3
258	8.9
259	5.9
260	7.5
261	6.7
262	8.9
263	7.0
264	8.4
265	7.0
266	7.9
267	7.6
268	9.0
269	6.9
270	7.4
271	8.2
272	7.7
273	7.1
274	7.7
275	9.0
276	7.8
277	7.7
278	7.3
279	7.4
280	7.7
281	7.1
282	7.2
283	8.8
284	6.6
285	6.9
286	7.7
287	7.8
288	7.8
289	6.4
290	7.8
291	9.0
292	7.1
293	7.8
294	7.7
295	8.3
296	7.8
297	7.1
298	8.6
299	7.8
300	7.5
301	7.2
302	7.2
303	7.7
304	7.3
305	8.9
306	8.9
307	7.5
308	7.4
309	7.2
310	7.5
311	7.1
312	7.3
313	7.2
314	7.2
315	7.6
316	7.2
317	6.9
318	5.8
319	7.4
320	7.1
321	7.6
322	7.5
323	7.6
324	7.6
325	7.5
326	6.9
327	8.9
328	9.0
329	7.2
330	7.4
331	7.5
332	7.5
333	7.5
334	7.3
335	9.1
336	7.5
337	7.8
338	7.7
339	7.6
340	7.5
341	7.3
342	7.3
343	8.8
344	7.3
345	8.8
346	9.0
347	7.5
348	7.3
349	7.4
350	7.4
351	6.6
352	7.0
353	7.2
354	7.4
355	7.1
356	8.6
357	7.3
358	7.6
359	9.0
360	8.9
361	8.9
362	7.8
363	7.5
364	7.1
365	7.4
366	7.7
367	7.4
368	9.0
369	7.1
370	8.5
371	7.6
372	7.4
373	7.4
374	7.5
375	7.4
376	9.0
377	8.9
378	7.2
379	7.5
380	7.8
381	7.2
382	7.3
383	7.5
384	7.8
385	8.5
386	8.7
387	7.3
388	7.9
389	7.2
390	7.7
391	7.3
392	8.1
393	7.5
394	6.9
395	7.8
396	7.2
397	7.7
398	7.4
399	7.5
400	9.0
401	9.0
402	7.2
403	8.1
404	7.7
405	7.5
406	7.7
407	7.4
408	8.5
409	7.5
410	7.3
411	7.9
412	7.1
413	7.6
414	6.1
415	9.1
416	6.7
417	8.8
418	7.7
419	7.5
420	7.8
421	7.5
422	7.5
423	7.6
424	8.9
425	7.4
426	7.0
427	7.6
428	7.0
429	7.9
430	7.8
431	7.4
432	7.3
433	7.6
434	8.6
435	7.1
436	7.3
437	7.3
438	7.6
439	8.3
440	9.0
441	9.1
442	7.6
443	7.1
444	7.7
445	7.7
446	8.0
447	7.7
448	8.8
449	7.6
450	7.4
451	8.2
452	8.4
453	7.4
454	7.8
