cluster_id	KSLabel
0	mua
1	mua
2	mua
3	mua
4	mua
5	mua
6	mua
7	mua
8	mua
9	mua
10	good
11	mua
12	mua
13	mua
14	mua
15	mua
16	mua
17	mua
18	mua
19	mua
20	good
21	mua
22	mua
23	mua
24	mua
25	mua
26	mua
27	good
28	mua
29	mua
30	mua
31	mua
32	mua
33	mua
34	mua
35	mua
36	mua
37	mua
38	mua
39	mua
40	mua
41	mua
42	mua
43	mua
44	good
45	mua
46	mua
47	mua
48	mua
49	mua
50	mua
51	mua
52	mua
53	good
54	mua
55	mua
56	mua
57	good
58	good
59	good
60	mua
61	mua
62	mua
63	mua
64	mua
65	good
66	mua
67	mua
68	mua
69	mua
70	mua
71	mua
72	good
73	mua
74	good
75	mua
76	mua
77	mua
78	mua
79	mua
80	mua
81	mua
82	mua
83	mua
84	mua
85	mua
86	mua
87	mua
88	mua
89	mua
90	mua
91	mua
92	mua
93	mua
94	good
95	good
96	good
97	good
98	good
99	good
100	good
101	mua
102	mua
103	mua
104	mua
105	mua
106	mua
107	mua
108	mua
109	mua
110	mua
111	mua
112	mua
113	mua
114	good
115	mua
116	mua
117	mua
118	mua
119	mua
120	mua
121	mua
122	good
123	mua
124	mua
125	mua
126	mua
127	mua
128	mua
129	mua
130	mua
131	mua
132	mua
133	mua
134	mua
135	mua
136	mua
137	good
138	mua
139	mua
140	mua
141	good
142	good
143	mua
144	good
145	mua
146	mua
147	mua
148	mua
149	good
150	mua
151	mua
152	mua
153	mua
154	mua
155	mua
156	mua
157	mua
158	good
159	mua
160	good
161	mua
162	mua
163	mua
164	good
165	mua
166	mua
167	good
168	mua
169	mua
170	mua
171	mua
172	mua
173	mua
174	good
175	mua
176	mua
177	mua
178	mua
179	good
180	good
181	mua
182	good
183	good
184	good
185	mua
186	mua
187	mua
188	good
189	mua
190	mua
191	mua
192	good
193	mua
194	mua
195	mua
196	mua
197	good
198	mua
199	mua
200	mua
201	mua
202	mua
203	mua
204	mua
205	mua
206	mua
207	good
208	mua
209	mua
210	mua
211	mua
212	mua
213	mua
214	mua
215	mua
216	good
217	mua
218	mua
219	mua
220	mua
221	mua
222	mua
223	mua
224	mua
225	mua
226	mua
227	mua
228	mua
229	mua
230	mua
231	mua
232	mua
233	mua
234	mua
235	mua
236	mua
237	mua
238	mua
239	mua
240	mua
241	mua
242	mua
243	mua
244	mua
245	mua
246	mua
247	mua
248	mua
249	mua
250	mua
251	mua
252	mua
253	mua
254	mua
255	mua
256	mua
257	mua
258	mua
259	mua
260	mua
261	mua
262	good
263	mua
264	mua
265	mua
266	mua
267	mua
268	mua
269	mua
270	mua
271	mua
272	mua
273	mua
274	mua
275	good
276	mua
277	mua
278	mua
279	mua
280	mua
281	mua
282	mua
283	mua
284	mua
285	mua
286	mua
287	mua
288	mua
289	mua
290	mua
291	mua
292	mua
293	mua
294	mua
295	mua
296	mua
297	mua
298	mua
299	mua
300	mua
301	mua
302	mua
303	mua
304	mua
305	mua
306	mua
307	mua
308	mua
309	mua
310	mua
311	mua
312	mua
313	mua
314	mua
315	mua
316	mua
317	mua
318	mua
319	mua
320	mua
321	mua
322	mua
323	mua
324	mua
325	mua
326	mua
327	mua
328	mua
329	mua
330	mua
331	mua
332	mua
333	mua
334	mua
335	good
336	mua
337	mua
338	mua
339	mua
340	mua
341	mua
342	mua
343	mua
344	mua
345	mua
346	mua
347	mua
348	mua
349	mua
350	mua
351	mua
352	mua
353	mua
354	mua
355	mua
356	mua
357	mua
358	mua
359	mua
360	mua
361	mua
362	mua
363	good
364	mua
365	mua
366	mua
367	mua
368	mua
369	mua
370	mua
371	mua
372	mua
373	mua
374	mua
375	mua
376	mua
377	mua
378	mua
379	mua
380	mua
381	mua
382	mua
383	mua
384	mua
385	mua
386	good
387	mua
388	mua
389	mua
390	mua
391	mua
392	good
393	good
394	mua
395	mua
396	mua
397	mua
398	mua
399	mua
400	good
401	mua
402	mua
403	mua
404	mua
405	mua
406	mua
407	mua
408	mua
409	mua
410	mua
411	mua
412	mua
413	mua
414	mua
415	mua
416	mua
417	mua
418	mua
419	mua
420	mua
421	mua
422	mua
423	mua
424	good
425	mua
426	mua
427	mua
428	mua
429	mua
430	good
431	mua
432	mua
433	mua
434	good
435	mua
436	mua
437	mua
438	mua
439	mua
440	good
441	mua
442	mua
443	mua
444	mua
445	good
446	mua
447	mua
448	mua
449	mua
450	mua
451	mua
452	good
453	mua
454	mua
455	mua
456	mua
457	mua
458	mua
459	mua
460	mua
461	mua
462	mua
463	mua
464	mua
465	mua
466	mua
467	mua
468	mua
469	mua
470	good
471	mua
472	mua
473	mua
474	mua
475	mua
476	mua
477	mua
478	mua
479	mua
480	mua
481	mua
482	mua
483	mua
