cluster_id	Amplitude
0	10.0
1	9.6
2	7.8
3	8.4
4	8.4
5	6.6
6	6.7
7	5.8
8	7.0
9	9.4
10	7.7
11	7.8
12	7.4
13	8.1
14	7.7
15	6.3
16	8.5
17	7.0
18	7.5
19	7.2
20	5.7
21	5.3
22	9.9
23	9.2
24	6.6
25	9.2
26	6.6
27	9.7
28	7.1
29	5.6
30	7.1
31	8.5
32	11.5
33	8.8
34	9.2
35	9.4
36	8.3
37	7.2
38	8.5
39	16.8
40	8.6
41	7.7
42	7.2
43	7.3
44	8.5
45	7.8
46	10.6
47	7.6
48	9.8
49	7.6
50	8.4
51	17.6
52	9.2
53	14.8
54	8.9
55	10.1
56	9.4
57	14.3
58	9.1
59	13.7
60	7.2
61	7.9
62	7.2
63	17.3
64	8.4
65	8.9
66	9.1
67	9.6
68	14.1
69	16.4
70	7.5
71	7.1
72	9.1
73	9.2
74	9.0
75	16.8
76	8.9
77	7.9
78	9.3
79	5.5
80	10.2
81	8.9
82	6.8
83	7.3
84	9.2
85	6.9
86	8.6
87	10.4
88	6.1
89	8.1
90	8.2
91	6.6
92	7.1
93	7.8
94	7.2
95	6.4
96	6.7
97	9.1
98	10.8
99	7.9
100	8.6
101	11.8
102	6.6
103	9.2
104	7.0
105	14.7
106	8.7
107	7.3
108	8.9
109	9.2
110	7.9
111	8.9
112	11.2
113	8.1
114	8.3
115	9.5
116	10.7
117	12.4
118	8.8
119	14.3
120	8.1
121	10.9
122	11.1
123	10.5
124	10.8
125	13.8
126	13.9
127	9.9
128	16.2
129	8.6
130	9.0
131	8.3
132	18.2
133	9.6
134	9.9
135	14.6
136	8.8
137	7.8
138	9.2
139	9.1
140	10.2
141	9.5
142	16.2
143	9.0
144	9.0
145	8.9
146	10.9
147	16.3
148	10.5
149	17.7
150	9.5
151	7.4
152	9.6
153	21.5
154	7.6
155	15.1
156	9.0
157	10.0
158	10.3
159	20.5
160	9.9
161	8.7
162	7.5
163	14.0
164	23.9
165	7.9
166	11.8
167	12.1
168	6.6
169	32.3
170	8.8
171	9.4
172	10.9
173	10.0
174	17.3
175	7.7
176	8.0
177	15.7
178	28.5
179	17.0
180	8.5
181	11.1
182	5.7
183	10.1
184	12.0
185	11.2
186	20.2
187	9.5
188	17.6
189	8.0
190	9.1
191	8.4
192	9.6
193	8.7
194	9.1
195	8.9
196	10.7
197	8.5
198	9.0
199	9.3
200	14.6
201	8.1
202	6.8
203	8.2
204	8.5
205	15.7
206	8.7
207	8.3
208	7.6
209	8.9
210	9.7
211	9.5
212	11.5
213	7.8
214	7.9
215	7.7
216	7.0
217	6.4
218	6.1
219	6.6
220	8.1
221	6.8
222	7.7
223	5.5
224	6.3
225	5.8
226	7.5
227	7.1
228	6.9
229	5.3
230	6.8
231	5.6
232	7.7
233	9.2
