cluster_id	Amplitude
0	16.5
1	22.7
2	10.0
3	12.9
4	10.9
5	12.5
6	7.2
7	10.5
8	28.8
9	13.7
10	8.5
11	10.2
12	10.4
13	27.8
14	16.6
15	9.4
16	28.1
17	9.7
18	11.8
19	19.3
20	8.8
21	50.5
22	24.6
23	40.3
24	8.1
25	16.9
26	8.9
27	29.4
28	16.3
29	50.0
30	8.1
31	16.8
32	14.4
33	9.1
34	8.9
35	10.9
36	34.0
37	21.5
38	19.8
39	26.2
40	13.8
41	35.7
42	14.5
43	9.8
44	9.9
45	12.2
46	65.9
47	39.3
48	27.9
49	26.9
50	36.9
51	25.6
52	9.5
53	10.2
54	9.4
55	31.0
56	34.9
57	36.3
58	24.6
59	10.9
60	7.7
61	9.6
62	11.1
63	10.3
64	16.2
65	7.3
66	9.9
67	13.7
68	11.1
69	33.9
70	34.4
71	7.6
72	16.2
73	7.6
74	8.9
75	9.1
76	13.9
77	9.3
78	8.6
79	8.0
80	17.3
81	18.6
82	14.4
83	13.6
84	7.7
85	9.1
86	8.9
87	20.0
88	9.8
89	20.6
90	10.4
91	11.3
92	9.3
93	17.9
94	42.5
95	13.6
96	19.2
97	9.4
98	17.1
99	18.4
100	11.5
101	12.3
102	16.4
103	6.5
104	10.7
105	7.7
106	10.5
107	11.6
108	9.1
109	13.5
110	10.0
111	11.5
112	17.4
113	13.9
114	8.5
115	9.4
116	17.3
117	28.3
118	26.7
119	10.4
120	11.4
121	10.9
122	33.2
123	23.6
124	23.7
125	16.9
126	9.1
127	9.5
128	10.7
129	10.8
130	22.1
131	18.0
132	1.4
133	11.3
134	10.0
135	12.6
136	10.5
137	9.7
138	18.3
139	9.2
140	15.9
141	8.3
142	30.3
143	10.2
144	15.1
145	21.9
146	8.5
147	9.7
148	19.8
149	12.7
150	23.1
151	10.5
152	16.2
153	9.7
154	14.8
155	10.8
156	9.8
157	10.4
158	22.9
159	10.1
160	8.6
161	11.5
162	9.1
163	16.6
164	16.2
165	12.2
166	11.6
167	16.8
168	32.9
169	19.3
170	8.7
171	9.2
172	9.2
173	11.4
174	9.7
175	9.5
176	10.7
177	19.0
178	4.0
179	8.1
180	8.4
181	10.2
182	7.9
183	9.6
184	7.5
185	10.0
186	6.8
187	10.8
188	9.8
189	7.8
190	33.8
191	27.0
192	11.0
193	8.3
194	12.3
195	10.5
196	8.4
197	9.5
198	10.9
199	23.6
200	10.9
201	9.7
202	10.6
203	32.3
204	16.5
205	34.1
206	9.1
207	17.1
208	52.7
209	12.4
210	62.7
211	13.0
212	9.0
213	9.3
214	30.7
215	23.4
216	25.1
217	11.9
218	20.6
219	8.2
220	16.4
221	26.8
222	10.7
223	17.1
224	11.2
225	36.8
226	24.6
227	18.2
228	17.4
229	34.4
230	25.0
231	8.0
232	9.5
233	9.6
234	11.7
235	25.4
236	10.5
237	9.6
238	10.3
239	12.8
240	8.8
241	10.2
242	9.2
243	18.0
244	8.4
245	10.0
246	5.7
247	7.8
248	8.6
249	7.4
250	8.1
251	8.5
252	8.2
253	8.5
254	9.6
255	6.4
256	5.1
257	9.0
258	10.7
259	8.3
260	9.7
261	8.3
262	7.9
263	15.9
264	16.7
265	7.8
266	17.6
267	9.5
268	8.3
269	9.6
270	11.2
271	12.8
272	9.9
273	15.6
274	11.5
275	10.5
276	8.5
277	8.4
278	10.8
279	9.2
280	28.3
281	10.5
282	17.8
283	4.8
284	7.3
285	9.6
286	11.4
287	12.1
288	20.7
289	9.7
290	16.8
291	8.3
292	8.9
293	9.1
294	8.9
295	8.8
296	8.4
297	10.3
298	9.0
299	7.3
300	15.0
301	9.0
302	29.2
303	10.3
304	7.6
305	10.5
306	9.8
307	9.9
308	10.5
309	26.9
310	17.9
311	7.6
312	7.7
313	9.6
314	9.7
315	10.7
316	8.3
317	13.9
318	23.2
319	9.3
320	9.5
321	29.4
322	16.2
323	21.0
324	7.9
325	19.0
326	12.0
327	31.6
328	22.0
329	8.7
330	12.0
331	30.7
332	18.6
333	34.5
334	9.9
335	10.0
336	16.2
337	20.3
338	20.9
339	9.1
340	9.3
341	9.9
342	7.9
343	10.6
344	6.5
345	9.6
346	11.4
347	11.6
348	9.5
349	7.8
350	7.8
351	6.4
352	17.3
353	9.9
354	6.9
355	8.5
356	8.6
357	10.7
358	9.5
359	20.0
360	7.7
361	33.6
362	25.7
363	10.0
364	10.6
365	9.4
366	8.7
