cluster_id	KSLabel
0	good
1	good
2	mua
3	mua
4	mua
5	mua
6	mua
7	good
8	good
9	good
10	mua
11	mua
12	mua
13	good
14	mua
15	mua
16	good
17	mua
18	mua
19	good
20	mua
21	good
22	good
23	good
24	good
25	mua
26	mua
27	good
28	good
29	mua
30	good
31	good
32	mua
33	mua
34	mua
35	mua
36	good
37	good
38	mua
39	good
40	mua
41	good
42	good
43	mua
44	mua
45	mua
46	good
47	good
48	mua
49	good
50	good
51	good
52	mua
53	mua
54	mua
55	good
56	mua
57	good
58	good
59	mua
60	mua
61	mua
62	mua
63	good
64	good
65	mua
66	mua
67	good
68	mua
69	mua
70	mua
71	mua
72	mua
73	mua
74	mua
75	good
76	good
77	good
78	mua
79	mua
80	mua
81	mua
82	mua
83	mua
84	mua
85	mua
86	mua
87	mua
88	mua
89	mua
90	mua
91	mua
92	mua
93	good
94	good
95	good
96	good
97	mua
98	mua
99	mua
100	mua
101	mua
102	good
103	mua
104	good
105	mua
106	mua
107	mua
108	good
109	good
110	mua
111	mua
112	mua
113	good
114	mua
115	good
116	good
117	good
118	good
119	mua
120	mua
121	mua
122	good
123	mua
124	mua
125	good
126	mua
127	mua
128	mua
129	mua
130	good
131	good
132	good
133	mua
134	mua
135	good
136	mua
137	mua
138	mua
139	good
140	good
141	mua
142	good
143	mua
144	mua
145	good
146	mua
147	mua
148	mua
149	mua
150	mua
151	mua
152	good
153	mua
154	good
155	mua
156	mua
157	mua
158	good
159	mua
160	mua
161	good
162	mua
163	mua
164	good
165	mua
166	mua
167	good
168	good
169	mua
170	mua
171	mua
172	mua
173	mua
174	mua
175	mua
176	mua
177	mua
178	mua
179	mua
180	mua
181	mua
182	mua
183	mua
184	mua
185	mua
186	mua
187	mua
188	mua
189	mua
190	good
191	good
192	mua
193	mua
194	good
195	mua
196	mua
197	mua
198	mua
199	good
200	mua
201	mua
202	mua
203	good
204	mua
205	good
206	mua
207	mua
208	good
209	mua
210	good
211	mua
212	mua
213	mua
214	good
215	good
216	good
217	mua
218	mua
219	mua
220	good
221	good
222	mua
223	good
224	mua
225	mua
226	mua
227	mua
228	mua
229	mua
230	mua
231	mua
232	mua
233	mua
234	mua
235	mua
236	mua
237	mua
238	mua
239	mua
240	mua
241	mua
242	mua
243	mua
244	mua
245	good
246	mua
247	mua
248	mua
249	mua
250	mua
251	mua
252	mua
253	mua
254	mua
255	mua
256	mua
257	mua
258	mua
259	mua
260	mua
261	mua
262	mua
263	mua
264	mua
265	mua
266	mua
267	mua
268	mua
269	mua
270	mua
271	mua
272	mua
273	mua
274	mua
275	mua
276	mua
277	mua
278	mua
279	mua
280	good
281	mua
282	good
283	good
284	mua
285	mua
286	mua
287	good
288	good
289	mua
290	good
291	mua
292	mua
293	mua
294	good
295	good
296	good
297	mua
298	good
299	mua
300	good
301	good
302	good
303	mua
304	mua
305	good
306	mua
307	mua
308	mua
309	good
310	good
311	mua
312	mua
313	mua
314	mua
315	mua
316	good
317	good
318	good
319	mua
320	mua
321	good
322	mua
323	mua
324	mua
325	mua
326	mua
327	good
328	good
329	mua
330	mua
331	good
332	good
333	good
334	mua
335	mua
336	mua
337	good
338	good
339	mua
340	mua
341	mua
342	good
343	mua
344	mua
345	mua
346	mua
347	mua
348	mua
349	mua
350	good
351	mua
352	good
353	mua
354	good
355	mua
356	mua
357	mua
358	mua
359	mua
360	mua
361	mua
362	mua
363	mua
364	mua
365	mua
366	mua
