complete_chunks,eid,file_kind,fs,full_ch_path,full_file_size,partial_cbin_size,partial_ch_path,partial_chunk_seconds,partial_download_gb,partial_max_seconds,partial_samples_from_ch,path,pid,probe,rel_path,requested_bytes,samples_written,size,status,url
,cde63527-7f5a-4cc3-8ac2-215d82e7da26,.ch,,,,,,,,,,G:\academic\week8_partial_kilosort4_runs\cde63527_probe01_partial_20260712_222836\raw_ephys_data\probe01\_spikeglx_ephysData_g0_t0.imec1.ap.ch,,probe01,raw_ephys_data/probe01/_spikeglx_ephysData_g0_t0.imec1.ap.ch,,,105975,complete,https://ibl-brain-wide-map-public.s3.amazonaws.com/data/danlab/Subjects/DY_018/2020-10-20/001/raw_ephys_data/probe01/_spikeglx_ephysData_g0_t0.imec1.ap.8c778471-6790-4139-8542-d4b7b7007e55.ch
,cde63527-7f5a-4cc3-8ac2-215d82e7da26,.meta,,,,,,,,,,G:\academic\week8_partial_kilosort4_runs\cde63527_probe01_partial_20260712_222836\raw_ephys_data\probe01\_spikeglx_ephysData_g0_t0.imec1.ap.meta,,probe01,raw_ephys_data/probe01/_spikeglx_ephysData_g0_t0.imec1.ap.meta,,,17755,complete,https://ibl-brain-wide-map-public.s3.amazonaws.com/data/danlab/Subjects/DY_018/2020-10-20/001/raw_ephys_data/probe01/_spikeglx_ephysData_g0_t0.imec1.ap.3e74b382-06e4-4f7e-8b7f-4baa43d978c8.meta
,cde63527-7f5a-4cc3-8ac2-215d82e7da26,.cbin,,,30071167613,,,,,,,G:\academic\week8_partial_kilosort4_runs\cde63527_probe01_partial_20260712_222836\raw_ephys_data\probe01\_spikeglx_ephysData_g0_t0.imec1.ap.cbin,,probe01,raw_ephys_data/probe01/_spikeglx_ephysData_g0_t0.imec1.ap.cbin,1800000000,,1800000000,complete,https://ibl-brain-wide-map-public.s3.amazonaws.com/data/danlab/Subjects/DY_018/2020-10-20/001/raw_ephys_data/probe01/_spikeglx_ephysData_g0_t0.imec1.ap.a09fb1e7-89ba-43af-9606-2a77f6fb452e.cbin
209,cde63527-7f5a-4cc3-8ac2-215d82e7da26,.partial.ap.ch,,G:\academic\week8_partial_kilosort4_runs\cde63527_probe01_partial_20260712_222836\raw_ephys_data\probe01\_spikeglx_ephysData_g0_t0.imec1.full.ap.ch,,1800000000,G:\academic\week8_partial_kilosort4_runs\cde63527_probe01_partial_20260712_222836\raw_ephys_data\probe01\_spikeglx_ephysData_g0_t0.imec1.ap.ch,,,,6270000,,,probe01,raw_ephys_data\probe01\_spikeglx_ephysData_g0_t0.imec1.ap.ch,,,,,
,cde63527-7f5a-4cc3-8ac2-215d82e7da26,.partial.ap.bin,30000.0,,,,,10.0,1.8,600.0,,G:\academic\week8_partial_kilosort4_runs\cde63527_probe01_partial_20260712_222836\raw_ephys_data\probe01\_spikeglx_ephysData_g0_t0.imec1.first_600s.chunked.rawint16.ap.bin,,probe01,raw_ephys_data\probe01\_spikeglx_ephysData_g0_t0.imec1.first_600s.chunked.rawint16.ap.bin,,6270000,4827900000,created,
,dd4da095-4a99-4bf3-9727-f735077dba66,.ch,,,,,,,,,,G:\academic\week8_partial_kilosort4_runs\dd4da095_probe00_partial_20260712_222836\raw_ephys_data\probe00\_spikeglx_ephysData_g0_t0.imec.ap.ch,,probe00,raw_ephys_data/probe00/_spikeglx_ephysData_g0_t0.imec.ap.ch,,,77963,complete,https://ibl.flatironinstitute.org/public/mainenlab/Subjects/ZM_1897/2019-12-02/001/raw_ephys_data/probe00/_spikeglx_ephysData_g0_t0.imec.ap.26bcf8d8-f330-4bbf-b5fb-dfadbbffb49e.ch
,dd4da095-4a99-4bf3-9727-f735077dba66,.meta,,,,,,,,,,G:\academic\week8_partial_kilosort4_runs\dd4da095_probe00_partial_20260712_222836\raw_ephys_data\probe00\_spikeglx_ephysData_g0_t0.imec.ap.meta,,probe00,raw_ephys_data/probe00/_spikeglx_ephysData_g0_t0.imec.ap.meta,,,16755,complete,https://ibl.flatironinstitute.org/public/mainenlab/Subjects/ZM_1897/2019-12-02/001/raw_ephys_data/probe00/_spikeglx_ephysData_g0_t0.imec.ap.f9daae7b-ff40-4091-a107-eac1b23f94a1.meta
,dd4da095-4a99-4bf3-9727-f735077dba66,.cbin,,,21278555040,,,,,,,G:\academic\week8_partial_kilosort4_runs\dd4da095_probe00_partial_20260712_222836\raw_ephys_data\probe00\_spikeglx_ephysData_g0_t0.imec.ap.cbin,,probe00,raw_ephys_data/probe00/_spikeglx_ephysData_g0_t0.imec.ap.cbin,1800000000,,1800000000,complete,https://ibl.flatironinstitute.org/public/mainenlab/Subjects/ZM_1897/2019-12-02/001/raw_ephys_data/probe00/_spikeglx_ephysData_g0_t0.imec.ap.3d6e0136-274a-44de-92ce-68e5d51bdd55.cbin
214,dd4da095-4a99-4bf3-9727-f735077dba66,.partial.ap.ch,,G:\academic\week8_partial_kilosort4_runs\dd4da095_probe00_partial_20260712_222836\raw_ephys_data\probe00\_spikeglx_ephysData_g0_t0.imec.full.ap.ch,,1800000000,G:\academic\week8_partial_kilosort4_runs\dd4da095_probe00_partial_20260712_222836\raw_ephys_data\probe00\_spikeglx_ephysData_g0_t0.imec.ap.ch,,,,6420000,,,probe00,raw_ephys_data\probe00\_spikeglx_ephysData_g0_t0.imec.ap.ch,,,,,
,dd4da095-4a99-4bf3-9727-f735077dba66,.partial.ap.bin,30000.0,,,,,10.0,1.8,600.0,,G:\academic\week8_partial_kilosort4_runs\dd4da095_probe00_partial_20260712_222836\raw_ephys_data\probe00\_spikeglx_ephysData_g0_t0.imec.first_600s.chunked.rawint16.ap.bin,,probe00,raw_ephys_data\probe00\_spikeglx_ephysData_g0_t0.imec.first_600s.chunked.rawint16.ap.bin,,6420000,4943400000,created,
