run_label,eid,probe,ratio,dct_window_samples,n_baseline_units,n_dct_units,mean_bin_accuracy,median_bin_accuracy,p10_bin_accuracy,mean_neuron_accuracy,median_neuron_accuracy,p10_neuron_accuracy,p90_neuron_accuracy,all_neuron_min_accuracy
8ca740c5_probe00_partial_20260712_222836,8ca740c5-e7fe-430a-aa10-e74e9c3cbbe8,probe00,0.1,600,483,767,0.833587453170983,0.8643382875153283,0.6649371109883273,0.461339552376045,0.5402985074626866,0.11972868732544224,0.6933939269483853,0.0
8ca740c5_probe00_partial_20260712_222836,8ca740c5-e7fe-430a-aa10-e74e9c3cbbe8,probe00,0.2,600,483,765,0.9125205418529354,0.9309214757545023,0.8186418054465691,0.5120470808716906,0.5896837739761535,0.15576820756783827,0.7414493993794721,0.0
8ca740c5_probe00_partial_20260712_222836,8ca740c5-e7fe-430a-aa10-e74e9c3cbbe8,probe00,0.3,600,483,706,0.9603940893382183,0.9725306682669579,0.9332333896661766,0.5536191228781719,0.6104513064133017,0.24767462071362947,0.7743009479800448,0.0
8ca740c5_probe00_partial_20260712_222836,8ca740c5-e7fe-430a-aa10-e74e9c3cbbe8,probe00,0.5,600,483,559,0.9749661390158156,0.9795226414661918,0.9486318814771402,0.6234238559241767,0.676309868209579,0.29651550488036627,0.8606211389625198,0.0
8ca740c5_probe00_partial_20260712_222836,8ca740c5-e7fe-430a-aa10-e74e9c3cbbe8,probe00,0.7,600,483,514,0.9838760653313767,0.9847785022165364,0.9704024196966977,0.6585305873466485,0.7100728959575878,0.36399879190576867,0.8734927394699662,0.0
8ca740c5_probe00_partial_20260712_222836,8ca740c5-e7fe-430a-aa10-e74e9c3cbbe8,probe00,1.0,600,483,467,0.9518128607214045,0.9508353941187426,0.9251671754344732,0.6923628272289498,0.7432363450740174,0.3713786046511628,0.9043258551352171,0.0
cde63527_probe01_partial_20260712_222836,cde63527-7f5a-4cc3-8ac2-215d82e7da26,probe01,0.1,600,233,247,0.14456012896587994,0.0,0.0,0.18577976869386578,0.09044943820224718,0.0,0.5620998378520616,0.0
cde63527_probe01_partial_20260712_222836,cde63527-7f5a-4cc3-8ac2-215d82e7da26,probe01,0.2,600,233,761,0.9165118184894641,0.9260670731707317,0.850573502460933,0.40892422325838923,0.4140386571719227,0.07153951160321553,0.783229131896197,0.0
cde63527_probe01_partial_20260712_222836,cde63527-7f5a-4cc3-8ac2-215d82e7da26,probe01,0.3,600,233,646,0.9663179726859442,0.9707388441843453,0.9341811979127562,0.5155450023742202,0.5374064837905237,0.153988595012681,0.8775585471240414,0.0
cde63527_probe01_partial_20260712_222836,cde63527-7f5a-4cc3-8ac2-215d82e7da26,probe01,0.5,600,233,321,0.968916694967878,0.9737024221453288,0.940571035897833,0.570748563365142,0.5945945945945946,0.18972116812407197,0.9066765278002918,0.0
cde63527_probe01_partial_20260712_222836,cde63527-7f5a-4cc3-8ac2-215d82e7da26,probe01,0.7,600,233,262,0.9784788221528744,0.98,0.9581139154698658,0.64749734459039,0.6882470119521913,0.2902181249012766,0.9371078642028363,0.0
cde63527_probe01_partial_20260712_222836,cde63527-7f5a-4cc3-8ac2-215d82e7da26,probe01,1.0,600,233,226,0.9583993407623604,0.9612286002014099,0.9252076803179008,0.683850132003851,0.7453874538745388,0.3108382757243615,0.9366955780534288,0.0
dd4da095_probe00_partial_20260712_222836,dd4da095-4a99-4bf3-9727-f735077dba66,probe00,0.1,600,360,817,0.9264706028641044,0.9362251992125308,0.8457607960575433,0.4848213915208931,0.5381320808063983,0.03431122448979591,0.8642723759472373,0.0
dd4da095_probe00_partial_20260712_222836,dd4da095-4a99-4bf3-9727-f735077dba66,probe00,0.2,600,360,800,0.9521092444145427,0.9619539367568176,0.9056825163494224,0.5378520255253367,0.5775905771071586,0.05578369905956112,0.9395898341674026,0.0
dd4da095_probe00_partial_20260712_222836,dd4da095-4a99-4bf3-9727-f735077dba66,probe00,0.3,600,360,715,0.9742993880086241,0.9803481511563445,0.9444212838362638,0.5807034041716548,0.6243020782005353,0.11979275513758272,0.9625360423548578,0.0
dd4da095_probe00_partial_20260712_222836,dd4da095-4a99-4bf3-9727-f735077dba66,probe00,0.5,600,360,447,0.9712655487428328,0.974591222030981,0.9444548717565243,0.6289710257781164,0.7036873862656834,0.11894290331268516,0.9625979602663783,0.0
dd4da095_probe00_partial_20260712_222836,dd4da095-4a99-4bf3-9727-f735077dba66,probe00,0.7,600,360,391,0.9705490495497759,0.9731437817845585,0.9470010128132655,0.6966451596500647,0.7937222174566886,0.22083595589435157,0.973370964391075,0.0
dd4da095_probe00_partial_20260712_222836,dd4da095-4a99-4bf3-9727-f735077dba66,probe00,1.0,600,360,350,0.9655611399869977,0.9660540932538182,0.9423957035948719,0.7284389829408686,0.8207357469100673,0.3312996897420981,0.973303002665575,0.0
