run_label,run_type,eid,probe,ks_dir,ratio,n_units,population_baseline_spikes,population_kept_spikes,random_subsample_population_mean_bin_accuracy,mean_bin_accuracy,median_neuron_accuracy,p10_neuron_accuracy,p90_neuron_accuracy,all_neuron_min_accuracy,all_neuron_fraction_ge_090,all_neuron_fraction_ge_095,all_neuron_fraction_ge_098
4fa70097_probe00_20260708_145454,full,4fa70097-8101-4f10-b585-db39429c5ed0,probe00,G:\academic\week8_kilosort4_runs\4fa70097_probe00_20260708_145454\kilosort4,0.1,662,13558690,1356992,0.10008282511068547,0.09992341493028825,0.09995753643235919,0.09345424496939644,0.10651600151777864,0.0422535211267605,0.0,0.0,0.0
4fa70097_probe00_20260708_145454,full,4fa70097-8101-4f10-b585-db39429c5ed0,probe00,G:\academic\week8_kilosort4_runs\4fa70097_probe00_20260708_145454\kilosort4,0.2,662,13558690,2713195,0.2001074587589214,0.19981846133024564,0.20002912177143162,0.19078070746568518,0.2081934969283508,0.1483253588516746,0.0,0.0,0.0
4fa70097_probe00_20260708_145454,full,4fa70097-8101-4f10-b585-db39429c5ed0,probe00,G:\academic\week8_kilosort4_runs\4fa70097_probe00_20260708_145454\kilosort4,0.3,662,13558690,4065081,0.2998136988160361,0.2998754087473987,0.2996417638590463,0.29082660789977854,0.30872578704695863,0.2490494296577946,0.0,0.0,0.0
4fa70097_probe00_20260708_145454,full,4fa70097-8101-4f10-b585-db39429c5ed0,probe00,G:\academic\week8_kilosort4_runs\4fa70097_probe00_20260708_145454\kilosort4,0.5,662,13558690,6778997,0.49997433380363443,0.4999477959217467,0.5000132778613791,0.49003710000652806,0.510028596870521,0.4204545454545454,0.0,0.0,0.0
4fa70097_probe00_20260708_145454,full,4fa70097-8101-4f10-b585-db39429c5ed0,probe00,G:\academic\week8_kilosort4_runs\4fa70097_probe00_20260708_145454\kilosort4,0.7,662,13558690,9490661,0.6999688760492349,0.6998268940371215,0.6998618298758186,0.69187869755679,0.7074271044624746,0.6372093023255814,0.0,0.0,0.0
4fa70097_probe00_20260708_145454,full,4fa70097-8101-4f10-b585-db39429c5ed0,probe00,G:\academic\week8_kilosort4_runs\4fa70097_probe00_20260708_145454\kilosort4,1.0,662,13558690,13558690,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
8ca740c5_probe00_partial_20260712_222836,partial,8ca740c5-e7fe-430a-aa10-e74e9c3cbbe8,probe00,G:\academic\week8_partial_kilosort4_runs\8ca740c5_probe00_partial_20260712_222836\kilosort4_partial,0.1,483,1021971,102304,0.10010460179398437,0.100083831049052,0.0997861724875267,0.09026384007379248,0.11001280544957684,0.0526315789473684,0.0,0.0,0.0
8ca740c5_probe00_partial_20260712_222836,partial,8ca740c5-e7fe-430a-aa10-e74e9c3cbbe8,probe00,G:\academic\week8_partial_kilosort4_runs\8ca740c5_probe00_partial_20260712_222836\kilosort4_partial,0.2,483,1021971,204574,0.2001759345421739,0.20051983454144887,0.1998655236174147,0.18718083921486794,0.2148725985392671,0.1333333333333333,0.0,0.0,0.0
8ca740c5_probe00_partial_20260712_222836,partial,8ca740c5-e7fe-430a-aa10-e74e9c3cbbe8,probe00,G:\academic\week8_partial_kilosort4_runs\8ca740c5_probe00_partial_20260712_222836\kilosort4_partial,0.3,483,1021971,307065,0.3004635160880299,0.3006610619714626,0.3008982035928144,0.2828084027225485,0.31714820759764584,0.2426470588235294,0.0,0.0,0.0
8ca740c5_probe00_partial_20260712_222836,partial,8ca740c5-e7fe-430a-aa10-e74e9c3cbbe8,probe00,G:\academic\week8_partial_kilosort4_runs\8ca740c5_probe00_partial_20260712_222836\kilosort4_partial,0.5,483,1021971,511244,0.5002529425981754,0.49941777080178046,0.4998744034162271,0.48104352305207254,0.5172262938730005,0.3333333333333333,0.0,0.0,0.0
