probe_name,run_label,eid,probe,source_keep_ratio,baseline_source,ks_nearest_chans,ks_n_pcs,templates_shape,template_nonzero_channel_median,template_nonzero_channel_max,templates_mtime,ks_dir,templates_path,spike_times_path,spike_clusters_path,ops_path,info_path
8ca740c5_probe00_partial_20260712_222836_ratio_0.10,8ca740c5_probe00_partial_20260712_222836,8ca740c5-e7fe-430a-aa10-e74e9c3cbbe8,probe00,0.1,False,25,3,115x61x383,25.0,28,2026-07-18T21:26:25.889564,G:\academic\week8_partial_dct_kilosort_runs\8ca740c5_probe00_partial_20260712_222836\ratio_0.10\kilosort4_dct,G:\academic\week8_partial_dct_kilosort_runs\8ca740c5_probe00_partial_20260712_222836\ratio_0.10\kilosort4_dct\templates.npy,G:\academic\week8_partial_dct_kilosort_runs\8ca740c5_probe00_partial_20260712_222836\ratio_0.10\kilosort4_dct\spike_times.npy,G:\academic\week8_partial_dct_kilosort_runs\8ca740c5_probe00_partial_20260712_222836\ratio_0.10\kilosort4_dct\spike_clusters.npy,G:\academic\week8_partial_dct_kilosort_runs\8ca740c5_probe00_partial_20260712_222836\ratio_0.10\kilosort4_dct\ops.npy,G:\academic\week8_partial_dct_kilosort_runs\8ca740c5_probe00_partial_20260712_222836\ratio_0.10\run_info_partial_dct_kilosort4.json
8ca740c5_probe00_partial_20260712_222836_ratio_0.20,8ca740c5_probe00_partial_20260712_222836,8ca740c5-e7fe-430a-aa10-e74e9c3cbbe8,probe00,0.2,False,25,3,129x61x383,25.0,28,2026-07-19T00:38:45.143730,G:\academic\week8_partial_dct_kilosort_runs\8ca740c5_probe00_partial_20260712_222836\ratio_0.20\kilosort4_dct,G:\academic\week8_partial_dct_kilosort_runs\8ca740c5_probe00_partial_20260712_222836\ratio_0.20\kilosort4_dct\templates.npy,G:\academic\week8_partial_dct_kilosort_runs\8ca740c5_probe00_partial_20260712_222836\ratio_0.20\kilosort4_dct\spike_times.npy,G:\academic\week8_partial_dct_kilosort_runs\8ca740c5_probe00_partial_20260712_222836\ratio_0.20\kilosort4_dct\spike_clusters.npy,G:\academic\week8_partial_dct_kilosort_runs\8ca740c5_probe00_partial_20260712_222836\ratio_0.20\kilosort4_dct\ops.npy,G:\academic\week8_partial_dct_kilosort_runs\8ca740c5_probe00_partial_20260712_222836\ratio_0.20\run_info_partial_dct_kilosort4.json
8ca740c5_probe00_partial_20260712_222836_ratio_0.30,8ca740c5_probe00_partial_20260712_222836,8ca740c5-e7fe-430a-aa10-e74e9c3cbbe8,probe00,0.3,False,25,3,139x61x383,25.0,28,2026-07-19T03:35:54.639811,G:\academic\week8_partial_dct_kilosort_runs\8ca740c5_probe00_partial_20260712_222836\ratio_0.30\kilosort4_dct,G:\academic\week8_partial_dct_kilosort_runs\8ca740c5_probe00_partial_20260712_222836\ratio_0.30\kilosort4_dct\templates.npy,G:\academic\week8_partial_dct_kilosort_runs\8ca740c5_probe00_partial_20260712_222836\ratio_0.30\kilosort4_dct\spike_times.npy,G:\academic\week8_partial_dct_kilosort_runs\8ca740c5_probe00_partial_20260712_222836\ratio_0.30\kilosort4_dct\spike_clusters.npy,G:\academic\week8_partial_dct_kilosort_runs\8ca740c5_probe00_partial_20260712_222836\ratio_0.30\kilosort4_dct\ops.npy,G:\academic\week8_partial_dct_kilosort_runs\8ca740c5_probe00_partial_20260712_222836\ratio_0.30\run_info_partial_dct_kilosort4.json
8ca740c5_probe00_partial_20260712_222836_ratio_0.50,8ca740c5_probe00_partial_20260712_222836,8ca740c5-e7fe-430a-aa10-e74e9c3cbbe8,probe00,0.5,False,25,3,166x61x383,25.0,28,2026-07-19T04:55:34.858716,G:\academic\week8_partial_dct_kilosort_runs\8ca740c5_probe00_partial_20260712_222836\ratio_0.50\kilosort4_dct,G:\academic\week8_partial_dct_kilosort_runs\8ca740c5_probe00_partial_20260712_222836\ratio_0.50\kilosort4_dct\templates.npy,G:\academic\week8_partial_dct_kilosort_runs\8ca740c5_probe00_partial_20260712_222836\ratio_0.50\kilosort4_dct\spike_times.npy,G:\academic\week8_partial_dct_kilosort_runs\8ca740c5_probe00_partial_20260712_222836\ratio_0.50\kilosort4_dct\spike_clusters.npy,G:\academic\week8_partial_dct_kilosort_runs\8ca740c5_probe00_partial_20260712_222836\ratio_0.50\kilosort4_dct\ops.npy,G:\academic\week8_partial_dct_kilosort_runs\8ca740c5_probe00_partial_20260712_222836\ratio_0.50\run_info_partial_dct_kilosort4.json
8ca740c5_probe00_partial_20260712_222836_ratio_0.70,8ca740c5_probe00_partial_20260712_222836,8ca740c5-e7fe-430a-aa10-e74e9c3cbbe8,probe00,0.7,False,25,3,215x61x383,25.0,29,2026-07-19T06:07:15.539176,G:\academic\week8_partial_dct_kilosort_runs\8ca740c5_probe00_partial_20260712_222836\ratio_0.70\kilosort4_dct,G:\academic\week8_partial_dct_kilosort_runs\8ca740c5_probe00_partial_20260712_222836\ratio_0.70\kilosort4_dct\templates.npy,G:\academic\week8_partial_dct_kilosort_runs\8ca740c5_probe00_partial_20260712_222836\ratio_0.70\kilosort4_dct\spike_times.npy,G:\academic\week8_partial_dct_kilosort_runs\8ca740c5_probe00_partial_20260712_222836\ratio_0.70\kilosort4_dct\spike_clusters.npy,G:\academic\week8_partial_dct_kilosort_runs\8ca740c5_probe00_partial_20260712_222836\ratio_0.70\kilosort4_dct\ops.npy,G:\academic\week8_partial_dct_kilosort_runs\8ca740c5_probe00_partial_20260712_222836\ratio_0.70\run_info_partial_dct_kilosort4.json
8ca740c5_probe00_partial_20260712_222836_ratio_1.00,8ca740c5_probe00_partial_20260712_222836,8ca740c5-e7fe-430a-aa10-e74e9c3cbbe8,probe00,1.0,True,25,3,239x61x383,25.0,30,2026-07-19T09:47:51.081901,G:\academic\week8_partial_dct_kilosort_runs\8ca740c5_probe00_partial_20260712_222836\ratio_1.00\kilosort4_dct,G:\academic\week8_partial_dct_kilosort_runs\8ca740c5_probe00_partial_20260712_222836\ratio_1.00\kilosort4_dct\templates.npy,G:\academic\week8_partial_dct_kilosort_runs\8ca740c5_probe00_partial_20260712_222836\ratio_1.00\kilosort4_dct\spike_times.npy,G:\academic\week8_partial_dct_kilosort_runs\8ca740c5_probe00_partial_20260712_222836\ratio_1.00\kilosort4_dct\spike_clusters.npy,G:\academic\week8_partial_dct_kilosort_runs\8ca740c5_probe00_partial_20260712_222836\ratio_1.00\kilosort4_dct\ops.npy,G:\academic\week8_partial_dct_kilosort_runs\8ca740c5_probe00_partial_20260712_222836\ratio_1.00\run_info_partial_dct_kilosort4.json
cde63527_probe01_partial_20260712_222836_ratio_0.10,cde63527_probe01_partial_20260712_222836,cde63527-7f5a-4cc3-8ac2-215d82e7da26,probe01,0.1,False,25,3,119x61x383,25.0,28,2026-07-18T01:38:05.316487,G:\academic\week8_partial_dct_kilosort_runs\cde63527_probe01_partial_20260712_222836\ratio_0.10\kilosort4_dct,G:\academic\week8_partial_dct_kilosort_runs\cde63527_probe01_partial_20260712_222836\ratio_0.10\kilosort4_dct\templates.npy,G:\academic\week8_partial_dct_kilosort_runs\cde63527_probe01_partial_20260712_222836\ratio_0.10\kilosort4_dct\spike_times.npy,G:\academic\week8_partial_dct_kilosort_runs\cde63527_probe01_partial_20260712_222836\ratio_0.10\kilosort4_dct\spike_clusters.npy,G:\academic\week8_partial_dct_kilosort_runs\cde63527_probe01_partial_20260712_222836\ratio_0.10\kilosort4_dct\ops.npy,G:\academic\week8_partial_dct_kilosort_runs\cde63527_probe01_partial_20260712_222836\ratio_0.10\run_info_partial_dct_kilosort4.json
cde63527_probe01_partial_20260712_222836_ratio_0.20,cde63527_probe01_partial_20260712_222836,cde63527-7f5a-4cc3-8ac2-215d82e7da26,probe01,0.2,False,25,3,140x61x383,25.0,28,2026-07-18T02:46:51.963655,G:\academic\week8_partial_dct_kilosort_runs\cde63527_probe01_partial_20260712_222836\ratio_0.20\kilosort4_dct,G:\academic\week8_partial_dct_kilosort_runs\cde63527_probe01_partial_20260712_222836\ratio_0.20\kilosort4_dct\templates.npy,G:\academic\week8_partial_dct_kilosort_runs\cde63527_probe01_partial_20260712_222836\ratio_0.20\kilosort4_dct\spike_times.npy,G:\academic\week8_partial_dct_kilosort_runs\cde63527_probe01_partial_20260712_222836\ratio_0.20\kilosort4_dct\spike_clusters.npy,G:\academic\week8_partial_dct_kilosort_runs\cde63527_probe01_partial_20260712_222836\ratio_0.20\kilosort4_dct\ops.npy,G:\academic\week8_partial_dct_kilosort_runs\cde63527_probe01_partial_20260712_222836\ratio_0.20\run_info_partial_dct_kilosort4.json
cde63527_probe01_partial_20260712_222836_ratio_0.30,cde63527_probe01_partial_20260712_222836,cde63527-7f5a-4cc3-8ac2-215d82e7da26,probe01,0.3,False,25,3,151x61x383,25.0,32,2026-07-18T03:55:12.508209,G:\academic\week8_partial_dct_kilosort_runs\cde63527_probe01_partial_20260712_222836\ratio_0.30\kilosort4_dct,G:\academic\week8_partial_dct_kilosort_runs\cde63527_probe01_partial_20260712_222836\ratio_0.30\kilosort4_dct\templates.npy,G:\academic\week8_partial_dct_kilosort_runs\cde63527_probe01_partial_20260712_222836\ratio_0.30\kilosort4_dct\spike_times.npy,G:\academic\week8_partial_dct_kilosort_runs\cde63527_probe01_partial_20260712_222836\ratio_0.30\kilosort4_dct\spike_clusters.npy,G:\academic\week8_partial_dct_kilosort_runs\cde63527_probe01_partial_20260712_222836\ratio_0.30\kilosort4_dct\ops.npy,G:\academic\week8_partial_dct_kilosort_runs\cde63527_probe01_partial_20260712_222836\ratio_0.30\run_info_partial_dct_kilosort4.json
cde63527_probe01_partial_20260712_222836_ratio_0.50,cde63527_probe01_partial_20260712_222836,cde63527-7f5a-4cc3-8ac2-215d82e7da26,probe01,0.5,False,25,3,177x61x383,25.0,28,2026-07-18T05:00:59.969021,G:\academic\week8_partial_dct_kilosort_runs\cde63527_probe01_partial_20260712_222836\ratio_0.50\kilosort4_dct,G:\academic\week8_partial_dct_kilosort_runs\cde63527_probe01_partial_20260712_222836\ratio_0.50\kilosort4_dct\templates.npy,G:\academic\week8_partial_dct_kilosort_runs\cde63527_probe01_partial_20260712_222836\ratio_0.50\kilosort4_dct\spike_times.npy,G:\academic\week8_partial_dct_kilosort_runs\cde63527_probe01_partial_20260712_222836\ratio_0.50\kilosort4_dct\spike_clusters.npy,G:\academic\week8_partial_dct_kilosort_runs\cde63527_probe01_partial_20260712_222836\ratio_0.50\kilosort4_dct\ops.npy,G:\academic\week8_partial_dct_kilosort_runs\cde63527_probe01_partial_20260712_222836\ratio_0.50\run_info_partial_dct_kilosort4.json
