run_label,eid,probe,prediction_ratio,predicted_probe_accuracy_mean,model_path,baseline_ks_nearest_chans_x,baseline_ks_n_pcs_x,baseline_template_nonzero_channel_median_x,baseline_ks_dir,binned_count_accuracy_macro,binned_count_accuracy_micro,mean_bin_accuracy,all_neuron_fraction_ge_090,n_baseline_units,n_dct_units,observed_ks_nearest_chans,observed_ks_n_pcs,observed_template_nonzero_channel_median,observed_template_nonzero_channel_max,observed_templates_mtime,baseline_ks_nearest_chans_y,baseline_ks_n_pcs_y,baseline_template_nonzero_channel_median_y,observed_settings_match_baseline,prediction_error_vs_observed_macro
8ca740c5_probe00_partial_20260712_222836,8ca740c5-e7fe-430a-aa10-e74e9c3cbbe8,probe00,0.1,0.6723873323967134,G:\academic\predictor\week5_accuracy_predictor_model_ratio1baseline.npy,25,3,25.0,G:\academic\week8_partial_dct_kilosort_runs\8ca740c5_probe00_partial_20260712_222836\ratio_1.00\kilosort4_dct,0.15230214737429,0.5149152047829952,0.0544819289838341,0.0460251046025104,239,115,25,3,25.0,28,2026-07-18T21:26:25.889564,25,3,25.0,True,0.5200851850224235
8ca740c5_probe00_partial_20260712_222836,8ca740c5-e7fe-430a-aa10-e74e9c3cbbe8,probe00,0.2,0.8370860655393084,G:\academic\predictor\week5_accuracy_predictor_model_ratio1baseline.npy,25,3,25.0,G:\academic\week8_partial_dct_kilosort_runs\8ca740c5_probe00_partial_20260712_222836\ratio_1.00\kilosort4_dct,0.3005695372139144,0.6210613096532493,0.7513257285237055,0.0920502092050209,239,129,25,3,25.0,28,2026-07-19T00:38:45.143730,25,3,25.0,True,0.5365165283253941
8ca740c5_probe00_partial_20260712_222836,8ca740c5-e7fe-430a-aa10-e74e9c3cbbe8,probe00,0.3,0.9574203390424074,G:\academic\predictor\week5_accuracy_predictor_model_ratio1baseline.npy,25,3,25.0,G:\academic\week8_partial_dct_kilosort_runs\8ca740c5_probe00_partial_20260712_222836\ratio_1.00\kilosort4_dct,0.3769717755042109,0.6799004643711446,0.9074697244665626,0.1422594142259414,239,139,25,3,25.0,28,2026-07-19T03:35:54.639811,25,3,25.0,True,0.5804485635381965
8ca740c5_probe00_partial_20260712_222836,8ca740c5-e7fe-430a-aa10-e74e9c3cbbe8,probe00,0.5,0.9977780530098719,G:\academic\predictor\week5_accuracy_predictor_model_ratio1baseline.npy,25,3,25.0,G:\academic\week8_partial_dct_kilosort_runs\8ca740c5_probe00_partial_20260712_222836\ratio_1.00\kilosort4_dct,0.4945579175057163,0.7600327014178873,0.9573420630430848,0.1757322175732217,239,166,25,3,25.0,28,2026-07-19T04:55:34.858716,25,3,25.0,True,0.5032201355041556
8ca740c5_probe00_partial_20260712_222836,8ca740c5-e7fe-430a-aa10-e74e9c3cbbe8,probe00,0.7,0.9840063044638877,G:\academic\predictor\week5_accuracy_predictor_model_ratio1baseline.npy,25,3,25.0,G:\academic\week8_partial_dct_kilosort_runs\8ca740c5_probe00_partial_20260712_222836\ratio_1.00\kilosort4_dct,0.6792423660303979,0.86585261790265,0.9816344133898416,0.2468619246861924,239,214,25,3,25.0,29,2026-07-19T06:07:15.539176,25,3,25.0,True,0.3047639384334898
8ca740c5_probe00_partial_20260712_222836,8ca740c5-e7fe-430a-aa10-e74e9c3cbbe8,probe00,1.0,1.0,G:\academic\predictor\week5_accuracy_predictor_model_ratio1baseline.npy,25,3,25.0,G:\academic\week8_partial_dct_kilosort_runs\8ca740c5_probe00_partial_20260712_222836\ratio_1.00\kilosort4_dct,1.0,1.0,1.0,1.0,239,239,25,3,25.0,30,2026-07-19T09:47:51.081901,25,3,25.0,True,0.0
cde63527_probe01_partial_20260712_222836,cde63527-7f5a-4cc3-8ac2-215d82e7da26,probe01,0.1,0.6684659521122861,G:\academic\predictor\week5_accuracy_predictor_model_ratio1baseline.npy,25,3,25.0,G:\academic\week8_partial_dct_kilosort_runs\cde63527_probe01_partial_20260712_222836\ratio_1.00\kilosort4_dct,0.1487585418471363,0.5343768138711775,0.0,0.063063063063063,222,119,25,3,25.0,28,2026-07-18T01:38:05.316487,25,3,25.0,True,0.5197074102651498
cde63527_probe01_partial_20260712_222836,cde63527-7f5a-4cc3-8ac2-215d82e7da26,probe01,0.2,0.833164685254881,G:\academic\predictor\week5_accuracy_predictor_model_ratio1baseline.npy,25,3,25.0,G:\academic\week8_partial_dct_kilosort_runs\cde63527_probe01_partial_20260712_222836\ratio_1.00\kilosort4_dct,0.3341496563536731,0.6783976398399211,0.554908327843808,0.1216216216216216,222,140,25,3,25.0,28,2026-07-18T02:46:51.963655,25,3,25.0,True,0.49901502890120786
cde63527_probe01_partial_20260712_222836,cde63527-7f5a-4cc3-8ac2-215d82e7da26,probe01,0.3,0.9533540726412182,G:\academic\predictor\week5_accuracy_predictor_model_ratio1baseline.npy,25,3,25.0,G:\academic\week8_partial_dct_kilosort_runs\cde63527_probe01_partial_20260712_222836\ratio_1.00\kilosort4_dct,0.4118057837636441,0.723420922854013,0.783028474973976,0.1711711711711711,222,151,25,3,25.0,32,2026-07-18T03:55:12.508209,25,3,25.0,True,0.5415482888775741
cde63527_probe01_partial_20260712_222836,cde63527-7f5a-4cc3-8ac2-215d82e7da26,probe01,0.5,0.9988379635738797,G:\academic\predictor\week5_accuracy_predictor_model_ratio1baseline.npy,25,3,25.0,G:\academic\week8_partial_dct_kilosort_runs\cde63527_probe01_partial_20260712_222836\ratio_1.00\kilosort4_dct,0.5647086328775363,0.8202930997612782,0.9356964088646672,0.2252252252252252,222,177,25,3,25.0,28,2026-07-18T05:00:59.969021,25,3,25.0,True,0.4341293306963434
